substrate,subset,perturbation,replicate,feature_set,auc
AB_N30,interior_75pct,native,0,address,0.9788112381551115
AB_N30,interior_75pct,native,0,weave,0.99854431478098
AB_N30,interior_75pct,native,0,hybrid,0.998853575240827
AB_N30,interior_75pct,rewire,0,address,0.9794229648402455
AB_N30,interior_75pct,rewire,0,weave,0.9918724173722848
AB_N30,interior_75pct,rewire,0,hybrid,0.990666686312646
AB_N30,interior_75pct,rewire,1,address,0.9788980078976837
AB_N30,interior_75pct,rewire,1,weave,0.9909899036037275
AB_N30,interior_75pct,rewire,1,hybrid,0.9902783507855116
AB_N30,interior_75pct,rewire,2,address,0.9792242130148066
AB_N30,interior_75pct,rewire,2,weave,0.9912412493533199
AB_N30,interior_75pct,rewire,2,hybrid,0.989878555103698
AB_N30,interior_75pct,rewire,3,address,0.9793163035434798
AB_N30,interior_75pct,rewire,3,weave,0.9919216141791581
AB_N30,interior_75pct,rewire,3,hybrid,0.9901381276071851
AB_N30,interior_75pct,rewire,4,address,0.9793477371106002
AB_N30,interior_75pct,rewire,4,weave,0.99149607407844
AB_N30,interior_75pct,rewire,4,hybrid,0.9909820042828236
AB_N30,interior_75pct,rewire,5,address,0.9788184416809101
AB_N30,interior_75pct,rewire,5,weave,0.991243459526008
AB_N30,interior_75pct,rewire,5,hybrid,0.9907821883001644
AB_N30,interior_75pct,rewire,6,address,0.9790042599032108
AB_N30,interior_75pct,rewire,6,weave,0.9912162825877684
AB_N30,interior_75pct,rewire,6,hybrid,0.9904624499846105
AB_N30,interior_75pct,rewire,7,address,0.9787685900080549
AB_N30,interior_75pct,rewire,7,weave,0.991227701813324
AB_N30,interior_75pct,rewire,7,hybrid,0.9911899242320059
AB_N30,interior_75pct,rewire,8,address,0.9790491182229557
AB_N30,interior_75pct,rewire,8,weave,0.9909901082493467
AB_N30,interior_75pct,rewire,8,hybrid,0.9900651100502281
AB_N30,interior_75pct,rewire,9,address,0.9793113101903695
AB_N30,interior_75pct,rewire,9,weave,0.9906305458962823
AB_N30,interior_75pct,rewire,9,hybrid,0.9905771333896518
AB_N30,interior_75pct,shuffle,0,address,0.505175733286183
AB_N30,interior_75pct,shuffle,0,weave,0.998551927598017
AB_N30,interior_75pct,shuffle,0,hybrid,0.998545460796448
AB_N30,interior_75pct,shuffle,1,address,0.5062957178313459
AB_N30,interior_75pct,shuffle,1,weave,0.9985225814162132
AB_N30,interior_75pct,shuffle,1,hybrid,0.9981084196119265
AB_N30,interior_75pct,shuffle,2,address,0.5102930197835013
AB_N30,interior_75pct,shuffle,2,weave,0.9985617915168661
AB_N30,interior_75pct,shuffle,2,hybrid,0.9985477528273838
AB_N30,interior_75pct,shuffle,3,address,0.4734137508758832
AB_N30,interior_75pct,shuffle,3,weave,0.9983919765819925
AB_N30,interior_75pct,shuffle,3,hybrid,0.9987781837946864
AB_N30,interior_75pct,shuffle,4,address,0.4854226013896256
AB_N30,interior_75pct,shuffle,4,weave,0.9985554884317924
AB_N30,interior_75pct,shuffle,4,hybrid,0.9984045008938921
AB_N30,interior_75pct,shuffle,5,address,0.5016085964257414
AB_N30,interior_75pct,shuffle,5,weave,0.9985867173532936
AB_N30,interior_75pct,shuffle,5,hybrid,0.9983126559399619
AB_N30,interior_75pct,shuffle,6,address,0.48955333228554776
AB_N30,interior_75pct,shuffle,6,weave,0.9986337858457266
AB_N30,interior_75pct,shuffle,6,hybrid,0.9983792066953499
AB_N30,interior_75pct,shuffle,7,address,0.5094974394740116
AB_N30,interior_75pct,shuffle,7,weave,0.9986933786500592
AB_N30,interior_75pct,shuffle,7,hybrid,0.9984873414405742
AB_N30,interior_75pct,shuffle,8,address,0.4989466480684727
AB_N30,interior_75pct,shuffle,8,weave,0.9985318723273282
AB_N30,interior_75pct,shuffle,8,hybrid,0.9985585581160816
AB_N30,interior_75pct,shuffle,9,address,0.508835206250041
AB_N30,interior_75pct,shuffle,9,weave,0.9985653114215175
AB_N30,interior_75pct,shuffle,9,hybrid,0.998421445551168
AB_N30,boundary_25pct,native,0,address,0.7616670841007929
AB_N30,boundary_25pct,native,0,weave,0.9439935223810603
AB_N30,boundary_25pct,native,0,hybrid,0.9438848696706744
AB_N30,boundary_25pct,rewire,0,address,0.7622371113718245
