substrate,subset,perturbation,address_auc,weave_auc,hybrid_auc
AB_N30,interior_75pct,native,0.9788,0.9985,0.9989
AB_N30,interior_75pct,rewire,0.9791,0.9913,0.9905
AB_N30,interior_75pct,shuffle,0.4989,0.9986,0.9985
AB_N30,boundary_25pct,native,0.7617,0.9440,0.9439
AB_N30,boundary_25pct,rewire,0.7617,0.5281,0.7762
AB_N30,boundary_25pct,shuffle,0.5003,0.9438,0.9445
AB_N30,full_patch,native,0.8432,0.9769,0.9772
AB_N30,full_patch,rewire,0.8428,0.7406,0.8415
AB_N30,full_patch,shuffle,0.4965,0.9771,0.9767
Penrose_N24,interior_75pct,native,0.5527,0.9084,0.9116
Penrose_N24,interior_75pct,rewire,0.5695,0.8313,0.8532
Penrose_N24,interior_75pct,shuffle,0.4909,0.9089,0.9084
Penrose_N24,boundary_25pct,native,0.6395,0.9501,0.9487
Penrose_N24,boundary_25pct,rewire,0.6379,0.5141,0.6369
Penrose_N24,boundary_25pct,shuffle,0.4978,0.9501,0.9501
Penrose_N24,full_patch,native,0.6183,0.9435,0.9512
Penrose_N24,full_patch,rewire,0.6174,0.5905,0.6223
Penrose_N24,full_patch,shuffle,0.4963,0.9436,0.9430
