substrate,seed,threshold,n_near_loops,n_dippers,mean_residue_all_dippers,mean_residue_brachy,mean_residue_anti_brachy,mean_residue_symmetric,n_brachy,n_anti_brachy,n_symmetric,mean_residue_v_dip,mean_residue_u_dip,mean_residue_early_dip,mean_residue_mid_dip,mean_residue_late_dip,n_early,n_mid,n_late,spearman_asymmetry_vs_residue,spearman_asymmetry_p,spearman_sharpness_vs_residue,spearman_timing_vs_residue,spearman_recovery_vs_residue,spearman_descent_smooth_vs_residue,spearman_ascent_smooth_vs_residue,spearman_excursion_vs_residue,mean_asymmetry,mean_sharpness,mean_timing,mean_excursion,mean_recovery
AB_N30,0,2.0,205,181,0.9881496306644688,1.0212823564071916,0.9324209327432541,1.0238131036135754,95,68,18,0.9237088548183433,0.7668389950065787,1.044437442230686,0.9647472794650584,0.931267728689504,75,54,52,0.107986330107198,0.1479033767770953,0.10699338429835593,-0.107986330107198,-0.08939779817950019,0.004335818398080453,-0.2713537933928599,-0.19421983447513175,0.11770545580110497,0.9526478911197952,0.44114727209944754,0.4422361640360578,1.0944627181521032
AB_N30,0,3.0,286,249,1.0430910723584834,1.0693336571953984,1.0092579506088368,1.034463848464402,131,96,22,1.0066099272438473,0.8530604838687205,1.0843023662273115,1.0127372926149592,1.0191311962435359,99,76,74,0.04841621385293927,0.44689784278511707,0.1592726592605999,-0.04841621385293927,-0.08767034577284295,-0.05311686715241746,-0.2207315462142985,-0.2291154330416754,0.09698952058232932,0.956030953080615,0.4515052397088353,0.4335126475229874,1.1138401707909769
AB_N30,1,2.0,177,155,1.0282357851921908,1.050099905777327,0.9663912647058155,1.206217034383337,83,61,11,1.1858871012816472,0.6437961847088942,1.0567183045983561,0.9946987935173847,1.0254369961719978,63,50,42,0.037797955972509456,0.6405438678936822,0.27819275027165075,-0.037797955972509456,-0.024012108509690648,-0.10858993672465075,-0.2756865331161473,-0.30136567946979537,0.12954889112903226,0.9592572777340677,0.4352255544354839,0.41196860459983664,1.1426129438057901
AB_N30,1,3.0,265,233,1.1087853511678614,1.1254333846851665,1.074190602299745,1.1625141517666382,128,88,17,1.353951700123819,0.8148039601212551,1.1461987694019846,1.033486059154626,1.1292171217934313,103,68,62,0.020946420730893863,0.750448086937385,0.288920251709889,-0.020946420730893863,-0.04384036662085911,-0.11643704402419107,-0.25616677994965553,-0.29915821733178855,0.15370171673819744,0.955896576991521,0.4231491416309013,0.42874636471881666,1.0846800233622098
AB_N30,2,2.0,197,174,0.9493077972440963,1.0015428935997854,0.9123519367128085,0.8177863051388159,88,71,15,0.983557765372532,0.7304981059784942,1.0169937201753285,0.8854334502810312,0.9372465098644605,64,58,52,0.06520579842304923,0.39264295208747885,0.23388637795713638,-0.06520579842304923,-0.10938778503939844,-0.02580607625363172,-0.22078173786591915,-0.23337918086270773,0.07489224137931035,0.9536417157275021,0.4625538793103448,0.4586874028633711,1.1370185036009794
AB_N30,2,3.0,285,248,1.0294408354378641,1.081410132912204,0.9901764305782186,0.9019790899619454,128,98,22,1.1191905295181408,0.825745423529447,1.1013539274183737,0.9712516478242064,1.0059207859301749,92,85,71,0.08423977366048771,0.18608203825592357,0.23767434437171894,-0.08423977366048771,-0.13223200723877762,-0.025874602613082096,-0.2393218345524599,-0.2529983414986769,0.08309444304435484,0.955129819040126,0.45845277847782256,0.4421886883009071,1.156554181809961
AB_N30,3,2.0,176,149,1.0036877173886043,0.9938277037248959,0.9650340679440423,1.1828276017285613,79,54,16,1.2012350729918886,0.7740212143985035,1.0273929872911447,1.0152589234997058,0.9548651398330522,57,52,40,0.05958188463956221,0.47041370594160065,0.26448134537305124,-0.05958188463956221,-0.043083984579835796,-0.06694858541696143,-0.3035414770165428,-0.29156263071585997,0.09867869127516779,0.9562416107382552,0.4506606543624161,0.4175681214446183,1.1599806016367007
AB_N30,3,3.0,286,242,1.0715664643172718,1.0595431514328693,1.0559031106803043,1.1890329668631232,127,90,25,1.2513237881403874,0.9335935879274583,1.092712747416224,1.0878320907481978,1.0192354865855346,93,85,64,0.04921419479710017,0.44600557890019005,0.2185985258612745,-0.04921419479710017,-0.07889766428384008,-0.0630686958917865,-0.2664199899076308,-0.2354046887768901,0.10069085743801653,0.9533682725257003,0.44965457128099173,0.43577947174810766,1.1389314294882495
AB_N30,4,2.0,196,173,1.0065538631738615,0.948219951340175,1.0892929378845226,1.002456576154597,91,65,17,1.1649771892043788,0.8245555271868618,0.9656990267391956,0.982987155907523,1.0863265798440833,75,46,52,-0.03604078871637761,0.6378128803114197,0.1509309964855917,0.03604078871637761,-0.17364435102104794,-0.11143294392100218,-0.20388706129682466,-0.13980140838043123,0.124683887283237,0.9546595234738473,0.4376580563583815,0.4344952642449035,1.0452441487704507
AB_N30,4,3.0,298,260,1.09438291887361,1.0730736767024478,1.1416067533825127,1.0320623628704435,136,97,27,1.239945095912004,0.9333528247899754,1.0830316865521414,1.077965607178021,1.1300224250875646,113,76,71,6.10767753415224e-05,0.9992180029440466,0.15954286844917207,-6.10767753415224e-05,-0.18129690227939713,-0.0985117732087528,-0.2595099819742691,-0.19128133452976404,0.12998798076923077,0.9530206378986866,0.4350060096153846,0.44023796257635395,1.0287065718461377
