substrate,degree,count,commensurate,mean_abs_dev_from_regular,std_spacing,regularity,mean_snap_to_grid,max_snap_to_grid
AB,8,499,YES,9.336939388173237e-10,1.32044260729974e-09,0.9999999999706569,4.668511894423783e-10,1.867398197350269e-09
AB,7,207,NO,11.02040816350017,15.746719775370307,0.6938137821459186,5.312461164159151e-10,1.9180734661703996e-09
AB,6,1004,NO,24.98505976092793,33.504183558196054,0.4415969406972656,4.754946190773935e-10,1.876413116065915e-09
AB,5,2395,NO,43.186471816421964,53.97745302731285,0.25031315239902935,4.425310309007401e-10,1.671323714503162e-09
AB,4,5840,YES,67.48844178084447,77.93055923422416,0.1341048973980607,4.828447297765252e-10,1.5012523435441548e-09
AB,3,7047,NO,99.99574286924934,106.0618195442517,0.11615150379832413,5.072700740415858e-10,1.2912629257881022e-09
AB,2,7,YES,134.99999999884244,134.99999999884244,0.25000000000666966,5.78781733051438e-10,1.1575574517806207e-09
Penrose,7,1105,NO,17.632653061073658,17.815379734841766,0.6535898384895737,1.362715020301726e-09,3.000775847998771e-09
Penrose,6,706,NO,16.04532577909275,17.026439535967906,0.7162260077341394,1.4060715533797044e-09,3.0101305521697506e-09
Penrose,5,5477,YES,45.384845718939715,56.81639082317368,0.2108834607898825,1.3388313498979522e-09,2.8297202862917848e-09
Penrose,4,2904,NO,39.49586776850992,45.89162768514107,0.4900930257209794,1.3505338774800906e-09,2.681078682301363e-09
Penrose,3,11175,NO,98.1963310962523,104.17646146213029,0.13186282114932862,1.3178245630358885e-09,2.3417499321695227e-09
Penrose,2,172,YES,109.67441860500335,109.67441860500332,0.39069767441684194,1.1773595030811649e-09,1.8957031427071722e-09
