substrate,seed,linger_n,linger_step,mean_residue,median_residue
AB_N30,0,5,1,0.9205680282499521,0.8994949366
AB_N30,0,5,5,0.9197873374068087,0.899494936692972
AB_N30,0,10,1,0.9169230724347315,0.9262096825945868
AB_N30,0,10,6,0.9203344817541133,0.8870155378501183
AB_N30,0,10,10,0.9250911824240696,0.8870155378801012
AB_N30,0,20,1,0.921509776243078,0.8801154786101751
AB_N30,0,20,6,0.9253653749909936,0.8870155378501183
AB_N30,0,20,11,0.9114490174240516,0.8801154786046341
AB_N30,0,20,16,0.9357179350319017,0.8870155379237616
AB_N30,0,20,20,0.9240172727822035,0.8870155379104931
AB_N30,0,40,1,0.915425598731356,0.8994949365668696
AB_N30,0,40,6,0.9291429118341901,0.8870155379104931
AB_N30,0,40,11,0.9234324953306581,0.8994949366645555
AB_N30,0,40,16,0.9235185018850247,0.8870155379104931
AB_N30,0,40,21,0.9230057207252496,0.8994949366610447
AB_N30,0,40,26,0.9263687690078983,0.8870155379237614
AB_N30,0,40,31,0.9189374565618833,0.8994949366070943
AB_N30,0,40,36,0.9198831863253311,0.8870155378501183
AB_N30,0,40,40,0.9136845530834827,0.8870155378247013
AB_N30,0,80,1,0.915764704313073,0.8801154786046341
AB_N30,0,80,6,0.9229560756425071,0.8870155378501183
AB_N30,0,80,11,0.9270689461223185,0.9262096826260491
AB_N30,0,80,16,0.9276859330867577,0.8870155379100844
AB_N30,0,80,21,0.9194880025805434,0.899494936594129
AB_N30,0,80,26,0.91898553164438,0.8870155379100843
AB_N30,0,80,31,0.9196187363478175,0.9262096826260492
AB_N30,0,80,36,0.9242536270869359,0.8870155379104931
AB_N30,0,80,41,0.9261333898979978,0.9262096826260492
AB_N30,0,80,46,0.9239749927335315,0.8870155378501183
AB_N30,0,80,51,0.9231615995206622,0.9262096826260492
AB_N30,0,80,56,0.9265739983238472,0.8870155379104931
AB_N30,0,80,61,0.9237394560262036,0.9262096826260492
AB_N30,0,80,66,0.9185307712100017,0.8870155379100841
AB_N30,0,80,71,0.9211090646290341,0.926209682610318
AB_N30,0,80,76,0.9181185959941702,0.8870155378501183
AB_N30,0,80,80,0.9239180359709939,0.8870155379100843
AB_N30,0,160,1,0.9198132646734348,0.8926652155589365
AB_N30,0,160,6,0.9254848940521133,0.8870155378501184
AB_N30,0,160,11,0.9197536869489155,0.8994949366610447
AB_N30,0,160,16,0.9218700611487118,0.8870155378501183
AB_N30,0,160,21,0.9181818545935028,0.8858354945630844
AB_N30,0,160,26,0.9247698715643176,0.8870155379104931
AB_N30,0,160,31,0.9169780705210167,0.8994949366822778
AB_N30,0,160,36,0.913202782053929,0.8870155378501183
AB_N30,0,160,41,0.9207737656825451,0.9262096825945869
AB_N30,0,160,46,0.9182716911936856,0.8870155378501183
AB_N30,0,160,51,0.9254465700903016,0.9262096826260492
AB_N30,0,160,56,0.9252437016082913,0.8870155378501183
AB_N30,0,160,61,0.9210160315391688,0.8994949366859439
AB_N30,0,160,66,0.9254255984205072,0.8966830582903401
AB_N30,0,160,71,0.913320955235372,0.8858354945630844
AB_N30,0,160,76,0.9145872294400051,0.8870155378501183
AB_N30,0,160,81,0.9186233722338027,0.8994949366568099
AB_N30,0,160,86,0.9204506793952234,0.8870155378501183
AB_N30,0,160,91,0.922714471372289,0.8994949365668695
AB_N30,0,160,96,0.9190520732333033,0.8870155378501183
AB_N30,0,160,101,0.9340762185647745,0.9262096826326788
AB_N30,0,160,106,0.9159264352181317,0.8870155378501183
AB_N30,0,160,111,0.9187586567994942,0.8994949366610447
AB_N30,0,160,116,0.9274461990696058,0.8870155379104931
AB_N30,0,160,121,0.9193117127696194,0.8994949366035471
AB_N30,0,160,126,0.9245248027114492,0.8870155379104931
AB_N30,0,160,131,0.9182167826731429,0.8829754865459105
AB_N30,0,160,136,0.9231828393688644,0.8870155379102886
AB_N30,0,160,141,0.9205346499501493,0.9262096825945868
AB_N30,0,160,146,0.9153853807489685,0.8870155378501183
AB_N30,0,160,151,0.9250334911871265,0.9262096826260491
AB_N30,0,160,156,0.9181428419213745,0.8870155378501183
AB_N30,0,160,160,0.9231176961352004,0.8870155379104931
AB_N30,1,5,1,0.9280073741076063,0.9262096825945868
AB_N30,1,5,5,0.9228163875650541,0.9262096826260491
AB_N30,1,10,1,0.9234872598920548,0.9262096826393081
AB_N30,1,10,6,0.92099315654816,0.8870155378501183
AB_N30,1,10,10,0.920261730550013,0.8870155378501183
AB_N30,1,20,1,0.9128564611969748,0.8858354944707398
AB_N30,1,20,6,0.9242358658076115,0.8870155378501183
AB_N30,1,20,11,0.9231576416696836,0.9262096826260492
AB_N30,1,20,16,0.9299798700353961,0.8870155379237616
AB_N30,1,20,20,0.9219953913735186,0.8870155379100843
AB_N30,1,40,1,0.9221582935168259,0.8994949367
AB_N30,1,40,6,0.9161463975024406,0.8870155378247014
AB_N30,1,40,11,0.9200006365638145,0.8994949366298348
AB_N30,1,40,16,0.9193365440342297,0.8870155378501183
AB_N30,1,40,21,0.9182650463945778,0.9262096825945868
AB_N30,1,40,26,0.929045398890655,0.8870155379104931
AB_N30,1,40,31,0.9200187383947624,0.8994949366610447
AB_N30,1,40,36,0.9210822849049568,0.8870155379100843
AB_N30,1,40,40,0.9255053186468581,0.8870155379104931
AB_N30,1,80,1,0.9159586697723467,0.8801154786044654
AB_N30,1,80,6,0.922050688307678,0.8870155379104931
AB_N30,1,80,11,0.9247811699504018,0.9262096826260491
AB_N30,1,80,16,0.9189530555750504,0.8870155378501183
AB_N30,1,80,21,0.9170175295019133,0.8858354944816461
AB_N30,1,80,26,0.9150203314335744,0.8870155378247013
AB_N30,1,80,31,0.9253093787577346,0.9262096826260492
AB_N30,1,80,36,0.9184008211034322,0.8870155378501183
AB_N30,1,80,41,0.9213933615681567,0.9262096825945868
AB_N30,1,80,46,0.9163224460048089,0.8870155378501183
AB_N30,1,80,51,0.9254515908330352,0.9262096826260492
AB_N30,1,80,56,0.9257379245068968,0.8870155379100843
AB_N30,1,80,61,0.9252811406013421,0.9262096826260492
AB_N30,1,80,66,0.9150699732808113,0.8870155378501183
AB_N30,1,80,71,0.9137655134127574,0.8801154785380763
AB_N30,1,80,76,0.9223270964658461,0.8870155378501183
AB_N30,1,80,80,0.9232431397643203,0.8870155378501183
AB_N30,1,160,1,0.9180538275814825,0.9145203479718598
AB_N30,1,160,6,0.9173221285526386,0.8870155378501183
AB_N30,1,160,11,0.914813705657109,0.8801154786101751
AB_N30,1,160,16,0.9234698063277701,0.8870155378501183
AB_N30,1,160,21,0.9242171168880646,0.9262096825945869
AB_N30,1,160,26,0.9220008384574685,0.8870155378501183
AB_N30,1,160,31,0.9301290969935111,0.9262096826260493
AB_N30,1,160,36,0.9184513837513907,0.8870155378501183
AB_N30,1,160,41,0.9196233572799272,0.9262096825945867
AB_N30,1,160,46,0.9214819082891045,0.8870155379100843
AB_N30,1,160,51,0.9267229178840047,0.9262096825945868
AB_N30,1,160,56,0.9231897613312238,0.8870155379237614
AB_N30,1,160,61,0.9265699899370303,0.9262096825945869
AB_N30,1,160,66,0.9196929521489745,0.8870155379100843
AB_N30,1,160,71,0.9132465870096985,0.8801154786046341
AB_N30,1,160,76,0.9223474544802015,0.8870155379100841
AB_N30,1,160,81,0.9276218240721621,0.9262096826260492
AB_N30,1,160,86,0.9260918163007693,0.8870155379104931
AB_N30,1,160,91,0.9303979527431812,0.9262096826260492
AB_N30,1,160,96,0.9216900298260899,0.8870155379100843
AB_N30,1,160,101,0.9167457028127955,0.8994949366070942
AB_N30,1,160,106,0.9249777334407258,0.8918492981070508
AB_N30,1,160,111,0.9308276373141503,0.9262096826260492
AB_N30,1,160,116,0.9163952833058798,0.8870155378501183
AB_N30,1,160,121,0.9370324366850764,0.9262096826260493
AB_N30,1,160,126,0.9211279091436813,0.8870155378501183
AB_N30,1,160,131,0.9299671739185418,0.9262096826260492
AB_N30,1,160,136,0.9204544738366736,0.8870155378501183
AB_N30,1,160,141,0.9225645925425233,0.9262096826260492
AB_N30,1,160,146,0.9231680334779933,0.8870155378501183
AB_N30,1,160,151,0.9196630247932135,0.9262096826260492
AB_N30,1,160,156,0.9095744397469291,0.8870155378501183
AB_N30,1,160,160,0.9177621011703675,0.8870155378501183
AB_N30,2,5,1,0.9237131982705893,0.9022937115064944
AB_N30,2,5,5,0.9253125808993226,0.8994949366752496
AB_N30,2,10,1,0.9228853744604095,0.9156510844664072
AB_N30,2,10,6,0.920355612166155,0.8870155378501183
AB_N30,2,10,10,0.9204971652938732,0.8870155379100843
AB_N30,2,20,1,0.9247933480359899,0.9262096826260492
AB_N30,2,20,6,0.9150135269554052,0.8870155378247013
AB_N30,2,20,11,0.9234591624967796,0.9262096826260493
AB_N30,2,20,16,0.9208296174101841,0.8870155378501183
AB_N30,2,20,20,0.9279699298622632,0.8870155379237616
AB_N30,2,40,1,0.9131275593961498,0.8801154786101751
AB_N30,2,40,6,0.9184166641279049,0.8870155379100844
AB_N30,2,40,11,0.9176360281493311,0.899494936594129
AB_N30,2,40,16,0.91572708701776,0.8870155378501183
AB_N30,2,40,21,0.9213685412141589,0.9262096826260492
AB_N30,2,40,26,0.9212362694009544,0.8870155379104931
AB_N30,2,40,31,0.9214175508444535,0.9262096826260492
AB_N30,2,40,36,0.9164452088993316,0.8870155378501183
AB_N30,2,40,40,0.9078937039535722,0.8870155378501183
AB_N30,2,80,1,0.9167026469975265,0.8994949365793556
AB_N30,2,80,6,0.9263260773455185,0.8870155379104931
AB_N30,2,80,11,0.923968680336596,0.9262096826260492
AB_N30,2,80,16,0.9185644266572351,0.8870155378501183
AB_N30,2,80,21,0.9288019831395972,0.9262096826260492
AB_N30,2,80,26,0.9212386047775328,0.8870155379102888
AB_N30,2,80,31,0.9247597634297872,0.9262096825945868
AB_N30,2,80,36,0.9258264558277184,0.8870155379104931
AB_N30,2,80,41,0.9252925133553497,0.9262096826260492
AB_N30,2,80,46,0.9191990807440303,0.8870155379100843
AB_N30,2,80,51,0.9205263974949947,0.8994949366645555
AB_N30,2,80,56,0.9203784725371995,0.8870155379100843
AB_N30,2,80,61,0.9318429653130079,0.9262096826260492
AB_N30,2,80,66,0.9275401538371841,0.8870155379104931
AB_N30,2,80,71,0.9168917474874303,0.9262096825945869
AB_N30,2,80,76,0.916313935141544,0.8870155378247013
AB_N30,2,80,80,0.9156860979581325,0.8870155378501183
AB_N30,2,160,1,0.923264750278839,0.9262096826260492
AB_N30,2,160,6,0.9169129309088581,0.8870155379100843
AB_N30,2,160,11,0.9256314656212319,0.9262096826260493
AB_N30,2,160,16,0.9144946248811026,0.8870155378501183
AB_N30,2,160,21,0.9332244241797116,0.9262096826708508
AB_N30,2,160,26,0.9266921491384986,0.8870155379104931
AB_N30,2,160,31,0.9301475298716306,0.9262096826393083
AB_N30,2,160,36,0.9216850919365537,0.8870155378501183
AB_N30,2,160,41,0.9295976174365751,0.9262096826393084
AB_N30,2,160,46,0.9169514578809093,0.8870155379104931
AB_N30,2,160,51,0.9269035652692557,0.9262096826260492
AB_N30,2,160,56,0.9243266232639739,0.8870155379104931
AB_N30,2,160,61,0.9244413459476535,0.9262096825945869
AB_N30,2,160,66,0.911287991292054,0.8870155378501183
AB_N30,2,160,71,0.9260756500182737,0.9262096826260492
AB_N30,2,160,76,0.921567131056124,0.8870155379237614
AB_N30,2,160,81,0.9192799970241238,0.9262096825945869
AB_N30,2,160,86,0.9196519230677365,0.8870155379104931
AB_N30,2,160,91,0.9172819945871139,0.8994949366298348
AB_N30,2,160,96,0.928475012565902,0.8966830583286085
AB_N30,2,160,101,0.9201315552661868,0.9262096826260492
AB_N30,2,160,106,0.9152967958329135,0.8870155379104931
AB_N30,2,160,111,0.9217922597426339,0.9262096826260491
AB_N30,2,160,116,0.9230835521560744,0.8870155379104931
AB_N30,2,160,121,0.9242542090364148,0.9262096826260492
AB_N30,2,160,126,0.9154389965337537,0.8870155379100843
AB_N30,2,160,131,0.9297407525210161,0.9262096826393083
AB_N30,2,160,136,0.9261914468414765,0.8966830582903402
AB_N30,2,160,141,0.9124602879038047,0.8858354944816462
AB_N30,2,160,146,0.9232479293949447,0.8870155379237614
AB_N30,2,160,151,0.917408271212209,0.8994949366070943
AB_N30,2,160,156,0.9241039532257157,0.8966830582903401
AB_N30,2,160,160,0.9199628119037702,0.8870155379104931
AB_N30,3,5,1,0.9198198552948014,0.8994949366822778
AB_N30,3,5,5,0.9193961163809549,0.9262096825945869
AB_N30,3,10,1,0.925726578189419,0.9262096826260492
AB_N30,3,10,6,0.9219278540878775,0.8870155378501183
AB_N30,3,10,10,0.9148724305853855,0.8870155378501183
AB_N30,3,20,1,0.9208490344970567,0.9262096825945869
AB_N30,3,20,6,0.9354474671031914,0.8870155379237616
AB_N30,3,20,11,0.9202583861112799,0.9262096825945868
AB_N30,3,20,16,0.9104487129852478,0.8870155378501183
AB_N30,3,20,20,0.9221429737944394,0.8870155378501183
AB_N30,3,40,1,0.9206863175885497,0.9262096825945868
AB_N30,3,40,6,0.9282402683583904,0.8870155379100843
AB_N30,3,40,11,0.9216684667753092,0.9262096826260492
AB_N30,3,40,16,0.9207724384937827,0.8870155379100843
AB_N30,3,40,21,0.9155484805892827,0.89949493665681
AB_N30,3,40,26,0.9100781642265651,0.8870155378247013
AB_N30,3,40,31,0.9268453041653731,0.9262096826260492
AB_N30,3,40,36,0.9206171967792618,0.8870155379100843
AB_N30,3,40,40,0.9227184833566288,0.8870155379104931
AB_N30,3,80,1,0.9292890083854547,0.9262096826260492
AB_N30,3,80,6,0.9289888234248785,0.8870155379104931
AB_N30,3,80,11,0.9252898234373901,0.9262096826260492
AB_N30,3,80,16,0.9256080632842925,0.8870155379100844
AB_N30,3,80,21,0.9164904318882191,0.8994949366070943
AB_N30,3,80,26,0.9276246638539338,0.8870155379104931
AB_N30,3,80,31,0.9148831366495626,0.8994949365668695
AB_N30,3,80,36,0.926915371235284,0.8870155379237616
AB_N30,3,80,41,0.9204531698652796,0.9262096826260492
AB_N30,3,80,46,0.9266885392415954,0.8870155379237616
AB_N30,3,80,51,0.9247722504025178,0.9262096826260492
AB_N30,3,80,56,0.9328674066860222,0.8966830582903402
AB_N30,3,80,61,0.9129137195173971,0.880115478610175
AB_N30,3,80,66,0.927367791087375,0.8870155379237616
