vertex_id,degree,vertex_type,depth,balance_mag,balance_angle,gap_angle_rad,gap_angle_deg,gap_direction,cos_gap_alignment,n_oversized_gaps,perp_x,perp_y
0,6,C,0.9590168678298647,0.1275611441216966,1.1780972450961729,1.5707963267948966,90.0,-0.7853981633974483,-0.3826834323650901,0,0.405591591,-0.0208152802
1,3,F,0.3122533117435896,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,0.686291501
2,3,F,0.3033645729093277,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,-0.0208152802
3,4,E,0.4422132289590407,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,0.686291501
4,6,C,0.6838151454858231,0.307959844170429,-1.963495408493621,2.356194490192345,135.0,1.1780972450961724,-1.0,1,0.405591591,0.3933982822
5,3,F,0.084216310696828,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,1.1005050634
6,3,F,0.23606664991016402,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,0.3933982822
7,4,E,0.17732731883551145,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,1.1005050634
8,6,C,0.9173027484405163,0.307959844170429,1.963495408493621,2.356194490192345,135.0,-1.1780972450961724,-1.0,1,0.405591591,-0.1923881554
9,4,E,0.39385973104010563,0.6532814824545203,-0.39269908170907947,3.926990817057952,225.0000000040514,2.7488935718557137,-1.0,1,-0.3015151902,0.5147186258
10,3,F,0.2996714081441333,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,-0.1923881554
11,5,D,0.5466385543571086,0.4828427124887612,-2.356194490192345,3.1415926536605037,180.00000000405143,0.7853981634328036,-1.0,1,0.6984848098,0.5147186258
12,8,A,0.7993585433349543,1.2500028789861067e-11,1.5707985472358317,0.7853981634681588,45.000000004051415,-1.963495408528976,,0,0.405591591,0.2218254069
13,3,F,0.18256792478408634,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,0.9289321881
14,3,F,0.2762056263772147,0.8047378541410318,3.1415926535690826,4.7123889804554,270.0000000040514,-3.5355274263793035e-11,-1.0,1,1.405591591,0.2218254069
15,4,E,0.28843428108681735,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,0.9289321881
16,5,D,0.8028447455575952,0.4828427124746191,1.5707963267948966,3.141592653589793,180.0,-1.5707963267948968,-1.0,1,0.405591591,-0.3639610307
17,4,E,0.46270242445821885,0.6532814824381883,-0.3926990816987241,3.9269908169872414,225.0,2.748893571891069,-1.0,1,-0.3015151902,0.3431457505
18,4,E,0.27716426796292226,0.6532814824381883,2.748893571891069,3.9269908169872414,225.0,-0.3926990816987242,-1.0,1,1.405591591,-0.3639610307
19,5,D,0.6438830818063885,0.482842712474619,-2.356194490192345,3.141592653589793,180.0,0.7853981633974483,-1.0,1,0.6984848098,0.3431457505
20,8,A,0.9138996707145289,2.7755575615628914e-17,3.141592653589793,0.7853981633974484,45.00000000000001,-0.3926990816987242,,0,0.405591591,0.0502525317
21,3,F,0.275705329084712,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,0.7573593129
22,3,F,0.299261412609242,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,0.0502525317
23,4,E,0.39772651971307516,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,0.7573593129
24,6,C,0.6358864841074459,0.307959844170429,-1.963495408493621,2.356194490192345,135.0,1.1780972450961724,-1.0,1,0.405591591,0.4644660941
25,3,F,0.042326167553248695,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,1.1715728753
26,3,F,0.21501595327614076,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,0.4644660941
27,4,E,0.13093743372879774,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,1.1715728753
28,6,C,0.9620305399425931,0.307959844181317,1.9634954085082654,2.3561944902630554,135.00000000405143,-1.1780972451315277,-1.0,1,0.405591591,-0.1213203436
29,4,E,0.36134321924854196,0.6532814824381883,-0.3926990816987241,3.9269908169872414,225.0,2.748893571891069,-1.0,1,-0.3015151902,0.5857864376
30,3,F,0.30353536984827456,0.8047378541410318,3.1415926535690826,4.7123889804554,270.0000000040514,-3.5355274263793035e-11,-1.0,1,1.405591591,-0.1213203436
31,5,D,0.5040029653914699,0.4828427124746191,-2.356194490192345,3.141592653589793,180.0,0.7853981633974483,-1.0,1,0.6984848098,0.5857864376
32,7,B,0.7515407895563415,0.1428571428571429,-2.356194490192345,1.5707963267948966,90.0,0.7853981633974483,-1.0,1,0.405591591,0.2928932188
33,3,F,0.14236150025698868,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,1.0
34,3,F,0.2615196140657391,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,0.2928932188
35,4,E,0.24258705385893842,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,1.0
36,6,C,0.8505268127001172,0.307959844170429,1.963495408493621,2.356194490192345,135.0,-1.1780972450961724,-1.0,1,0.405591591,-0.2928932188
37,4,E,0.4360546679167865,0.6532814824381883,-0.3926990816987241,3.9269908169872414,225.0,2.748893571891069,-1.0,1,-0.3015151902,0.4142135624
38,3,F,0.28868886211664413,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,-0.2928932188
39,5,D,0.6048229354845029,0.482842712474619,-2.356194490192345,3.141592653589793,180.0,0.7853981633974483,-1.0,1,0.6984848098,0.4142135624
40,8,A,0.8667429299387932,1.2500028789861067e-11,-1.5707985472358317,0.7853981634681588,45.000000004051415,1.1780972450608171,,0,0.405591591,0.1213203436
41,3,F,0.23788415330725377,0.8047378541243649,-0.7853981633681589,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,0.8284271247
42,3,F,0.29191896800110084,0.8047378541410316,-3.1415926535690826,4.7123889804554,270.0000000040514,3.5355274263793035e-11,-1.0,1,1.405591591,0.1213203436
43,4,E,0.35273565020090836,0.6532814824150912,-1.9634954085082654,3.926990816916531,224.99999999594857,1.1780972451315277,-1.0,1,0.6984848098,0.8284271247
44,5,D,0.7352077640846799,0.4828427124746191,1.5707963267948966,3.141592653589793,180.0,-1.5707963267948968,-1.0,1,0.405591591,-0.4644660941
45,4,E,0.4949669989521074,0.6532814824381883,-0.3926990816987241,3.9269908169872414,225.0,2.748893571891069,-1.0,1,-0.3015151902,0.2426406871
46,3,F,0.255865449427079,0.8047378541243652,2.356194490192345,4.71238898038469,270.0,-0.7853981633974485,-1.0,1,1.405591591,-0.4644660941
47,6,C,0.6947314184393028,0.307959844170429,-2.748893571891069,2.356194490192345,135.0,0.3926990816987242,-1.0,1,0.6984848098,0.2426406871
48,8,A,0.9744059615259641,2.7755575615628914e-17,3.141592653589793,0.7853981633974484,45.00000000000001,-0.3926990816987242,,0,0.405591591,-0.0502525317
49,3,F,0.32696993229409954,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,0.6568542495
50,3,F,0.30410032622457783,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,-0.0502525317
51,4,E,0.4604631182422759,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,0.6568542495
52,6,C,0.7036598326018898,0.307959844170429,-1.963495408493621,2.356194490192345,135.0,1.1780972450961724,-1.0,1,0.405591591,0.3639610307
53,3,F,0.10138833452445628,0.8047378541243652,-0.7853981633974483,4.71238898038469,270.0,2.356194490192345,-1.0,1,-0.3015151902,1.0710678119
54,3,F,0.24406429111407324,0.8047378541243652,3.141592653589793,4.71238898038469,270.0,0.0,-1.0,1,1.405591591,0.3639610307
55,4,E,0.1964867766680065,0.6532814824381883,-1.9634954084936207,3.9269908169872414,225.0,1.1780972450961724,-1.0,1,0.6984848098,1.0710678119
56,6,C,0.897898072855791,0.30795984415503097,1.9634954085143317,2.356194490192345,135.0,-1.1780972450961724,-1.0,1,0.405591591,-0.2218254069
57,4,E,0.4067121096293713,0.6532814824449532,-0.3926990816737241,3.9269908169872414,225.0,2.748893571891069,-1.0,1,-0.3015151902,0.4852813742
58,3,F,0.29711586681595226,0.8047378541410316,-3.1415926535690826,4.7123889804554,270.0000000040514,3.5355274263793035e-11,-1.0,1,1.405591591,-0.2218254069
