vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
0,-60.4055915910,-24.0208152802,6,1,-30,-30,-12,13,0.4055915910,-0.0208152802,0.4061253681,-59
1,-59.6984848098,-23.3137084990,3,2,-30,-29,-12,13,-0.3015151902,0.6862915010,0.7496048521,-58
2,-59.4055915910,-24.0208152802,3,2,-29,-30,-12,13,1.4055915910,-0.0208152802,1.4057457084,-58
3,-58.6984848098,-23.3137084990,4,3,-29,-29,-12,13,0.6984848098,0.6862915010,0.9792226784,-57
4,-60.4055915910,-21.6066017178,6,0,-30,-29,-11,14,0.4055915910,0.3933982822,0.5650369432,-56
5,-59.6984848098,-20.8994949366,3,1,-30,-28,-11,14,-0.3015151902,1.1005050634,1.1410621387,-55
6,-59.4055915910,-21.6066017178,3,1,-29,-29,-11,14,1.4055915910,0.3933982822,1.4596060870,-55
7,-58.6984848098,-20.8994949366,4,2,-29,-28,-11,14,0.6984848098,1.1005050634,1.3034540361,-54
8,-60.4055915910,-18.1923881554,6,0,-30,-28,-9,15,0.4055915910,-0.1923881554,0.4489072745,-52
9,-59.6984848098,-17.4852813742,4,1,-30,-27,-9,15,-0.3015151902,0.5147186258,0.5965288540,-51
10,-59.4055915910,-18.1923881554,3,1,-29,-28,-9,15,1.4055915910,-0.1923881554,1.4186969102,-51
11,-58.6984848098,-17.4852813742,5,2,-29,-27,-9,15,0.6984848098,0.5147186258,0.8676498679,-50
12,-60.4055915910,-15.7781745931,8,3,-30,-27,-8,16,0.4055915910,0.2218254069,0.4622889247,-49
13,-59.6984848098,-15.0710678119,3,0,-30,-26,-8,16,-0.3015151902,0.9289321881,0.9766403740,-48
14,-59.4055915910,-15.7781745931,3,0,-29,-27,-8,16,1.4055915910,0.2218254069,1.4229877835,-48
15,-58.6984848098,-15.0710678119,4,1,-29,-26,-8,16,0.6984848098,0.9289321881,1.1622375143,-47
16,-60.4055915910,-12.3639610307,5,3,-30,-26,-6,17,0.4055915910,-0.3639610307,0.5449515305,-45
17,-59.6984848098,-11.6568542495,4,0,-30,-25,-6,17,-0.3015151902,0.3431457505,0.4567936252,-44
18,-59.4055915910,-12.3639610307,4,0,-29,-26,-6,17,1.4055915910,-0.3639610307,1.4519488120,-44
19,-58.6984848098,-11.6568542495,5,1,-29,-25,-6,17,0.6984848098,0.3431457505,0.7782223562,-43
20,-60.4055915910,-9.9497474683,8,2,-30,-25,-5,18,0.4055915910,0.0502525317,0.4086928622,-42
21,-59.6984848098,-9.2426406871,3,3,-30,-24,-5,18,-0.3015151902,0.7573593129,0.8151714781,-41
22,-59.4055915910,-9.9497474683,3,3,-29,-25,-5,18,1.4055915910,0.0502525317,1.4064896152,-41
23,-58.6984848098,-9.2426406871,4,0,-29,-24,-5,18,0.6984848098,0.7573593129,1.0302786800,-40
24,-60.4055915910,-7.5355339059,6,1,-30,-24,-4,19,0.4055915910,0.4644660941,0.6166305955,-39
