vertex_id,x,y,degree,k_sum_mod5,K0,K1,K2,K3,K4,perp_x,perp_y,perp_r,k_sum
0,-60.9959346906,-43.1405700836,5,1,-24,-24,10,30,9,0.4959346906,-0.3757829997,0.6222251042,1
1,-60.6869176962,-42.1895135673,5,2,-24,-23,10,30,9,-0.3130823038,0.2120022525,0.3781077677,2
2,-59.9959346906,-43.1405700836,3,2,-23,-24,10,30,9,1.4959346906,-0.3757829997,1.5424115733,2
3,-59.6869176962,-42.1895135673,4,3,-23,-23,10,30,9,0.6869176962,0.2120022525,0.7188886398,3
4,-60.1869176962,-40.6506717987,5,0,-24,-23,10,29,8,0.1869176962,-0.1512690115,0.2404590173,0
5,-59.8779007019,-39.6996152824,3,1,-24,-22,10,29,8,-0.6220992981,0.4365162408,0.7599697134,1
6,-59.1869176962,-40.6506717987,3,1,-23,-23,10,29,8,1.1869176962,-0.1512690115,1.1965182537,1
7,-58.8779007019,-39.6996152824,7,2,-23,-22,10,29,8,0.3779007019,0.4365162408,0.5773693523,2
8,-60.9959346906,-38.1607735138,4,1,-24,-22,11,29,7,0.4959346906,0.0732449768,0.5013143166,1
9,-60.6869176962,-37.2097169975,5,2,-24,-21,11,29,7,-0.3130823038,0.6610302291,0.7314242905,2
10,-59.9959346906,-38.1607735138,5,2,-23,-22,11,29,7,1.4959346906,0.0732449768,1.4977267525,2
11,-59.6869176962,-37.2097169975,3,3,-23,-21,11,29,7,0.6869176962,0.6610302291,0.9533188791,3
12,-60.1869176962,-35.6708752289,5,0,-24,-21,11,28,6,0.1869176962,0.2977589651,0.3515659632,0
13,-59.8779007019,-34.7198187126,3,1,-24,-20,11,28,6,-0.6220992981,0.8855442174,1.0822181378,1
14,-59.1869176962,-35.6708752289,3,1,-23,-21,11,28,6,1.1869176962,0.2977589651,1.2236968656,1
15,-58.8779007019,-34.7198187126,5,2,-23,-20,11,28,6,0.3779007019,0.8855442174,0.9628070946,2
16,-60.1869176962,-32.5931916918,3,0,-24,-20,12,27,5,0.1869176962,-0.4287835629,0.4677537482,0
17,-59.8779007019,-31.6421351755,5,1,-24,-19,12,27,5,-0.6220992981,0.1590016894,0.6420974022,1
18,-59.1869176962,-32.5931916918,5,1,-23,-20,12,27,5,1.1869176962,-0.4287835629,1.2619940418,1
19,-58.8779007019,-31.6421351755,5,2,-23,-19,12,27,5,0.3779007019,0.1590016894,0.4099883873,2
20,-60.9959346906,-30.1032934069,5,1,-24,-19,13,27,4,0.4959346906,-0.2042695746,0.5363555504,1
21,-60.6869176962,-29.1522368906,5,2,-24,-18,13,27,4,-0.3130823038,0.3835156777,0.4950806035,2
22,-59.9959346906,-30.1032934069,3,2,-23,-19,13,27,4,1.4959346906,-0.2042695746,1.5098167630,2
23,-59.6869176962,-29.1522368906,4,3,-23,-18,13,27,4,0.6869176962,0.3835156777,0.7867275236,3
24,-60.1869176962,-27.6133951220,5,0,-24,-18,13,26,3,0.1869176962,0.0202444137,0.1880108014,0
25,-59.8779007019,-26.6623386057,3,1,-24,-17,13,26,3,-0.6220992981,0.6080296660,0.8698894248,1
26,-59.1869176962,-27.6133951220,3,1,-23,-18,13,26,3,1.1869176962,0.0202444137,1.1870903310,1
27,-58.8779007019,-26.6623386057,5,2,-23,-17,13,26,3,0.3779007019,0.6080296660,0.7158973496,2
28,-60.1869176962,-24.5357115848,3,0,-24,-17,14,25,2,0.1869176962,-0.7062981143,0.7306129286,0
29,-59.8779007019,-23.5846550685,5,1,-24,-16,14,25,2,-0.6220992981,-0.1185128620,0.6332873244,1
30,-59.1869176962,-24.5357115848,5,1,-23,-17,14,25,2,1.1869176962,-0.7062981143,1.3811700272,1
31,-58.8779007019,-23.5846550685,6,2,-23,-16,14,25,2,0.3779007019,-0.1185128620,0.3960482785,2
32,-60.1869176962,-22.6335985522,4,0,-24,-16,14,25,1,0.1869176962,0.4692723903,0.5051284999,0
33,-59.8779007019,-21.6825420359,3,1,-24,-15,14,25,1,-0.6220992981,1.0570576426,1.2265310418,1
34,-59.1869176962,-22.6335985522,3,1,-23,-16,14,25,1,1.1869176962,0.4692723903,1.2763190016,1
35,-58.8779007019,-21.6825420359,5,2,-23,-15,14,25,1,0.3779007019,1.0570576426,1.1225773025,2
36,-60.1869176962,-19.5559150151,5,0,-24,-15,15,24,0,0.1869176962,-0.2572701377,0.3180033788,0
37,-59.8779007019,-18.6048584988,4,1,-24,-14,15,24,0,-0.6220992981,0.3305151146,0.7044485628,1
38,-59.1869176962,-19.5559150151,3,1,-23,-15,15,24,0,1.1869176962,-0.2572701377,1.2144799469,1
39,-58.8779007019,-18.6048584988,6,2,-23,-14,15,24,0,0.3779007019,0.3305151146,0.5020449994,2
40,-60.9959346906,-17.0660167302,7,1,-24,-14,16,24,-1,0.4959346906,-0.0327561494,0.4970152741,1
41,-60.6869176962,-16.1149602139,5,2,-24,-13,16,24,-1,-0.3130823038,0.5550291029,0.6372423667,2
42,-59.9959346906,-17.0660167302,4,2,-23,-14,16,24,-1,1.4959346906,-0.0327561494,1.4962932747,2
43,-59.6869176962,-16.1149602139,3,3,-23,-13,16,24,-1,0.6869176962,0.5550291029,0.8831269594,3
44,-60.1869176962,-14.5761184453,5,0,-24,-13,16,23,-2,0.1869176962,0.1917578388,0.2677859106,0
45,-59.8779007019,-13.6250619290,3,1,-24,-12,16,23,-2,-0.6220992981,0.7795430911,0.9973439566,1
46,-59.1869176962,-14.5761184453,3,1,-23,-13,16,23,-2,1.1869176962,0.1917578388,1.2023080664,1
47,-58.8779007019,-13.6250619290,5,2,-23,-12,16,23,-2,0.3779007019,0.7795430911,0.8663119366,2
48,-60.1869176962,-11.4984349081,3,0,-24,-12,17,22,-3,0.1869176962,-0.5347846892,0.5665093900,0
49,-59.8779007019,-10.5473783918,5,1,-24,-11,17,22,-3,-0.6220992981,0.0530005631,0.6243529422,1
50,-59.1869176962,-11.4984349081,5,1,-23,-12,17,22,-3,1.1869176962,-0.5347846892,1.3018326626,1
51,-58.8779007019,-10.5473783918,5,2,-23,-11,17,22,-3,0.3779007019,0.0530005631,0.3815992665,2
52,-60.9959346906,-9.0085366232,7,1,-24,-11,18,22,-4,0.4959346906,-0.3102707009,0.5849949788,1
53,-60.6869176962,-8.0574801069,5,2,-24,-10,18,22,-4,-0.3130823038,0.2775145514,0.4183716711,2
54,-59.9959346906,-9.0085366232,3,2,-23,-11,18,22,-4,1.4959346906,-0.3102707009,1.5277724001,2
55,-59.6869176962,-8.0574801069,4,3,-23,-10,18,22,-4,0.6869176962,0.2775145514,0.7408577783,3
56,-60.1869176962,-6.5186383384,5,0,-24,-10,18,21,-5,0.1869176962,-0.0857567126,0.2056512556,0
57,-59.8779007019,-5.5675818221,3,1,-24,-9,18,21,-5,-0.6220992981,0.5020285397,0.7993998946,1
58,-59.1869176962,-6.5186383384,3,1,-23,-10,18,21,-5,1.1869176962,-0.0857567126,1.1900116938,1
59,-58.8779007019,-5.5675818221,7,2,-23,-9,18,21,-5,0.3779007019,0.5020285397,0.6283642217,2
