substrate,group,seed,candidate_count,walkers,alpha_phys_msd,alpha_phys_r2,tortuosity_median,tortuosity_p90,final_perp_mismatch_mean,spearman_texture_vs_perp,spearman_depth_vs_perp,nr_frac_t1024_d1.0,nr_n_t1024_d1.0,nr_mean_perp_t1024_d1.0,nr_median_perp_t1024_d1.0,nr_frac_t1024_d2.0,nr_n_t1024_d2.0,nr_mean_perp_t1024_d2.0,nr_median_perp_t1024_d2.0,nr_frac_t1024_d3.0,nr_n_t1024_d3.0,nr_mean_perp_t1024_d3.0,nr_median_perp_t1024_d3.0
AB_N30,all_interior75,4.5,16999.0,16999.0,0.9451372803915687,0.999693641825723,965.4200650808616,2460.6111612162977,1.0850086073083072,-0.09252587888012373,-0.31434375427661143,0.0012765456791575976,21.7,0.8230666837962858,0.9238795324977704,0.006535678569327607,111.1,0.9683467672923232,0.76536686473746,0.009759397611624214,165.9,1.0628633049139076,1.0823922002778157
AB_N30,depth_high_q25,4.5,4250.0,4250.0,0.9465240506010909,0.9995597039968557,1221.370197787902,3060.129090898572,0.8575143954999824,-0.017731642728404644,-0.11327802673419804,0.0013176470588235293,5.6,0.16035909028741305,0.0,0.007247058823529412,30.8,0.7612264679218517,0.76536686473746,0.010470588235294117,44.5,0.8598833033258968,0.8287719318466792
AB_N30,depth_low_q25,4.5,4250.0,4250.0,0.9475367435194233,0.9995184405433093,801.8034889409407,1895.768038398011,1.27462377499432,-0.006437302019432099,-0.07618581609938603,0.0012941176470588236,5.5,0.9777725052368827,1.0162674857432452,0.005858823529411765,24.9,1.119366289254376,1.0249055437882313,0.010023529411764705,42.6,1.2730858772934266,1.1985296770161955
AB_N30,texture_high_depth_high,4.5,1333.0,1333.0,0.9404004506875856,0.9993832708596461,1214.1332238609987,3046.8362231800074,0.8563091014773111,-0.03898200015502571,-0.11824573211319944,0.0012003000750187547,1.6,0.23096988312523523,0.23096988312523523,0.006676669167291822,8.9,0.7145795119220456,0.7653668647412868,0.01005251312828207,13.4,0.8378983211719172,0.8129206650875519
AB_N30,texture_high_q25,4.5,4251.0,4251.0,0.9418260609463667,0.9996324419857341,1011.7862583624355,2537.2881227504527,1.043784754869981,0.07900345317708166,-0.31278478314996955,0.0011761938367442955,5.0,0.7751789220290085,0.5543277194970659,0.006516113855563397,27.7,0.9602625797768543,0.7653668647508539,0.009785932721712538,41.6,1.0593282510772373,1.0665409334976408
AB_N30,texture_low_depth_low,4.5,2088.0,2088.0,0.9486901546714168,0.9993776250114091,788.4605209418744,1860.4683952259925,1.2888238223646247,-0.0005360899696873259,-0.04459456360712481,0.0018199233716475096,3.8,1.2592135850643986,1.4371459394756723,0.006800766283524903,14.2,1.1467627827734537,1.1222325484520073,0.011159003831417625,23.3,1.2991994566541616,1.1487564727194615
AB_N30,texture_low_q25,4.5,4434.0,4434.0,0.9450474165731972,0.9995910894953495,833.7240983573647,2054.216360090565,1.227101795763058,-0.011732321482141265,-0.12232858718320824,0.0016238159675236806,7.2,1.232352643100389,1.3858192987801126,0.006585475868290483,29.2,1.1631870414539356,1.1871172181952268,0.009945872801082544,44.1,1.2653554974154704,1.231711813223408
Penrose_N24,all_interior75,4.5,21539.0,20000.0,0.9599362050063011,0.9998310443667364,938.1628061778114,2380.1918046226874,1.1315367234717897,-0.03408317674995951,-0.38612858610532397,0.001065,21.3,0.6141042787469502,0.0,0.00636,127.2,1.031286808673609,1.1755705045666462,0.008435,168.7,1.189467348011648,1.1755705046075366
Penrose_N24,depth_high_q25,4.5,5385.0,5385.0,0.9639136688048424,0.999737334353284,1206.7708752576532,3036.506261155662,0.870893454046006,-0.004286848057312607,-0.09018776064102967,0.0011513463324048282,6.2,0.3512161078780781,0.1618033988767337,0.006703806870937789,36.1,0.7815775306954291,0.7016644661294523,0.00872794800371402,47.0,0.9088742149773139,1.0361863756156449
Penrose_N24,depth_low_q25,4.5,5385.0,5385.0,0.9606028460155672,0.9997681854239483,705.7822590863941,1532.01637348554,1.4431487919553614,-0.0030101402074052697,-0.1324897546513072,0.0006685236768802228,3.6,0.6674390203628415,0.7281152949346266,0.005942432683379758,32.0,1.28710769049541,1.1755705046050657,0.009099350046425255,49.0,1.5189044815842592,1.399263470861094
