substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,all_interior75,0,64,1.0,59.38948603425331,0.018236366845108536,310,0.9059979931716956,0.0
AB_N30,all_interior75,0,64,2.0,59.38948603425331,0.08847579269368787,1504,1.0020322507578467,0.76536686473746
AB_N30,all_interior75,0,64,3.0,59.38948603425331,0.12577210424142596,2138,1.0884710023695496,1.0823922002644217
AB_N30,all_interior75,0,128,1.0,116.25673786514311,0.008647567503970822,147,0.9301644272879813,1.8477590649094937
AB_N30,all_interior75,0,128,2.0,116.25673786514311,0.04482616624507324,762,1.000054015052636,0.76536686473746
AB_N30,all_interior75,0,128,3.0,116.25673786514311,0.06512147773398436,1107,1.1025645413408858,1.08239220030269
AB_N30,all_interior75,0,256,1.0,227.53774233700548,0.0033531384199070534,57,0.9076711196567132,0.0
AB_N30,all_interior75,0,256,2.0,227.53774233700548,0.021883640214130244,372,0.9988277838718966,0.76536686473746
AB_N30,all_interior75,0,256,3.0,227.53774233700548,0.03200188246367433,544,1.08325923631643,1.0823922002644217
AB_N30,all_interior75,0,512,1.0,437.1327746602738,0.002706041531854815,46,0.8033735065274897,0.0
AB_N30,all_interior75,0,512,2.0,437.1327746602738,0.012471321842461322,212,1.003244468238241,0.76536686473746
AB_N30,all_interior75,0,512,3.0,437.1327746602738,0.018118712865462676,308,1.0677979758596434,1.08239220030269
AB_N30,all_interior75,0,1024,1.0,811.432430652355,0.0011177128066356846,19,0.8752542939643729,0.0
AB_N30,all_interior75,0,1024,2.0,811.432430652355,0.006882757809282899,117,0.9479658502417994,0.76536686473746
AB_N30,all_interior75,0,1024,3.0,811.432430652355,0.010706512147773399,182,1.0425270298203189,1.0823922002644217
AB_N30,texture_high_q25,0,64,1.0,58.92193131015773,0.021641966596095037,92,0.8435421818446092,0.0
AB_N30,texture_high_q25,0,64,2.0,58.92193131015773,0.09503646200893907,404,0.98930294256465,0.7653668647757284
AB_N30,texture_high_q25,0,64,3.0,58.92193131015773,0.13173370971536108,560,1.0655386807678002,1.0823922002644217
AB_N30,texture_high_q25,0,128,1.0,117.28164422315304,0.011526699600094096,49,0.8673154794901662,0.0
AB_N30,texture_high_q25,0,128,2.0,117.28164422315304,0.04234297812279464,180,0.941714427749778,0.76536686473746
AB_N30,texture_high_q25,0,128,3.0,117.28164422315304,0.06233827334744766,265,1.0212040523239418,1.0823922002644217
AB_N30,texture_high_q25,0,256,1.0,231.55963713779127,0.0037638202775817455,16,0.923879532494176,0.9238795324547469
AB_N30,texture_high_q25,0,256,2.0,231.55963713779127,0.020465772759350742,87,0.979519159036001,0.76536686473746
AB_N30,texture_high_q25,0,256,3.0,231.55963713779127,0.030110562220653964,128,1.0621137773087583,1.0823922002644217
AB_N30,texture_high_q25,0,512,1.0,437.5038277773331,0.0028228652081863093,12,1.0778594545586921,1.8477590649094937
AB_N30,texture_high_q25,0,512,2.0,437.5038277773331,0.013408609738884969,57,1.0019039093327684,0.7653668647757282
AB_N30,texture_high_q25,0,512,3.0,437.5038277773331,0.018583862620559867,79,1.0761508514146911,1.0823922002644217
