substrate,perturbation,replicate,feature_set,auc
AB_N30,native,0,address,0.9788112381551115
AB_N30,native,0,weave,0.99854431478098
AB_N30,native,0,hybrid,0.998853575240827
AB_N30,rewire,0,address,0.97922945194266
AB_N30,rewire,0,weave,0.9918724173722848
AB_N30,rewire,0,hybrid,0.9904897087810979
AB_N30,rewire,1,address,0.9791935980301631
AB_N30,rewire,1,weave,0.9909899036037275
AB_N30,rewire,1,hybrid,0.9908095289548994
AB_N30,rewire,2,address,0.9787563112708983
AB_N30,rewire,2,weave,0.9912412493533199
AB_N30,rewire,2,hybrid,0.9904509898299313
AB_N30,rewire,3,address,0.9791590538496296
AB_N30,rewire,3,weave,0.9919216141791581
AB_N30,rewire,3,hybrid,0.9905174587270715
AB_N30,rewire,4,address,0.9790801424988376
AB_N30,rewire,4,weave,0.99149607407844
AB_N30,rewire,4,hybrid,0.990594241763423
AB_N30,rewire,5,address,0.9794020909870795
AB_N30,rewire,5,weave,0.991243459526008
AB_N30,rewire,5,hybrid,0.9903635652213775
AB_N30,rewire,6,address,0.9792560558731656
AB_N30,rewire,6,weave,0.9912162825877684
AB_N30,rewire,6,hybrid,0.9903926248993142
AB_N30,rewire,7,address,0.9793416796002696
AB_N30,rewire,7,weave,0.991227701813324
AB_N30,rewire,7,hybrid,0.9909329711924455
AB_N30,rewire,8,address,0.9788187691139009
AB_N30,rewire,8,weave,0.9909901082493467
AB_N30,rewire,8,hybrid,0.9900865569111281
AB_N30,rewire,9,address,0.9789648042278146
AB_N30,rewire,9,weave,0.9906305458962823
AB_N30,rewire,9,hybrid,0.9898070928534476
AB_N30,shuffle,0,address,0.5009235247506598
AB_N30,shuffle,0,weave,0.998551927598017
AB_N30,shuffle,0,hybrid,0.9985228679200802
AB_N30,shuffle,1,address,0.5108844456232032
AB_N30,shuffle,1,weave,0.9985225814162132
AB_N30,shuffle,1,hybrid,0.9984781733168306
AB_N30,shuffle,2,address,0.5033325311225059
AB_N30,shuffle,2,weave,0.9985617915168661
AB_N30,shuffle,2,hybrid,0.998513044930355
AB_N30,shuffle,3,address,0.48463815380182446
AB_N30,shuffle,3,weave,0.9983919765819925
AB_N30,shuffle,3,hybrid,0.9987164626759133
AB_N30,shuffle,4,address,0.4876150926962797
AB_N30,shuffle,4,weave,0.9985554884317924
AB_N30,shuffle,4,hybrid,0.9984905339122349
AB_N30,shuffle,5,address,0.5079552300871627
AB_N30,shuffle,5,weave,0.9985867173532936
AB_N30,shuffle,5,hybrid,0.9984626202497658
AB_N30,shuffle,6,address,0.5033137855837804
AB_N30,shuffle,6,weave,0.9986337858457266
AB_N30,shuffle,6,hybrid,0.9983038152492093
AB_N30,shuffle,7,address,0.4791088747437837
AB_N30,shuffle,7,weave,0.9986933786500592
AB_N30,shuffle,7,hybrid,0.9986552327066266
AB_N30,shuffle,8,address,0.48839364649024575
AB_N30,shuffle,8,weave,0.9985318723273282
AB_N30,shuffle,8,hybrid,0.998436098177508
AB_N30,shuffle,9,address,0.5015862491241168
AB_N30,shuffle,9,weave,0.9985653114215175
AB_N30,shuffle,9,hybrid,0.9983900119840474
Penrose_N24,native,0,address,0.5526668932539496
Penrose_N24,native,0,weave,0.9084419840391197
Penrose_N24,native,0,hybrid,0.9115655979199648
Penrose_N24,rewire,0,address,0.5741826179305669
Penrose_N24,rewire,0,weave,0.8308399341153899
Penrose_N24,rewire,0,hybrid,0.855999123702232
Penrose_N24,rewire,1,address,0.5624808422555833
Penrose_N24,rewire,1,weave,0.8320635505205498
Penrose_N24,rewire,1,hybrid,0.8488293942005676
Penrose_N24,rewire,2,address,0.5684598615954389
Penrose_N24,rewire,2,weave,0.835612579020061
Penrose_N24,rewire,2,hybrid,0.8472431329628602
Penrose_N24,rewire,3,address,0.5758448339902561
Penrose_N24,rewire,3,weave,0.821030380125711
Penrose_N24,rewire,3,hybrid,0.8519313710994834
Penrose_N24,rewire,4,address,0.5722787889059981
Penrose_N24,rewire,4,weave,0.8347736951998355
Penrose_N24,rewire,4,hybrid,0.8570656466031742
Penrose_N24,rewire,5,address,0.5645160708683281
Penrose_N24,rewire,5,weave,0.8267478399079707
Penrose_N24,rewire,5,hybrid,0.8535924602330304
Penrose_N24,rewire,6,address,0.5710849233509916
Penrose_N24,rewire,6,weave,0.833454177379978
Penrose_N24,rewire,6,hybrid,0.8570793951021085
Penrose_N24,rewire,7,address,0.5663556651027937
Penrose_N24,rewire,7,weave,0.8367249678149893
Penrose_N24,rewire,7,hybrid,0.8544933249910747
Penrose_N24,rewire,8,address,0.5689417352138275
Penrose_N24,rewire,8,weave,0.8314737173777421
Penrose_N24,rewire,8,hybrid,0.8550745934952021
Penrose_N24,rewire,9,address,0.563112371665651
Penrose_N24,rewire,9,weave,0.8305524552565244
Penrose_N24,rewire,9,hybrid,0.8550002163698194
Penrose_N24,shuffle,0,address,0.5176199410031626
Penrose_N24,shuffle,0,weave,0.90868923163471
Penrose_N24,shuffle,0,hybrid,0.9088814852345629
Penrose_N24,shuffle,1,address,0.47834340955561244
Penrose_N24,shuffle,1,weave,0.909315126414067
Penrose_N24,shuffle,1,hybrid,0.9069433976552723
Penrose_N24,shuffle,2,address,0.49391707806983687
Penrose_N24,shuffle,2,weave,0.9082505192875664
Penrose_N24,shuffle,2,hybrid,0.9083590422750566
Penrose_N24,shuffle,3,address,0.4809856005885259
Penrose_N24,shuffle,3,weave,0.9086758212136182
Penrose_N24,shuffle,3,hybrid,0.9075614039516342
Penrose_N24,shuffle,4,address,0.5445888612817027
Penrose_N24,shuffle,4,weave,0.9090660757366491
Penrose_N24,shuffle,4,hybrid,0.9097361460207788
Penrose_N24,shuffle,5,address,0.45238376432999283
Penrose_N24,shuffle,5,weave,0.9087640595305496
Penrose_N24,shuffle,5,hybrid,0.908134107817081
Penrose_N24,shuffle,6,address,0.45900423002996726
Penrose_N24,shuffle,6,weave,0.9098929014471534
Penrose_N24,shuffle,6,hybrid,0.9087201094110052
Penrose_N24,shuffle,7,address,0.4626534422635168
Penrose_N24,shuffle,7,weave,0.9085866813557731
Penrose_N24,shuffle,7,hybrid,0.9093324810766562
Penrose_N24,shuffle,8,address,0.4993932629650598
Penrose_N24,shuffle,8,weave,0.9089191245677111
Penrose_N24,shuffle,8,hybrid,0.9097043667035697
Penrose_N24,shuffle,9,address,0.46875664886423873
Penrose_N24,shuffle,9,weave,0.9084805249131815
Penrose_N24,shuffle,9,hybrid,0.9059843835082924
