substrate,perturbation,feature_set,mean_auc,std_auc,min_auc,max_auc,n_reps
AB_N30,native,address,0.9788,0.0000,0.9788,0.9788,1
AB_N30,native,hybrid,0.9989,0.0000,0.9989,0.9989,1
AB_N30,native,weave,0.9985,0.0000,0.9985,0.9985,1
AB_N30,rewire,address,0.9791,0.0002,0.9788,0.9794,10
AB_N30,rewire,hybrid,0.9904,0.0003,0.9898,0.9909,10
AB_N30,rewire,weave,0.9913,0.0004,0.9906,0.9919,10
AB_N30,shuffle,address,0.4968,0.0103,0.4791,0.5109,10
AB_N30,shuffle,hybrid,0.9985,0.0001,0.9983,0.9987,10
AB_N30,shuffle,weave,0.9986,0.0001,0.9984,0.9987,10
Penrose_N24,native,address,0.5527,0.0000,0.5527,0.5527,1
Penrose_N24,native,hybrid,0.9116,0.0000,0.9116,0.9116,1
Penrose_N24,native,weave,0.9084,0.0000,0.9084,0.9084,1
Penrose_N24,rewire,address,0.5687,0.0044,0.5625,0.5758,10
Penrose_N24,rewire,hybrid,0.8536,0.0032,0.8472,0.8571,10
Penrose_N24,rewire,weave,0.8313,0.0044,0.8210,0.8367,10
Penrose_N24,shuffle,address,0.4858,0.0273,0.4524,0.5446,10
Penrose_N24,shuffle,hybrid,0.9083,0.0012,0.9060,0.9097,10
Penrose_N24,shuffle,weave,0.9089,0.0004,0.9083,0.9099,10
