full  activeProj  B  #dirEv  ->  {projSuccClass: multiplicity}  (exact probs)
   0      P0     2     4    -> {0: 4}   probs {0:1}
   1      P0     2     4    -> {0: 4}   probs {0:1}
   2      P0     2     4    -> {0: 4}   probs {0:1}
   3      P1     2     4    -> {1: 2, 3: 2}   probs {1:1/2, 3:1/2}
   4      P1     2     4    -> {1: 2, 3: 2}   probs {1:1/2, 3:1/2}
   5      P2     3     6    -> {0: 2, 1: 2, 2: 2}   probs {0:1/3, 1:1/3, 2:1/3}
   6      P0     2     4    -> {0: 4}   probs {0:1}
   7      P2     3     6    -> {0: 2, 1: 2, 2: 2}   probs {0:1/3, 1:1/3, 2:1/3}
   8      P3     1     2    -> {3: 2}   probs {3:1}
   9      P1     2     4    -> {1: 2, 3: 2}   probs {1:1/2, 3:1/2}
  10      P3     1     2    -> {3: 2}   probs {3:1}
