class  q  menu0 | EXTENDED O0        O1(renewal)     O2(consult)   | CONTROL O0/O1/O2
   0   1   1   |  0.601  0.452          0.119       |  0/0/0
   0   4   0   |  0.217  0.047          0.005       |  0/0/0
   1   1   2   |  0.454  0.395          0.109       |  0/0/0
   1   3   0   |  0.234  0.078          0.008       |  0/0/0
   2   1   0   |  0.259  0.000          0.000       |  0/0/0
   2   2   0   |  0.259  0.000          0.000       |  0/0/0
   3   0   0   |  0.385  0.249          0.046       |  0/0/0
   3   2   2   |  0.376  0.370          0.094       |  0/0/0
   4   0   0   |  0.106  0.010          0.000       |  0/0/0
   4   1   2   |  0.398  0.391          0.108       |  0/0/0
   5   0   0   |  0.418  0.080          0.010       |  0/0/0
   5   4   0   |  0.324  0.208          0.037       |  0/0/0
   6   0   0   |  0.359  0.019          0.001       |  0/0/0
   6   1   2   |  0.443  0.389          0.102       |  0/0/0
   7   0   0   |  0.335  0.214          0.040       |  0/0/0
   7   3   0   |  0.335  0.214          0.040       |  0/0/0
   8   1   2   |  0.316  0.290          0.050       |  0/0/0
   8   2   1   |  0.172  0.146          0.018       |  0/0/0
   9   2   1   |  0.445  0.435          0.115       |  0/0/0
   9   4   0   |  0.410  0.260          0.051       |  0/0/0
  10   1   2   |  0.273  0.261          0.045       |  0/0/0
  10   2   1   |  0.394  0.375          0.088       |  0/0/0
