depth2_class  B  n_directed_events  ->  {successor_class: multiplicity}  (prob)
  class  0   2    4   -> {0: 1, 1: 1, 2: 1, 3: 1}   probs {0: 0.25, 1: 0.25, 2: 0.25, 3: 0.25}
  class  1   2    4   -> {2: 2, 4: 1, 5: 1}   probs {2: 0.5, 4: 0.25, 5: 0.25}
  class  2   2    4   -> {3: 4}   probs {3: 1.0}
  class  3   2    4   -> {6: 1, 7: 1, 8: 1, 9: 1}   probs {6: 0.25, 7: 0.25, 8: 0.25, 9: 0.25}
  class  4   2    4   -> {10: 1, 11: 1, 12: 1, 13: 1}   probs {10: 0.25, 11: 0.25, 12: 0.25, 13: 0.25}
  class  5   3    6   -> {4: 1, 6: 1, 14: 1, 15: 1, 16: 1, 17: 1}   probs {4: 0.167, 6: 0.167, 14: 0.167, 15: 0.167, 16: 0.167, 17: 0.167}
  class  6   2    4   -> {5: 1, 18: 1, 19: 1, 20: 1}   probs {5: 0.25, 18: 0.25, 19: 0.25, 20: 0.25}
  class  7   3    6   -> {10: 2, 17: 2, 18: 2}   probs {10: 0.333, 17: 0.333, 18: 0.333}
  class  8   1    2   -> {21: 2}   probs {21: 1.0}
  class  9   2    4   -> {8: 1, 22: 1, 23: 1, 24: 1}   probs {8: 0.25, 22: 0.25, 23: 0.25, 24: 0.25}
  class 10   1    2   -> {25: 1, 26: 1}   probs {25: 0.5, 26: 0.5}
