K	states	lower	upper	width	lower_exact	upper_exact
1	52	0.01544556727324938	0.22504922572732675	2.096e-01	4347540688520739772962422591/281474976710656000000000000000	63345725570350460910631327409/281474976710656000000000000000
2	153	0.09382848007676062	0.14973551491751338	5.591e-02	105641476977609779756959998913/1125899906842624000000000000000	168587202296660642118040001087/1125899906842624000000000000000
3	334	0.12125100522320305	0.12655891943598743	5.308e-03	13651649548537882454755451169/112589990684262400000000000000	14249267560308140982744548831/112589990684262400000000000000
4	612	0.12376558396417343	0.12404417386749951	2.786e-04	69673829727792911497868283863/562949953421312000000000000000	69830661900893979127131716137/562949953421312000000000000000
5	998	0.12389140515714220	0.12390265494516430	1.125e-05	69744660762514095984623326819/562949953421312000000000000000	69750993830157130577876673181/562949953421312000000000000000
6	1506	0.12389621474314558	0.12389661164741822	3.969e-07	139494736637461347970430765499/1125899906842624000000000000000	139495183511944933279569234501/1125899906842624000000000000000
7	2149	0.12389637436967990	0.12389638736913022	1.300e-08	13949491636096147296150039731/112589990684262400000000000000	13949493099704137078849960269/112589990684262400000000000000
8	2941	0.12389637931127150	0.12389637971481585	4.035e-10	139494921924698988586203678457/1125899906842624000000000000000	139494922379049527038796321543/1125899906842624000000000000000
9	3895	0.12389637945862879	0.12389637947041876	1.179e-11	139494922090608551086194355611/1125899906842624000000000000000	139494922103882870788805644389/1125899906842624000000000000000
10	5025	0.12389637946283676	0.12389637946316909	3.323e-13	2179608157739785954471782513/17592186044416000000000000000	2179608157745632258418842487/17592186044416000000000000000
11	6344	0.12389637946294899	0.12389637946297183	2.284e-14	17436865261934082557649259171/140737488355328000000000000000	17436865261937296348600740829/140737488355328000000000000000
12	7866	0.12389637946295176	0.12389637946296689	1.512e-14	139494922095475785461194073181/1125899906842624000000000000000	139494922095492808288805926819/1125899906842624000000000000000
