model,checkpoint,mean_M_A,mean_M_B,frac_A_gt_B,frac_ci_lo,frac_ci_hi,d_z,auc
Fixed,0,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.5000
Fixed,100,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.5000
Fixed,200,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.5000
Fixed,400,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.5000
Reinforced,0,70.0000,-70.0000,1.0000,1.0000,1.0000,inf,1.0000
Reinforced,100,66.2960,-71.0646,1.0000,1.0000,1.0000,2.8312,0.9942
Reinforced,200,59.9241,-62.0889,0.9550,0.9250,0.9800,1.6314,0.9187
Reinforced,400,46.7127,-50.6076,0.8350,0.7850,0.8850,0.9882,0.7983
Growing,0,84.0000,-84.0000,1.0000,1.0000,1.0000,inf,1.0000
Growing,100,98.4786,-92.8743,0.9900,0.9750,1.0000,2.5783,0.9900
Growing,200,102.5342,-100.3965,0.9350,0.9000,0.9650,1.6500,0.9535
Growing,400,113.0735,-103.1906,0.9050,0.8650,0.9400,1.3698,0.9076
Growing-MatchedControl,0,70.6600,-69.3400,1.0000,1.0000,1.0000,inf,1.0000
Growing-MatchedControl,100,73.4183,-65.5870,0.9900,0.9750,1.0000,2.1740,0.9803
Growing-MatchedControl,200,68.6130,-59.0105,0.9100,0.8700,0.9450,1.3538,0.8835
Growing-MatchedControl,400,61.6162,-48.8251,0.7950,0.7400,0.8500,0.8111,0.7771
