model,checkpoint,struct_access_mean,struct_access_sd,eff_alt_mean,eff_alt_sd,edge_count_mean,total_weight_mean,d_struct_access,d_eff_alt,d_edge_count,d_total_weight,n_active_mean
Fixed,0,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fixed,100,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fixed,200,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fixed,400,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reinforced,0,40.0000,0.0000,107.2150,0.0000,144.0000,214.0000,0.0000,-148.7850,0.0000,70.0000,0.0000
Reinforced,100,40.0000,0.0000,130.3908,20.1118,144.0000,280.7436,0.0000,-125.6092,0.0000,136.7436,0.0000
Reinforced,200,40.0000,0.0000,142.9243,24.4223,144.0000,333.7211,0.0000,-113.0757,0.0000,189.7211,0.0000
Reinforced,400,40.0000,0.0000,164.0750,27.5009,144.0000,417.2768,0.0000,-91.9250,0.0000,273.2768,0.0000
Growing,0,64.0000,0.0000,600.0158,0.0000,174.0000,244.0000,24.0000,344.0158,30.0000,100.0000,30.0000
Growing,100,67.5725,2.9524,921.3530,216.9152,189.7500,354.1341,27.5725,665.3530,45.7500,210.1341,45.7500
Growing,200,69.8400,3.2273,1153.6606,309.7867,201.5450,443.3851,29.8400,897.6606,57.5450,299.3851,57.5450
Growing,400,72.5700,3.0722,1561.6200,375.8896,218.7300,592.7265,32.5700,1305.6200,74.7300,448.7265,74.7300
Growing-MatchedControl,0,54.8900,4.0197,233.6628,69.8059,174.0000,244.0000,14.8900,-22.3372,30.0000,100.0000,30.0000
Growing-MatchedControl,100,61.0750,4.3100,385.2143,121.1856,189.7500,341.7570,21.0750,129.2143,45.7500,197.7570,45.7500
Growing-MatchedControl,200,64.9675,4.3994,518.4952,160.7376,201.5450,424.9769,24.9675,262.4952,57.5450,280.9769,57.5450
Growing-MatchedControl,400,69.7525,4.1731,789.3801,239.9800,218.7300,565.8348,29.7525,533.3801,74.7300,421.8348,74.7300
