arm,patch,hist_index,hist_len,edge_overlap,n_candidates,n_pos,n_neg,n_zero,swap_flips_sign,saturated_reader_value
regular,0,0,6,3,220,30,30,160,True,0.0
regular,0,1,6,2,220,29,39,152,True,-10.0
regular,0,2,6,1,220,49,48,123,True,1.0
regular,1,0,6,3,220,15,21,184,True,-6.0
regular,1,1,6,3,220,6,21,193,True,-15.0
regular,1,2,6,0,220,109,58,53,True,51.0
regular,2,0,6,0,220,42,44,134,True,-2.0
regular,2,1,6,2,220,29,21,170,True,8.0
regular,2,2,6,0,220,46,33,141,True,13.0
perturbed,0,0,6,2,214,18,42,154,True,-24.0
perturbed,0,1,6,1,214,49,46,119,True,3.0
perturbed,0,2,6,4,214,3,11,200,True,-8.0
perturbed,1,0,6,1,212,61,37,114,True,24.0
perturbed,1,1,6,0,212,60,53,99,True,7.0
perturbed,1,2,6,1,212,50,54,108,True,-4.0
perturbed,2,0,6,2,220,40,18,162,True,22.0
perturbed,2,1,6,3,220,33,17,170,True,16.0
perturbed,2,2,6,2,220,32,28,160,True,4.0
