arm,patch,pair,history,seed,checkpoint,S_high,n_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,A,0,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,0,100,0.00000,4.00000,54.00000,0.08182,4.80877,892.23242,74.00000,931.16978,0.00000
regular,0,0,A,0,200,0.00000,6.00000,78.00000,0.11818,4.66599,1031.19214,74.00000,963.90942,0.00000
regular,0,0,A,0,400,-1.00000,14.00000,114.00000,0.17273,4.47566,1233.18716,75.00000,964.86222,0.00000
regular,0,0,A,0,1000,-5.00000,41.00000,216.00000,0.32727,3.93857,1877.96705,95.00000,2109.22588,0.03100
regular,0,0,A,0,2000,-7.00000,82.00000,298.00000,0.45152,3.42956,2552.44842,102.00000,2442.31327,0.06200
regular,0,0,A,0,5000,-23.00000,189.00000,424.00000,0.64242,2.43150,3993.14686,104.00000,3194.89709,0.09420
regular,0,0,A,0,10000,4.00000,332.00000,548.00000,0.83030,1.55687,5522.80807,108.00000,3460.61346,0.10340
regular,0,0,B,0,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,0,100,0.00000,4.00000,54.00000,0.08182,4.80877,892.23242,74.00000,933.58051,0.00000
regular,0,0,B,0,200,-2.00000,9.00000,66.00000,0.10000,4.68981,997.05347,77.00000,954.13858,0.00000
regular,0,0,B,0,400,-2.00000,17.00000,84.00000,0.12727,4.51953,1153.28343,83.00000,1579.06912,0.00000
regular,0,0,B,0,1000,-5.00000,40.00000,144.00000,0.21818,4.02537,1656.71701,91.00000,2067.82344,0.02900
regular,0,0,B,0,2000,-3.00000,71.00000,328.00000,0.49697,3.42212,2637.16983,104.00000,2550.67846,0.05950
regular,0,0,B,0,5000,27.00000,208.00000,490.00000,0.74242,2.34249,4334.14702,106.00000,3344.56928,0.07420
regular,0,0,B,0,10000,41.00000,374.00000,618.00000,0.93636,1.40432,6034.12728,108.00000,3591.89319,0.08290
regular,0,0,A,1,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,1,100,0.00000,2.00000,58.00000,0.08788,4.78514,914.78711,75.00000,860.11950,0.00000
regular,0,0,A,1,200,0.00000,3.00000,86.00000,0.13030,4.65347,1051.64270,85.00000,891.10052,0.00000
regular,0,0,A,1,400,1.00000,14.00000,114.00000,0.17273,4.45536,1249.61485,87.00000,1043.84259,0.00000
regular,0,0,A,1,1000,-1.00000,39.00000,212.00000,0.32121,3.94962,1859.69676,90.00000,1082.35561,0.02900
regular,0,0,A,1,2000,4.00000,77.00000,372.00000,0.56364,3.35007,2827.47102,99.00000,1825.93299,0.02650
regular,0,0,A,1,5000,0.00000,204.00000,518.00000,0.78485,2.34673,4431.41667,107.00000,3229.79727,0.05860
regular,0,0,A,1,10000,-1.00000,386.00000,610.00000,0.92424,1.31193,6117.93213,108.00000,3441.83631,0.08380
regular,0,0,B,1,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,1,100,0.00000,2.00000,44.00000,0.06667,4.81746,873.89990,68.00000,1074.60637,0.00000
regular,0,0,B,1,200,0.00000,7.00000,64.00000,0.09697,4.67200,1007.95378,77.00000,1321.65183,0.00000
regular,0,0,B,1,400,-1.00000,19.00000,82.00000,0.12424,4.53980,1134.57877,83.00000,1553.38203,0.00000
regular,0,0,B,1,1000,-2.00000,44.00000,166.00000,0.25152,4.06764,1663.75902,98.00000,1918.85400,0.00300
regular,0,0,B,1,2000,-12.00000,80.00000,296.00000,0.44848,3.40232,2574.30068,102.00000,2035.11674,0.07150
regular,0,0,B,1,5000,-28.00000,202.00000,468.00000,0.70909,2.40347,4182.76411,106.00000,2946.03811,0.07920
regular,0,0,B,1,10000,-34.00000,336.00000,558.00000,0.84545,1.52834,5602.98895,108.00000,3609.98582,0.07700
regular,0,0,A,2,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,2,100,0.00000,2.00000,40.00000,0.06061,4.81459,871.27655,65.00000,772.78832,0.00000
regular,0,0,A,2,200,3.00000,7.00000,62.00000,0.09394,4.69613,987.03036,70.00000,831.66272,0.00000
regular,0,0,A,2,400,4.00000,16.00000,100.00000,0.15152,4.48477,1204.61067,82.00000,1135.01204,0.00000
regular,0,0,A,2,1000,-2.00000,37.00000,194.00000,0.29394,3.98985,1787.02169,88.00000,1322.99351,0.03500
regular,0,0,A,2,2000,-26.00000,81.00000,248.00000,0.37576,3.53456,2324.91101,96.00000,1409.09788,0.07200
regular,0,0,A,2,5000,-29.00000,199.00000,478.00000,0.72424,2.39810,4225.03297,105.00000,1967.22922,0.06560
regular,0,0,A,2,10000,-21.00000,364.00000,594.00000,0.90000,1.41499,5910.07956,108.00000,2862.05793,0.08190
regular,0,0,B,2,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,2,100,0.00000,2.00000,44.00000,0.06667,4.82156,870.86981,64.00000,1243.81742,0.00000
regular,0,0,B,2,200,-1.00000,5.00000,66.00000,0.10000,4.65701,1022.01181,73.00000,1457.56514,0.00000
regular,0,0,B,2,400,-1.00000,18.00000,80.00000,0.12121,4.49286,1168.03249,78.00000,1957.99684,0.00000
regular,0,0,B,2,1000,-5.00000,41.00000,184.00000,0.27879,4.02193,1738.72281,98.00000,2303.01699,0.01100
regular,0,0,B,2,2000,-13.00000,88.00000,264.00000,0.40000,3.47982,2416.85370,104.00000,2546.77192,0.03150
regular,0,0,B,2,5000,-18.00000,197.00000,414.00000,0.62727,2.47832,3905.54276,107.00000,3148.58770,0.03100
regular,0,0,B,2,10000,-21.00000,336.00000,552.00000,0.83636,1.59151,5497.38197,108.00000,3321.99666,0.07110
regular,0,0,A,3,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,3,100,0.00000,3.00000,54.00000,0.08182,4.80680,893.70703,75.00000,961.60139,0.00000
regular,0,0,A,3,200,-1.00000,7.00000,80.00000,0.12121,4.67867,1024.03320,78.00000,1055.37682,0.00000
regular,0,0,A,3,400,0.00000,13.00000,114.00000,0.17273,4.45852,1247.05359,78.00000,1083.71678,0.03500
regular,0,0,A,3,1000,9.00000,33.00000,172.00000,0.26061,4.10975,1638.84403,81.00000,1478.95215,0.05100
regular,0,0,A,3,2000,18.00000,63.00000,246.00000,0.37273,3.62887,2231.23438,90.00000,1871.76643,0.06300
regular,0,0,A,3,5000,28.00000,152.00000,396.00000,0.60000,2.68990,3611.31621,95.00000,2401.47222,0.08280
regular,0,0,A,3,10000,24.00000,318.00000,490.00000,0.74242,1.73686,5051.81855,104.00000,2985.35510,0.09050
regular,0,0,B,3,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,3,100,0.00000,1.00000,46.00000,0.06970,4.79737,891.14587,71.00000,1462.70981,0.00000
regular,0,0,B,3,200,-1.00000,11.00000,58.00000,0.08788,4.65851,1010.14325,76.00000,1885.58012,0.00000
regular,0,0,B,3,400,-1.00000,20.00000,88.00000,0.13333,4.50316,1172.02874,76.00000,2220.42730,0.00000
regular,0,0,B,3,1000,-1.00000,45.00000,172.00000,0.26061,4.00064,1733.44333,88.00000,2290.68695,0.07400
regular,0,0,B,3,2000,-6.00000,88.00000,264.00000,0.40000,3.48763,2409.36603,99.00000,2587.21841,0.05350
regular,0,0,B,3,5000,-9.00000,184.00000,442.00000,0.66970,2.55445,3917.59001,107.00000,3057.88261,0.05400
regular,0,0,B,3,10000,-19.00000,345.00000,564.00000,0.85455,1.56990,5577.49206,107.00000,3390.12589,0.07510
regular,0,0,A,4,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,4,100,0.00000,5.00000,50.00000,0.07576,4.80775,888.22266,62.00000,784.57237,0.00000
regular,0,0,A,4,200,0.00000,7.00000,92.00000,0.13939,4.64053,1069.90039,79.00000,917.21414,0.00500
regular,0,0,A,4,400,1.00000,15.00000,122.00000,0.18485,4.44183,1273.02753,84.00000,1050.94683,0.00250
regular,0,0,A,4,1000,2.00000,40.00000,178.00000,0.26970,4.01819,1730.12256,92.00000,2343.95790,0.00400
regular,0,0,A,4,2000,5.00000,75.00000,262.00000,0.39697,3.51644,2376.76490,101.00000,2800.72186,0.00350
regular,0,0,A,4,5000,-5.00000,179.00000,442.00000,0.66970,2.58465,3883.25620,106.00000,3294.73467,0.01840
regular,0,0,A,4,10000,-3.00000,334.00000,596.00000,0.90303,1.59412,5687.99526,107.00000,3395.83286,0.05390
regular,0,0,B,4,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,4,100,-1.00000,3.00000,48.00000,0.07273,4.80293,889.42334,67.00000,447.41198,0.00000
regular,0,0,B,4,200,-3.00000,7.00000,64.00000,0.09697,4.67996,1001.90955,73.00000,463.18789,0.00000
regular,0,0,B,4,400,-5.00000,15.00000,76.00000,0.11515,4.47429,1176.32288,80.00000,791.92008,0.00000
regular,0,0,B,4,1000,-5.00000,41.00000,164.00000,0.24848,4.08728,1643.02884,88.00000,1144.80757,0.00000
regular,0,0,B,4,2000,-4.00000,83.00000,304.00000,0.46061,3.51651,2481.00385,92.00000,1597.96365,0.00000
regular,0,0,B,4,5000,5.00000,193.00000,478.00000,0.72424,2.46702,4144.18971,102.00000,2092.41105,0.05060
regular,0,0,B,4,10000,16.00000,344.00000,554.00000,0.83939,1.60303,5491.81748,108.00000,2711.90784,0.06650
regular,0,0,A,5,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,5,100,0.00000,1.00000,38.00000,0.05758,4.85349,840.39212,57.00000,372.56774,0.00000
regular,0,0,A,5,200,0.00000,7.00000,50.00000,0.07576,4.73211,944.57752,57.00000,372.65949,0.00500
regular,0,0,A,5,400,0.00000,15.00000,68.00000,0.10303,4.57894,1084.26508,58.00000,372.91433,0.04750
regular,0,0,A,5,1000,0.00000,37.00000,122.00000,0.18485,4.22851,1447.30460,69.00000,956.54697,0.07900
regular,0,0,A,5,2000,4.00000,64.00000,214.00000,0.32424,3.71695,2075.29428,72.00000,1261.02982,0.09050
regular,0,0,A,5,5000,-21.00000,169.00000,372.00000,0.56364,2.66665,3556.68512,90.00000,2108.96657,0.12560
