arm,patch,seed,checkpoint,pair,S_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,0,0,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,0,0,1,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,0,0,2,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,0,100,0,-1.00000,50.00000,0.07576,4.82923,872.22656,67.00000,689.52912,0.00000
regular,0,0,100,1,-1.00000,50.00000,0.07576,4.82923,872.22656,67.00000,689.52912,0.00000
regular,0,0,100,2,-1.00000,50.00000,0.07576,4.82923,872.22656,67.00000,689.52912,0.00000
regular,0,0,200,0,-1.00000,58.00000,0.08788,4.71838,965.06055,71.00000,701.86707,0.00000
regular,0,0,200,1,-1.00000,58.00000,0.08788,4.71838,965.06055,71.00000,701.86707,0.00000
regular,0,0,200,2,-2.00000,58.00000,0.08788,4.71838,965.06055,71.00000,701.86707,0.00000
regular,0,0,400,0,-1.00000,94.00000,0.14242,4.55103,1143.23427,73.00000,742.64178,0.02500
regular,0,0,400,1,-1.00000,94.00000,0.14242,4.55103,1143.23427,73.00000,742.64178,0.02500
regular,0,0,400,2,-2.00000,94.00000,0.14242,4.55103,1143.23427,73.00000,742.64178,0.02500
regular,0,0,1000,0,-2.00000,184.00000,0.27879,4.08789,1680.74816,86.00000,1033.02090,0.01300
regular,0,0,1000,1,-4.00000,184.00000,0.27879,4.08789,1680.74816,86.00000,1033.02090,0.01300
regular,0,0,1000,2,-10.00000,184.00000,0.27879,4.08789,1680.74816,86.00000,1033.02090,0.01300
regular,0,0,2000,0,-12.00000,298.00000,0.45152,3.50413,2478.39514,88.00000,1319.48299,0.06650
regular,0,0,2000,1,-15.00000,298.00000,0.45152,3.50413,2478.39514,88.00000,1319.48299,0.06650
regular,0,0,2000,2,-16.00000,298.00000,0.45152,3.50413,2478.39514,88.00000,1319.48299,0.06650
regular,0,0,5000,0,-20.00000,522.00000,0.79091,2.43839,4334.48045,104.00000,2143.92944,0.08540
regular,0,0,5000,1,-28.00000,522.00000,0.79091,2.43839,4334.48045,104.00000,2143.92944,0.08540
regular,0,0,5000,2,-22.00000,522.00000,0.79091,2.43839,4334.48045,104.00000,2143.92944,0.08540
regular,0,0,10000,0,3.00000,614.00000,0.93030,1.47409,5924.42097,106.00000,2880.30538,0.09680
regular,0,0,10000,1,-5.00000,614.00000,0.93030,1.47409,5924.42097,106.00000,2880.30538,0.09680
regular,0,0,10000,2,4.00000,614.00000,0.93030,1.47409,5924.42097,106.00000,2880.30538,0.09680
regular,0,1,0,0,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,1,0,1,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,1,0,2,0.00000,0.00000,0.00000,5.00000,695.00000,47.00000,269.15257,0.00000
regular,0,1,100,0,0.00000,40.00000,0.06061,4.82398,864.37500,68.00000,637.23856,0.00000
regular,0,1,100,1,0.00000,40.00000,0.06061,4.82398,864.37500,68.00000,637.23856,0.00000
regular,0,1,100,2,0.00000,40.00000,0.06061,4.82398,864.37500,68.00000,637.23856,0.00000
regular,0,1,200,0,0.00000,64.00000,0.09697,4.71435,975.81122,73.00000,702.16206,0.00000
regular,0,1,200,1,0.00000,64.00000,0.09697,4.71435,975.81122,73.00000,702.16206,0.00000
regular,0,1,200,2,0.00000,64.00000,0.09697,4.71435,975.81122,73.00000,702.16206,0.00000
regular,0,1,400,0,0.00000,102.00000,0.15455,4.50690,1190.00167,76.00000,1013.10104,0.01000
regular,0,1,400,1,0.00000,102.00000,0.15455,4.50690,1190.00167,76.00000,1013.10104,0.01000
regular,0,1,400,2,0.00000,102.00000,0.15455,4.50690,1190.00167,76.00000,1013.10104,0.01000
regular,0,1,1000,0,0.00000,170.00000,0.25758,4.05515,1682.29219,83.00000,1614.76997,0.10100
regular,0,1,1000,1,0.00000,170.00000,0.25758,4.05515,1682.29219,83.00000,1614.76997,0.10100
regular,0,1,1000,2,1.00000,170.00000,0.25758,4.05515,1682.29219,83.00000,1614.76997,0.10100
regular,0,1,2000,0,5.00000,286.00000,0.43333,3.47574,2476.30226,94.00000,2362.94743,0.05800
regular,0,1,2000,1,5.00000,286.00000,0.43333,3.47574,2476.30226,94.00000,2362.94743,0.05800
regular,0,1,2000,2,4.00000,286.00000,0.43333,3.47574,2476.30226,94.00000,2362.94743,0.05800
regular,0,1,5000,0,42.00000,448.00000,0.67879,2.39850,4116.51698,105.00000,2720.24560,0.06220
regular,0,1,5000,1,43.00000,448.00000,0.67879,2.39850,4116.51698,105.00000,2720.24560,0.06220
regular,0,1,5000,2,14.00000,448.00000,0.67879,2.39850,4116.51698,105.00000,2720.24560,0.06220
regular,0,1,10000,0,50.00000,580.00000,0.87879,1.47605,5768.03378,108.00000,3090.46483,0.07500
