level,arm,patch,checkpoint,auc_mean,auc_spread_note
patch,regular,0,0,0.5000,avg_of_3_pairs
patch,regular,1,0,0.5000,avg_of_3_pairs
patch,regular,2,0,0.5000,avg_of_3_pairs
arm,regular,all,0,0.5000,sd_across_patches=0.0000
patch,regular,0,100,0.6707,avg_of_3_pairs
patch,regular,1,100,0.6532,avg_of_3_pairs
patch,regular,2,100,0.7109,avg_of_3_pairs
arm,regular,all,100,0.6783,sd_across_patches=0.0296
patch,regular,0,200,0.6753,avg_of_3_pairs
patch,regular,1,200,0.6675,avg_of_3_pairs
patch,regular,2,200,0.7156,avg_of_3_pairs
arm,regular,all,200,0.6861,sd_across_patches=0.0258
patch,regular,0,400,0.6897,avg_of_3_pairs
patch,regular,1,400,0.6698,avg_of_3_pairs
patch,regular,2,400,0.6974,avg_of_3_pairs
arm,regular,all,400,0.6856,sd_across_patches=0.0142
patch,regular,0,1000,0.6417,avg_of_3_pairs
patch,regular,1,1000,0.6275,avg_of_3_pairs
patch,regular,2,1000,0.6661,avg_of_3_pairs
arm,regular,all,1000,0.6451,sd_across_patches=0.0195
patch,regular,0,2000,0.6159,avg_of_3_pairs
patch,regular,1,2000,0.5948,avg_of_3_pairs
patch,regular,2,2000,0.6382,avg_of_3_pairs
arm,regular,all,2000,0.6163,sd_across_patches=0.0217
patch,regular,0,5000,0.5887,avg_of_3_pairs
patch,regular,1,5000,0.5527,avg_of_3_pairs
patch,regular,2,5000,0.5890,avg_of_3_pairs
arm,regular,all,5000,0.5768,sd_across_patches=0.0209
patch,regular,0,10000,0.5596,avg_of_3_pairs
patch,regular,1,10000,0.5419,avg_of_3_pairs
patch,regular,2,10000,0.5566,avg_of_3_pairs
arm,regular,all,10000,0.5527,sd_across_patches=0.0095
patch,perturbed,0,0,0.5000,avg_of_3_pairs
patch,perturbed,1,0,0.5000,avg_of_3_pairs
patch,perturbed,2,0,0.5000,avg_of_3_pairs
arm,perturbed,all,0,0.5000,sd_across_patches=0.0000
patch,perturbed,0,100,0.6445,avg_of_3_pairs
patch,perturbed,1,100,0.7172,avg_of_3_pairs
patch,perturbed,2,100,0.7255,avg_of_3_pairs
arm,perturbed,all,100,0.6957,sd_across_patches=0.0446
patch,perturbed,0,200,0.6424,avg_of_3_pairs
patch,perturbed,1,200,0.7124,avg_of_3_pairs
patch,perturbed,2,200,0.7195,avg_of_3_pairs
arm,perturbed,all,200,0.6914,sd_across_patches=0.0426
patch,perturbed,0,400,0.6299,avg_of_3_pairs
patch,perturbed,1,400,0.6990,avg_of_3_pairs
patch,perturbed,2,400,0.6916,avg_of_3_pairs
arm,perturbed,all,400,0.6735,sd_across_patches=0.0379
patch,perturbed,0,1000,0.6038,avg_of_3_pairs
patch,perturbed,1,1000,0.6596,avg_of_3_pairs
patch,perturbed,2,1000,0.6673,avg_of_3_pairs
arm,perturbed,all,1000,0.6436,sd_across_patches=0.0346
patch,perturbed,0,2000,0.5935,avg_of_3_pairs
patch,perturbed,1,2000,0.6307,avg_of_3_pairs
patch,perturbed,2,2000,0.6467,avg_of_3_pairs
arm,perturbed,all,2000,0.6236,sd_across_patches=0.0273
patch,perturbed,0,5000,0.5498,avg_of_3_pairs
patch,perturbed,1,5000,0.6021,avg_of_3_pairs
patch,perturbed,2,5000,0.5988,avg_of_3_pairs
arm,perturbed,all,5000,0.5836,sd_across_patches=0.0293
patch,perturbed,0,10000,0.5391,avg_of_3_pairs
patch,perturbed,1,10000,0.5762,avg_of_3_pairs
patch,perturbed,2,10000,0.5735,avg_of_3_pairs
arm,perturbed,all,10000,0.5629,sd_across_patches=0.0207
