arm,patch,pair,checkpoint,auc,auc_lo,auc_hi,within_seed,mean_A,mean_B,n_seeds
perturbed,0,0,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,0,0,100,0.6192,nan,nan,0.6175,0.2850,-0.2100,200
perturbed,0,0,200,0.6272,nan,nan,0.6400,0.2750,-0.5750,200
perturbed,0,0,400,0.6062,0.5497,0.6619,0.6275,0.0600,-1.4250,200
perturbed,0,0,1000,0.5560,nan,nan,0.5875,-1.1050,-3.0600,200
perturbed,0,0,2000,0.5361,0.4798,0.5934,0.5200,-3.5100,-5.9250,200
perturbed,0,0,5000,0.4984,nan,nan,0.5100,-12.7250,-13.5300,200
perturbed,0,0,10000,0.4778,0.4234,0.5348,0.4625,-26.6100,-24.6450,200
perturbed,0,1,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,0,1,100,0.6445,nan,nan,0.6500,0.2950,-0.3050,200
perturbed,0,1,200,0.6486,nan,nan,0.6800,0.2950,-0.6750,200
perturbed,0,1,400,0.6262,0.5721,0.6793,0.6350,-0.0400,-1.6150,200
perturbed,0,1,1000,0.6142,nan,nan,0.6175,-1.8350,-5.4450,200
perturbed,0,1,2000,0.6178,0.5659,0.6686,0.6025,-4.3500,-11.1350,200
perturbed,0,1,5000,0.5406,nan,nan,0.5400,-16.4700,-22.0250,200
perturbed,0,1,10000,0.5255,0.4708,0.5816,0.5500,-30.1200,-34.2250,200
perturbed,0,2,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,0,2,100,0.6696,nan,nan,0.6825,0.6250,-0.2600,200
perturbed,0,2,200,0.6513,nan,nan,0.6425,0.7850,-0.6550,200
perturbed,0,2,400,0.6573,0.6048,0.7136,0.6900,1.4150,-1.3850,200
perturbed,0,2,1000,0.6413,nan,nan,0.6525,2.4400,-2.4200,200
perturbed,0,2,2000,0.6265,0.5720,0.6813,0.6075,4.8300,-2.8050,200
perturbed,0,2,5000,0.6106,nan,nan,0.6300,10.6100,-1.4800,200
perturbed,0,2,10000,0.6139,0.5555,0.6676,0.6525,17.1650,3.5750,200
perturbed,1,0,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,1,0,100,0.7262,nan,nan,0.7350,0.4250,-0.6800,200
perturbed,1,0,200,0.6910,nan,nan,0.6900,0.5650,-1.1100,200
perturbed,1,0,400,0.6882,0.6314,0.7438,0.7000,0.7500,-2.5400,200
perturbed,1,0,1000,0.6718,nan,nan,0.7000,0.9300,-5.7800,200
perturbed,1,0,2000,0.6402,0.5827,0.6954,0.6200,-0.2450,-9.1150,200
perturbed,1,0,5000,0.6255,nan,nan,0.6450,-5.7750,-17.6100,200
perturbed,1,0,10000,0.6035,0.5447,0.6594,0.6100,-13.4000,-23.5450,200
perturbed,1,1,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,1,1,100,0.6921,nan,nan,0.6975,0.3150,-0.5050,200
perturbed,1,1,200,0.7030,nan,nan,0.7000,0.4450,-1.0200,200
perturbed,1,1,400,0.6782,0.6262,0.7277,0.6700,0.4350,-1.9050,200
perturbed,1,1,1000,0.6482,nan,nan,0.6600,0.9250,-3.5200,200
perturbed,1,1,2000,0.6321,0.5769,0.6832,0.6525,1.2750,-5.5700,200
perturbed,1,1,5000,0.5863,nan,nan,0.6100,1.2050,-7.5450,200
perturbed,1,1,10000,0.5617,0.5051,0.6172,0.5725,2.1450,-5.7700,200
perturbed,1,2,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,1,2,100,0.7332,nan,nan,0.7175,0.6600,-0.4150,200
perturbed,1,2,200,0.7431,nan,nan,0.7225,1.1050,-0.9750,200
perturbed,1,2,400,0.7307,0.6833,0.7757,0.7100,2.3550,-1.8050,200
perturbed,1,2,1000,0.6589,nan,nan,0.6775,4.1200,-2.5050,200
perturbed,1,2,2000,0.6197,0.5701,0.6691,0.6225,6.4850,-2.3250,200
perturbed,1,2,5000,0.5946,nan,nan,0.5900,14.7100,3.5900,200
perturbed,1,2,10000,0.5634,0.5106,0.6189,0.5550,24.1100,16.8750,200
perturbed,2,0,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,2,0,100,0.7157,nan,nan,0.7075,0.3250,-0.6850,200
perturbed,2,0,200,0.6976,nan,nan,0.7175,0.5650,-1.1250,200
perturbed,2,0,400,0.6744,0.6192,0.7276,0.6750,1.0050,-1.8750,200
perturbed,2,0,1000,0.6489,nan,nan,0.6725,0.9800,-3.9100,200
perturbed,2,0,2000,0.6200,0.5684,0.6749,0.6300,-1.0700,-7.8400,200
perturbed,2,0,5000,0.5674,nan,nan,0.5950,-10.7050,-17.0850,200
perturbed,2,0,10000,0.5313,0.4755,0.5860,0.5300,-25.9150,-30.4800,200
perturbed,2,1,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,2,1,100,0.7201,nan,nan,0.7125,0.5300,-0.4050,200
perturbed,2,1,200,0.7246,nan,nan,0.7125,0.9750,-0.9500,200
perturbed,2,1,400,0.6962,0.6427,0.7446,0.6775,1.7550,-1.6150,200
perturbed,2,1,1000,0.6845,nan,nan,0.6925,3.5450,-3.6100,200
perturbed,2,1,2000,0.6530,0.6021,0.7003,0.6375,4.1550,-5.9300,200
perturbed,2,1,5000,0.6167,nan,nan,0.5525,5.9850,-7.2850,200
perturbed,2,1,10000,0.5887,0.5363,0.6406,0.5600,4.8050,-6.5100,200
perturbed,2,2,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
perturbed,2,2,100,0.7407,nan,nan,0.7500,0.8200,-0.5900,200
perturbed,2,2,200,0.7363,nan,nan,0.7375,1.8750,-1.0100,200
perturbed,2,2,400,0.7042,0.6532,0.7546,0.7175,3.4550,-1.5100,200
perturbed,2,2,1000,0.6684,nan,nan,0.6625,7.0100,-2.5350,200
perturbed,2,2,2000,0.6670,0.6160,0.7179,0.6725,12.4900,-4.3400,200
perturbed,2,2,5000,0.6124,nan,nan,0.6425,17.1900,-3.2900,200
perturbed,2,2,10000,0.6005,0.5408,0.6556,0.6000,20.6100,-1.3350,200
regular,0,0,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
regular,0,0,100,0.6204,nan,nan,0.6400,0.2050,-0.2500,200
regular,0,0,200,0.6636,nan,nan,0.6775,0.3650,-0.5900,200
regular,0,0,400,0.6819,0.6348,0.7301,0.6950,0.5800,-1.2900,200
regular,0,0,1000,0.6194,nan,nan,0.6225,0.6050,-2.4450,200
regular,0,0,2000,0.6122,0.5638,0.6614,0.5975,1.3200,-4.1500,200
regular,0,0,5000,0.5879,nan,nan,0.5475,0.8850,-6.5850,200
regular,0,0,10000,0.5639,0.5128,0.6140,0.5425,0.5050,-5.7700,200
regular,0,1,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
regular,0,1,100,0.6705,nan,nan,0.7000,0.2800,-0.4050,200
regular,0,1,200,0.6419,nan,nan,0.6525,0.1250,-0.8500,200
regular,0,1,400,0.6707,0.6216,0.7183,0.6725,0.2700,-2.1400,200
regular,0,1,1000,0.6465,nan,nan,0.6550,-0.1700,-5.3400,200
regular,0,1,2000,0.6256,0.5709,0.6808,0.6475,-2.7300,-10.1650,200
regular,0,1,5000,0.5870,nan,nan,0.5700,-10.7100,-21.0950,200
regular,0,1,10000,0.5625,0.5087,0.6175,0.5675,-23.4900,-32.1200,200
regular,0,2,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
regular,0,2,100,0.7211,nan,nan,0.7200,0.3250,-0.6850,200
regular,0,2,200,0.7204,nan,nan,0.7250,0.5100,-1.4850,200
regular,0,2,400,0.7166,0.6713,0.7603,0.7250,0.9350,-3.1650,200
regular,0,2,1000,0.6591,nan,nan,0.6600,-0.0150,-6.7550,200
regular,0,2,2000,0.6098,0.5593,0.6617,0.5875,-2.3800,-10.9950,200
regular,0,2,5000,0.5911,nan,nan,0.5750,-8.9750,-20.6400,200
regular,0,2,10000,0.5524,0.4953,0.6047,0.5100,-20.5900,-28.4150,200
regular,1,0,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
regular,1,0,100,0.6037,nan,nan,0.6050,0.0150,-0.3200,200
regular,1,0,200,0.6127,nan,nan,0.6000,-0.0300,-0.5400,200
regular,1,0,400,0.6322,0.5797,0.6859,0.6350,-0.1700,-1.1550,200
regular,1,0,1000,0.5811,nan,nan,0.6025,-0.3950,-2.0600,200
regular,1,0,2000,0.5629,0.5086,0.6140,0.5775,-0.8450,-3.1600,200
regular,1,0,5000,0.5151,nan,nan,0.5350,-3.1550,-4.5500,200
regular,1,0,10000,0.5165,0.4622,0.5730,0.5450,-4.6150,-5.6150,200
regular,1,1,0,0.5000,nan,nan,0.5000,0.0000,0.0000,200
regular,1,1,100,0.6073,nan,nan,0.6100,-0.0350,-0.3650,200
regular,1,1,200,0.6492,nan,nan,0.6550,-0.0700,-0.6850,200
regular,1,1,400,0.6764,0.6319,0.7233,0.6775,-0.3950,-1.5600,200
regular,1,1,1000,0.6602,nan,nan,0.6525,-1.9550,-3.9200,200
regular,1,1,2000,0.6077,0.5532,0.6612,0.6150,-5.3950,-7.4750,200
