arm,patch,pair,checkpoint,null_auc
perturbed,0,0,0,0.5000
perturbed,0,0,100,0.4886
perturbed,0,0,200,0.5196
perturbed,0,0,400,0.4816
perturbed,0,0,1000,0.4697
perturbed,0,0,2000,0.4657
perturbed,0,0,5000,0.5328
perturbed,0,0,10000,0.5108
perturbed,0,1,0,0.5000
perturbed,0,1,100,0.4850
perturbed,0,1,200,0.4983
perturbed,0,1,400,0.4762
perturbed,0,1,1000,0.4981
perturbed,0,1,2000,0.4163
perturbed,0,1,5000,0.4891
perturbed,0,1,10000,0.4620
perturbed,0,2,0,0.5000
perturbed,0,2,100,0.5391
perturbed,0,2,200,0.5136
perturbed,0,2,400,0.4608
perturbed,0,2,1000,0.5236
perturbed,0,2,2000,0.4632
perturbed,0,2,5000,0.5489
perturbed,0,2,10000,0.4980
perturbed,1,0,0,0.5000
perturbed,1,0,100,0.5192
perturbed,1,0,200,0.4992
perturbed,1,0,400,0.5479
perturbed,1,0,1000,0.4543
perturbed,1,0,2000,0.5437
perturbed,1,0,5000,0.4880
perturbed,1,0,10000,0.5031
perturbed,1,1,0,0.5000
perturbed,1,1,100,0.5382
perturbed,1,1,200,0.4634
perturbed,1,1,400,0.4950
perturbed,1,1,1000,0.5430
perturbed,1,1,2000,0.5632
perturbed,1,1,5000,0.5814
perturbed,1,1,10000,0.5221
perturbed,1,2,0,0.5000
perturbed,1,2,100,0.5122
perturbed,1,2,200,0.4705
perturbed,1,2,400,0.5237
perturbed,1,2,1000,0.5024
perturbed,1,2,2000,0.4577
perturbed,1,2,5000,0.4992
perturbed,1,2,10000,0.4349
perturbed,2,0,0,0.5000
perturbed,2,0,100,0.4509
perturbed,2,0,200,0.5189
perturbed,2,0,400,0.5667
perturbed,2,0,1000,0.5068
perturbed,2,0,2000,0.5180
perturbed,2,0,5000,0.5584
perturbed,2,0,10000,0.4259
perturbed,2,1,0,0.5000
perturbed,2,1,100,0.4854
perturbed,2,1,200,0.5318
perturbed,2,1,400,0.4676
perturbed,2,1,1000,0.5609
perturbed,2,1,2000,0.5054
perturbed,2,1,5000,0.5030
perturbed,2,1,10000,0.5386
perturbed,2,2,0,0.5000
perturbed,2,2,100,0.6094
perturbed,2,2,200,0.5214
perturbed,2,2,400,0.4536
perturbed,2,2,1000,0.5370
perturbed,2,2,2000,0.4248
perturbed,2,2,5000,0.5232
perturbed,2,2,10000,0.4809
regular,0,0,0,0.5000
regular,0,0,100,0.5167
regular,0,0,200,0.4944
regular,0,0,400,0.3894
regular,0,0,1000,0.4464
regular,0,0,2000,0.3765
regular,0,0,5000,0.4294
regular,0,0,10000,0.4916
regular,0,1,0,0.5000
regular,0,1,100,0.5190
regular,0,1,200,0.5024
regular,0,1,400,0.5726
regular,0,1,1000,0.4311
regular,0,1,2000,0.4288
regular,0,1,5000,0.5254
regular,0,1,10000,0.4306
regular,0,2,0,0.5000
regular,0,2,100,0.4745
regular,0,2,200,0.5181
regular,0,2,400,0.5035
regular,0,2,1000,0.4358
regular,0,2,2000,0.4987
regular,0,2,5000,0.5383
regular,0,2,10000,0.5384
regular,1,0,0,0.5000
regular,1,0,100,0.4945
regular,1,0,200,0.5399
regular,1,0,400,0.4831
regular,1,0,1000,0.4893
regular,1,0,2000,0.5609
regular,1,0,5000,0.4644
regular,1,0,10000,0.5303
regular,1,1,0,0.5000
regular,1,1,100,0.4856
regular,1,1,200,0.5286
regular,1,1,400,0.4669
regular,1,1,1000,0.5062
regular,1,1,2000,0.4732
regular,1,1,5000,0.4694
regular,1,1,10000,0.4974
regular,1,2,0,0.5000
regular,1,2,100,0.4438
regular,1,2,200,0.4328
regular,1,2,400,0.5082
regular,1,2,1000,0.4360
regular,1,2,2000,0.4759
regular,1,2,5000,0.5640
regular,1,2,10000,0.4560
regular,2,0,0,0.5000
regular,2,0,100,0.4676
regular,2,0,200,0.5340
regular,2,0,400,0.5101
regular,2,0,1000,0.5691
regular,2,0,2000,0.5110
regular,2,0,5000,0.5309
regular,2,0,10000,0.6154
regular,2,1,0,0.5000
regular,2,1,100,0.5225
regular,2,1,200,0.4885
regular,2,1,400,0.4916
regular,2,1,1000,0.5302
regular,2,1,2000,0.3969
regular,2,1,5000,0.5027
regular,2,1,10000,0.5609
regular,2,2,0,0.5000
regular,2,2,100,0.5994
regular,2,2,200,0.5163
regular,2,2,400,0.5034
regular,2,2,1000,0.5078
regular,2,2,2000,0.4998
regular,2,2,5000,0.4431
regular,2,2,10000,0.5011
