arm,checkpoint,frac_active_mean,headroom_mean,struct_access_mean,eff_alt_mean,bvisit_frac_mean
regular,0,0.0308,4.9637,60.1667,575.1397,0.0000
regular,100,0.0690,4.8113,69.5850,869.3806,0.0069
regular,200,0.1017,4.6882,73.9647,1031.6899,0.0184
regular,400,0.1548,4.4838,79.7458,1262.6947,0.0337
regular,1000,0.2752,4.0242,90.0028,1720.7815,0.0538
regular,2000,0.4173,3.4865,99.5872,2240.5702,0.0660
regular,5000,0.6683,2.5049,111.5122,3160.9672,0.0795
regular,10000,0.8613,1.5833,116.6100,3864.8881,0.0907
perturbed,0,0.0280,4.9643,64.7778,535.2214,0.0000
perturbed,100,0.0659,4.8154,74.2561,880.3547,0.0080
perturbed,200,0.0982,4.6944,78.5567,1065.3141,0.0205
perturbed,400,0.1500,4.4936,84.0258,1320.2327,0.0367
perturbed,1000,0.2657,4.0429,93.5108,1816.6280,0.0563
perturbed,2000,0.4045,3.5127,102.0672,2367.8183,0.0698
perturbed,5000,0.6550,2.5371,112.6506,3324.1697,0.0837
perturbed,10000,0.8519,1.6180,117.1544,4037.8238,0.0951
