arm,patch,pair,budget,local_auc,global_auc,local_minus_global
regular,0,0,100,0.6480,0.6620,-0.0140
regular,0,0,300,0.6614,0.6620,-0.0006
regular,0,0,1000,0.6700,0.6620,0.0080
regular,0,1,100,0.6870,0.7140,-0.0270
regular,0,1,300,0.7071,0.7140,-0.0069
regular,0,1,1000,0.7193,0.7140,0.0053
regular,0,2,100,0.6484,0.6226,0.0258
regular,0,2,300,0.6470,0.6226,0.0244
regular,0,2,1000,0.6324,0.6226,0.0098
regular,1,0,100,0.5132,0.5360,-0.0228
regular,1,0,300,0.5438,0.5360,0.0078
regular,1,0,1000,0.5480,0.5360,0.0120
regular,1,1,100,0.6592,0.6270,0.0322
regular,1,1,300,0.6584,0.6270,0.0314
regular,1,1,1000,0.6391,0.6270,0.0121
regular,1,2,100,0.6028,0.6184,-0.0156
regular,1,2,300,0.6085,0.6184,-0.0099
regular,1,2,1000,0.6155,0.6184,-0.0029
regular,2,0,100,0.5676,0.5408,0.0268
regular,2,0,300,0.5444,0.5408,0.0036
regular,2,0,1000,0.5411,0.5408,0.0003
regular,2,1,100,0.6528,0.6538,-0.0010
regular,2,1,300,0.6678,0.6538,0.0140
regular,2,1,1000,0.6568,0.6538,0.0030
regular,2,2,100,0.7036,0.7030,0.0006
regular,2,2,300,0.6903,0.7030,-0.0127
regular,2,2,1000,0.7001,0.7030,-0.0029
perturbed,0,0,100,0.5898,0.5068,0.0830
perturbed,0,0,300,0.5285,0.5068,0.0217
perturbed,0,0,1000,0.5042,0.5068,-0.0026
perturbed,0,1,100,0.5812,0.5454,0.0358
perturbed,0,1,300,0.5519,0.5454,0.0065
perturbed,0,1,1000,0.5518,0.5454,0.0064
perturbed,0,2,100,0.5507,0.5278,0.0229
perturbed,0,2,300,0.5550,0.5278,0.0272
perturbed,0,2,1000,0.5310,0.5278,0.0032
perturbed,1,0,100,0.6348,0.6002,0.0346
perturbed,1,0,300,0.6088,0.6002,0.0086
perturbed,1,0,1000,0.6021,0.6002,0.0019
perturbed,1,1,100,0.6485,0.6942,-0.0457
perturbed,1,1,300,0.6869,0.6942,-0.0073
perturbed,1,1,1000,0.7023,0.6942,0.0081
perturbed,1,2,100,0.6506,0.6650,-0.0144
perturbed,1,2,300,0.6570,0.6650,-0.0080
perturbed,1,2,1000,0.6629,0.6650,-0.0021
perturbed,2,0,100,0.6117,0.5834,0.0283
perturbed,2,0,300,0.6048,0.5834,0.0214
perturbed,2,0,1000,0.5825,0.5834,-0.0009
perturbed,2,1,100,0.7391,0.7516,-0.0125
perturbed,2,1,300,0.7567,0.7516,0.0051
perturbed,2,1,1000,0.7549,0.7516,0.0033
perturbed,2,2,100,0.7023,0.6878,0.0145
perturbed,2,2,300,0.6752,0.6878,-0.0126
perturbed,2,2,1000,0.6810,0.6878,-0.0068
