arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,0,0,0,100,2.00000
regular,0,0,0,0,300,-1.00000
regular,0,0,0,0,1000,-9.00000
regular,0,1,0,0,100,0.00000
regular,0,1,0,0,300,-3.00000
regular,0,1,0,0,1000,-12.00000
regular,0,2,0,0,100,-12.00000
regular,0,2,0,0,300,-2.00000
regular,0,2,0,0,1000,-14.00000
regular,0,0,0,1,100,8.00000
regular,0,0,0,1,300,-11.00000
regular,0,0,0,1,1000,-11.00000
regular,0,1,0,1,100,5.00000
regular,0,1,0,1,300,-14.00000
regular,0,1,0,1,1000,-14.00000
regular,0,2,0,1,100,-10.00000
regular,0,2,0,1,300,-27.00000
regular,0,2,0,1,1000,-16.00000
regular,0,0,0,2,100,5.00000
regular,0,0,0,2,300,-5.00000
regular,0,0,0,2,1000,-12.00000
regular,0,1,0,2,100,5.00000
regular,0,1,0,2,300,-8.00000
regular,0,1,0,2,1000,-15.00000
regular,0,2,0,2,100,-1.00000
regular,0,2,0,2,300,-18.00000
regular,0,2,0,2,1000,-16.00000
regular,0,0,0,3,100,3.00000
regular,0,0,0,3,300,3.00000
regular,0,0,0,3,1000,-12.00000
regular,0,1,0,3,100,1.00000
regular,0,1,0,3,300,1.00000
regular,0,1,0,3,1000,-15.00000
regular,0,2,0,3,100,-4.00000
regular,0,2,0,3,300,-1.00000
regular,0,2,0,3,1000,-16.00000
regular,0,0,0,4,100,0.00000
regular,0,0,0,4,300,-9.00000
regular,0,0,0,4,1000,-12.00000
regular,0,1,0,4,100,-2.00000
regular,0,1,0,4,300,-11.00000
regular,0,1,0,4,1000,-15.00000
regular,0,2,0,4,100,-13.00000
regular,0,2,0,4,300,-20.00000
regular,0,2,0,4,1000,-28.00000
regular,0,0,1,0,100,0.00000
regular,0,0,1,0,300,4.00000
regular,0,0,1,0,1000,5.00000
regular,0,1,1,0,100,0.00000
regular,0,1,1,0,300,4.00000
regular,0,1,1,0,1000,5.00000
regular,0,2,1,0,100,0.00000
regular,0,2,1,0,300,4.00000
regular,0,2,1,0,1000,4.00000
regular,0,0,1,1,100,0.00000
regular,0,0,1,1,300,4.00000
regular,0,0,1,1,1000,4.00000
regular,0,1,1,1,100,0.00000
regular,0,1,1,1,300,4.00000
regular,0,1,1,1,1000,4.00000
regular,0,2,1,1,100,3.00000
regular,0,2,1,1,300,3.00000
regular,0,2,1,1,1000,4.00000
regular,0,0,1,2,100,0.00000
regular,0,0,1,2,300,0.00000
regular,0,0,1,2,1000,5.00000
regular,0,1,1,2,100,0.00000
regular,0,1,1,2,300,0.00000
regular,0,1,1,2,1000,5.00000
regular,0,2,1,2,100,3.00000
regular,0,2,1,2,300,3.00000
regular,0,2,1,2,1000,3.00000
regular,0,0,1,3,100,0.00000
regular,0,0,1,3,300,4.00000
regular,0,0,1,3,1000,5.00000
regular,0,1,1,3,100,0.00000
regular,0,1,1,3,300,4.00000
regular,0,1,1,3,1000,5.00000
regular,0,2,1,3,100,3.00000
regular,0,2,1,3,300,3.00000
regular,0,2,1,3,1000,3.00000
regular,0,0,1,4,100,0.00000
regular,0,0,1,4,300,2.00000
regular,0,0,1,4,1000,2.00000
regular,0,1,1,4,100,0.00000
regular,0,1,1,4,300,2.00000
regular,0,1,1,4,1000,2.00000
regular,0,2,1,4,100,0.00000
regular,0,2,1,4,300,3.00000
regular,0,2,1,4,1000,3.00000
regular,0,0,2,0,100,0.00000
regular,0,0,2,0,300,0.00000
regular,0,0,2,0,1000,-26.00000
regular,0,1,2,0,100,0.00000
regular,0,1,2,0,300,0.00000
regular,0,1,2,0,1000,-31.00000
regular,0,2,2,0,100,1.00000
regular,0,2,2,0,300,1.00000
regular,0,2,2,0,1000,-14.00000
regular,0,0,2,1,100,-28.00000
regular,0,0,2,1,300,-29.00000
regular,0,0,2,1,1000,-29.00000
regular,0,1,2,1,100,-29.00000
regular,0,1,2,1,300,-34.00000
regular,0,1,2,1,1000,-34.00000
regular,0,2,2,1,100,-18.00000
regular,0,2,2,1,300,-23.00000
regular,0,2,2,1,1000,-16.00000
regular,0,0,2,2,100,-25.00000
regular,0,0,2,2,300,-29.00000
regular,0,0,2,2,1000,-29.00000
regular,0,1,2,2,100,-27.00000
regular,0,1,2,2,300,-34.00000
regular,0,1,2,2,1000,-34.00000
regular,0,2,2,2,100,-13.00000
regular,0,2,2,2,300,-17.00000
regular,0,2,2,2,1000,-16.00000
regular,0,0,2,3,100,-10.00000
regular,0,0,2,3,300,-16.00000
