arm,quantity,point,ci_lo,ci_hi
regular,orig_auc_B100,0.6314,0.6018,0.6594
regular,orig_auc_B300,0.6365,0.6041,0.6674
regular,orig_auc_B1000,0.6358,0.6005,0.6693
regular,distant_auc_B100,0.5717,0.5429,0.5983
regular,distant_auc_B300,0.6199,0.5894,0.6487
regular,distant_auc_B1000,0.6344,0.5995,0.6686
regular,global,0.6308,0.5938,0.6651
regular,distant_minus_orig_B100,-0.0597,-0.0855,-0.0345
regular,distant_minus_orig_B300,-0.0166,-0.0307,-0.0039
regular,distant_minus_orig_B1000,-0.0014,-0.0051,0.0022
perturbed,orig_auc_B100,0.6343,0.6075,0.6597
perturbed,orig_auc_B300,0.6250,0.5932,0.6553
perturbed,orig_auc_B1000,0.6192,0.5805,0.6561
perturbed,distant_auc_B100,0.5826,0.5500,0.6144
perturbed,distant_auc_B300,0.6124,0.5783,0.6442
perturbed,distant_auc_B1000,0.6202,0.5818,0.6585
perturbed,global,0.6180,0.5792,0.6570
perturbed,distant_minus_orig_B100,-0.0517,-0.0742,-0.0275
perturbed,distant_minus_orig_B300,-0.0126,-0.0277,0.0019
perturbed,distant_minus_orig_B1000,0.0010,-0.0025,0.0049
