arm,patch,pair,budget,orig_auc,distant_auc,global_auc,distant_minus_orig
regular,0,0,100,0.6480,0.5520,0.6620,-0.0961
regular,0,0,300,0.6614,0.6360,0.6620,-0.0254
regular,0,0,1000,0.6700,0.6660,0.6620,-0.0039
regular,0,1,100,0.6870,0.5808,0.7140,-0.1062
regular,0,1,300,0.7071,0.6966,0.7140,-0.0105
regular,0,1,1000,0.7193,0.7160,0.7140,-0.0032
regular,0,2,100,0.6484,0.5796,0.6226,-0.0689
regular,0,2,300,0.6470,0.6155,0.6226,-0.0315
regular,0,2,1000,0.6324,0.6290,0.6226,-0.0033
regular,1,0,100,0.5132,0.5501,0.5360,0.0369
regular,1,0,300,0.5438,0.5734,0.5360,0.0296
regular,1,0,1000,0.5480,0.5492,0.5360,0.0012
regular,1,1,100,0.6592,0.5782,0.6270,-0.0810
regular,1,1,300,0.6584,0.6258,0.6270,-0.0326
regular,1,1,1000,0.6391,0.6298,0.6270,-0.0093
regular,1,2,100,0.6028,0.5406,0.6184,-0.0622
regular,1,2,300,0.6085,0.5926,0.6184,-0.0158
regular,1,2,1000,0.6155,0.6149,0.6184,-0.0006
regular,2,0,100,0.5676,0.5642,0.5408,-0.0034
regular,2,0,300,0.5444,0.5454,0.5408,0.0010
regular,2,0,1000,0.5411,0.5452,0.5408,0.0040
regular,2,1,100,0.6528,0.5887,0.6538,-0.0641
regular,2,1,300,0.6678,0.6493,0.6538,-0.0185
regular,2,1,1000,0.6568,0.6608,0.6538,0.0041
regular,2,2,100,0.7036,0.6108,0.7030,-0.0927
regular,2,2,300,0.6903,0.6443,0.7030,-0.0460
regular,2,2,1000,0.7001,0.6987,0.7030,-0.0014
perturbed,0,0,100,0.5898,0.5106,0.5068,-0.0793
perturbed,0,0,300,0.5285,0.5193,0.5068,-0.0092
perturbed,0,0,1000,0.5042,0.5135,0.5068,0.0093
perturbed,0,1,100,0.5812,0.4899,0.5454,-0.0913
perturbed,0,1,300,0.5519,0.5182,0.5454,-0.0337
perturbed,0,1,1000,0.5518,0.5458,0.5454,-0.0060
perturbed,0,2,100,0.5507,0.5673,0.5278,0.0166
perturbed,0,2,300,0.5550,0.5548,0.5278,-0.0002
perturbed,0,2,1000,0.5310,0.5395,0.5278,0.0085
perturbed,1,0,100,0.6348,0.5653,0.6002,-0.0695
perturbed,1,0,300,0.6088,0.6018,0.6002,-0.0069
perturbed,1,0,1000,0.6021,0.6002,0.6002,-0.0019
perturbed,1,1,100,0.6485,0.6361,0.6942,-0.0124
perturbed,1,1,300,0.6869,0.6531,0.6942,-0.0338
perturbed,1,1,1000,0.7023,0.6968,0.6942,-0.0055
perturbed,1,2,100,0.6506,0.6141,0.6650,-0.0365
perturbed,1,2,300,0.6570,0.6622,0.6650,0.0051
perturbed,1,2,1000,0.6629,0.6685,0.6650,0.0056
perturbed,2,0,100,0.6117,0.5950,0.5834,-0.0167
perturbed,2,0,300,0.6048,0.6061,0.5834,0.0013
perturbed,2,0,1000,0.5825,0.5780,0.5834,-0.0046
perturbed,2,1,100,0.7391,0.6226,0.7516,-0.1166
perturbed,2,1,300,0.7567,0.7272,0.7516,-0.0294
perturbed,2,1,1000,0.7549,0.7534,0.7516,-0.0015
perturbed,2,2,100,0.7023,0.6425,0.6878,-0.0598
perturbed,2,2,300,0.6752,0.6688,0.6878,-0.0064
perturbed,2,2,1000,0.6810,0.6864,0.6878,0.0055
