arm,start,budget,frac_present_mean,frac_high_seen_mean,frac_arrived
regular,orig,100,0.3623,0.4317,1.0000
regular,orig,300,0.6294,0.7053,1.0000
regular,orig,1000,0.9157,0.9502,1.0000
regular,distant,100,0.2389,0.2654,0.3836
regular,distant,300,0.5683,0.6297,0.8227
regular,distant,1000,0.9128,0.9475,0.9916
perturbed,orig,100,0.3611,0.4321,1.0000
perturbed,orig,300,0.6319,0.7082,1.0000
perturbed,orig,1000,0.9141,0.9499,1.0000
perturbed,distant,100,0.2403,0.2686,0.3993
perturbed,distant,300,0.5654,0.6271,0.8313
perturbed,distant,1000,0.9103,0.9452,0.9944
