arm,patch,pair,eligible,vertex,dist_pathA,dist_pathB,dist_union,dist_S,boundary_dist,degree,x,y,n_eligible,max_dU
regular,0,0,1,258,10,10,10,10,2,3,7.163119,-0.951057,237,10
regular,0,1,1,258,10,10,10,10,2,3,7.163119,-0.951057,236,10
regular,0,2,1,258,10,10,10,10,2,3,7.163119,-0.951057,235,10
regular,1,0,1,65,10,10,10,10,2,3,0.190983,-7.469695,235,10
regular,1,1,1,65,10,10,10,10,2,3,0.190983,-7.469695,235,10
regular,1,2,1,89,9,9,9,9,2,3,-0.618034,8.05748,232,9
regular,2,0,1,252,10,10,10,10,2,5,4.236068,6.88191,233,10
regular,2,1,1,252,10,10,10,10,2,5,4.236068,6.88191,235,10
regular,2,2,1,252,10,10,10,10,2,5,4.236068,6.88191,233,10
perturbed,0,0,1,69,11,10,10,11,2,4,-0.618034,-8.05748,232,10
perturbed,0,1,1,69,11,10,10,11,2,4,-0.618034,-8.05748,232,10
perturbed,0,2,1,69,10,10,10,11,2,4,-0.618034,-8.05748,230,10
perturbed,1,0,1,228,10,11,10,11,2,3,4.736068,6.518638,233,10
perturbed,1,1,1,228,10,11,10,11,2,3,4.736068,6.518638,234,10
perturbed,1,2,1,228,10,11,10,11,2,3,4.736068,6.518638,233,10
perturbed,2,0,1,250,10,10,10,10,2,5,4.236068,6.88191,227,10
perturbed,2,1,1,250,10,10,10,10,2,5,4.236068,6.88191,227,10
perturbed,2,2,1,305,11,10,10,11,2,4,-6.045085,4.392011,227,10
