arm,patch,pair,seed,replicate,budget,start,S_local_null
regular,0,0,0,0,100,orig,2.00000
regular,0,0,0,0,300,orig,-1.00000
regular,0,0,0,0,1000,orig,-9.00000
regular,0,0,0,0,100,distant,8.00000
regular,0,0,0,0,300,distant,2.00000
regular,0,0,0,0,1000,distant,-8.00000
regular,0,0,0,1,100,orig,8.00000
regular,0,0,0,1,300,orig,-11.00000
regular,0,0,0,1,1000,orig,-11.00000
regular,0,0,0,1,100,distant,-3.00000
regular,0,0,0,1,300,distant,-12.00000
regular,0,0,0,1,1000,distant,-11.00000
regular,0,0,0,2,100,orig,5.00000
regular,0,0,0,2,300,orig,-5.00000
regular,0,0,0,2,1000,orig,-12.00000
regular,0,0,0,2,100,distant,1.00000
regular,0,0,0,2,300,distant,-9.00000
regular,0,0,0,2,1000,distant,-12.00000
regular,0,0,0,3,100,orig,3.00000
regular,0,0,0,3,300,orig,3.00000
regular,0,0,0,3,1000,orig,-12.00000
regular,0,0,0,3,100,distant,2.00000
regular,0,0,0,3,300,distant,2.00000
regular,0,0,0,3,1000,distant,-12.00000
regular,0,0,0,4,100,orig,0.00000
regular,0,0,0,4,300,orig,-9.00000
regular,0,0,0,4,1000,orig,-12.00000
regular,0,0,0,4,100,distant,0.00000
regular,0,0,0,4,300,distant,-18.00000
regular,0,0,0,4,1000,distant,-12.00000
regular,0,0,1,0,100,orig,0.00000
regular,0,0,1,0,300,orig,4.00000
regular,0,0,1,0,1000,orig,5.00000
regular,0,0,1,0,100,distant,0.00000
regular,0,0,1,0,300,distant,4.00000
regular,0,0,1,0,1000,distant,5.00000
regular,0,0,1,1,100,orig,0.00000
regular,0,0,1,1,300,orig,4.00000
regular,0,0,1,1,1000,orig,4.00000
regular,0,0,1,1,100,distant,0.00000
regular,0,0,1,1,300,distant,4.00000
regular,0,0,1,1,1000,distant,4.00000
regular,0,0,1,2,100,orig,0.00000
regular,0,0,1,2,300,orig,0.00000
regular,0,0,1,2,1000,orig,5.00000
regular,0,0,1,2,100,distant,0.00000
regular,0,0,1,2,300,distant,0.00000
regular,0,0,1,2,1000,distant,5.00000
regular,0,0,1,3,100,orig,0.00000
regular,0,0,1,3,300,orig,4.00000
regular,0,0,1,3,1000,orig,5.00000
regular,0,0,1,3,100,distant,0.00000
regular,0,0,1,3,300,distant,0.00000
regular,0,0,1,3,1000,distant,5.00000
regular,0,0,1,4,100,orig,0.00000
regular,0,0,1,4,300,orig,2.00000
regular,0,0,1,4,1000,orig,2.00000
regular,0,0,1,4,100,distant,0.00000
regular,0,0,1,4,300,distant,2.00000
regular,0,0,1,4,1000,distant,2.00000
regular,0,0,2,0,100,orig,0.00000
regular,0,0,2,0,300,orig,0.00000
regular,0,0,2,0,1000,orig,-26.00000
regular,0,0,2,0,100,distant,-12.00000
regular,0,0,2,0,300,distant,-28.00000
regular,0,0,2,0,1000,distant,-29.00000
regular,0,0,2,1,100,orig,-28.00000
regular,0,0,2,1,300,orig,-29.00000
regular,0,0,2,1,1000,orig,-29.00000
regular,0,0,2,1,100,distant,0.00000
regular,0,0,2,1,300,distant,-24.00000
regular,0,0,2,1,1000,distant,-29.00000
regular,0,0,2,2,100,orig,-25.00000
regular,0,0,2,2,300,orig,-29.00000
regular,0,0,2,2,1000,orig,-29.00000
regular,0,0,2,2,100,distant,-2.00000
regular,0,0,2,2,300,distant,-4.00000
regular,0,0,2,2,1000,distant,-29.00000
regular,0,0,2,3,100,orig,-10.00000
regular,0,0,2,3,300,orig,-16.00000
regular,0,0,2,3,1000,orig,-29.00000
regular,0,0,2,3,100,distant,-26.00000
regular,0,0,2,3,300,distant,-27.00000
regular,0,0,2,3,1000,distant,-29.00000
regular,0,0,2,4,100,orig,0.00000
regular,0,0,2,4,300,orig,-3.00000
regular,0,0,2,4,1000,orig,-29.00000
regular,0,0,2,4,100,distant,-23.00000
regular,0,0,2,4,300,distant,-26.00000
regular,0,0,2,4,1000,distant,-29.00000
regular,0,0,3,0,100,orig,4.00000
regular,0,0,3,0,300,orig,5.00000
regular,0,0,3,0,1000,orig,5.00000
regular,0,0,3,0,100,distant,0.00000
regular,0,0,3,0,300,distant,4.00000
regular,0,0,3,0,1000,distant,4.00000
regular,0,0,3,1,100,orig,5.00000
regular,0,0,3,1,300,orig,5.00000
regular,0,0,3,1,1000,orig,5.00000
regular,0,0,3,1,100,distant,5.00000
regular,0,0,3,1,300,distant,5.00000
regular,0,0,3,1,1000,distant,5.00000
regular,0,0,3,2,100,orig,5.00000
regular,0,0,3,2,300,orig,5.00000
regular,0,0,3,2,1000,orig,5.00000
regular,0,0,3,2,100,distant,4.00000
regular,0,0,3,2,300,distant,5.00000
regular,0,0,3,2,1000,distant,5.00000
regular,0,0,3,3,100,orig,-2.00000
regular,0,0,3,3,300,orig,2.00000
regular,0,0,3,3,1000,orig,5.00000
regular,0,0,3,3,100,distant,-2.00000
