comparison,metric,checkpoint,point_estimate,ci_lo,ci_hi
Growing_vs_Growing-MatchedControl,memory_AUC_diff,400,0.1412,0.0912,0.1903
Growing_vs_Growing-MatchedControl,eff_alt_diff,400,788.1472,746.5510,830.5401
Growing_vs_Growing-MatchedControl,struct_access_diff,400,3.1000,2.6925,3.4625
Growing_vs_Growing-MatchedControl,absM_norm_diff,400,0.039284,0.021748,0.057414
Growing_vs_Growing-MatchedControl,memory_AUC_diff,2000,0.1716,0.1003,0.2353
Growing_vs_Growing-MatchedControl,eff_alt_diff,2000,556.7626,506.5094,605.0750
Growing_vs_Growing-MatchedControl,struct_access_diff,2000,0.0150,-0.1350,0.1550
Growing_vs_Growing-MatchedControl,absM_norm_diff,2000,0.036136,0.027211,0.044894
Growing_vs_Growing-MatchedControl,memory_AUC_diff,10000,0.0946,0.0170,0.1703
Growing_vs_Growing-MatchedControl,eff_alt_diff,10000,8.7095,4.8965,12.9645
Growing_vs_Growing-MatchedControl,struct_access_diff,10000,-0.0025,-0.0075,0.0000
Growing_vs_Growing-MatchedControl,absM_norm_diff,10000,0.000249,-0.000054,0.000563
Growing_vs_Reinforced,memory_AUC_diff,400,0.1093,0.0639,0.1547
Growing_vs_Reinforced,eff_alt_diff,400,1397.5449,1358.3226,1436.5906
Growing_vs_Reinforced,struct_access_diff,400,32.5700,32.2350,32.8776
Growing_vs_Reinforced,absM_norm_diff,400,0.035039,0.015535,0.055332
Growing_vs_Reinforced,memory_AUC_diff,2000,0.1170,0.0547,0.1784
Growing_vs_Reinforced,eff_alt_diff,2000,2936.0385,2904.3320,2967.7517
Growing_vs_Reinforced,struct_access_diff,2000,38.8000,38.6500,38.9351
Growing_vs_Reinforced,absM_norm_diff,2000,0.031443,0.022202,0.041068
Growing_vs_Reinforced,memory_AUC_diff,10000,0.0634,-0.0172,0.1403
Growing_vs_Reinforced,eff_alt_diff,10000,3834.0368,3831.8401,3835.8871
Growing_vs_Reinforced,struct_access_diff,10000,39.9975,39.9925,40.0000
Growing_vs_Reinforced,absM_norm_diff,10000,0.002159,0.001903,0.002434
