model,checkpoint,mean_M_A,mean_M_B,mean_absM_norm,frac_A_gt_B,d_z,auc,tie_frac
Fixed,0,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,100,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,200,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,400,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,1000,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,2000,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,5000,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Fixed,10000,0.0000,0.0000,0.000000,0.5000,0.0000,0.5000,1.0000
Reinforced,0,70.0000,-70.0000,0.327103,1.0000,inf,1.0000,0.0000
Reinforced,100,66.2960,-71.0646,0.249633,1.0000,2.8312,0.9942,0.0000
Reinforced,200,59.9241,-62.0889,0.214695,0.9550,1.6314,0.9187,0.0000
Reinforced,400,46.7127,-50.6076,0.181636,0.8350,0.9882,0.7983,0.0000
Reinforced,1000,29.4855,-29.6489,0.125338,0.6950,0.5326,0.6788,0.0000
Reinforced,2000,12.2872,-18.6849,0.067594,0.6500,0.4026,0.6433,0.0000
Reinforced,5000,1.8834,-1.5367,0.008950,0.6350,0.2201,0.6149,0.0000
Reinforced,10000,-0.0131,0.0344,0.000108,0.5900,-0.0498,0.5622,0.0000
Growing,0,84.0000,-84.0000,0.344262,1.0000,inf,1.0000,0.0000
Growing,100,98.4786,-92.8743,0.278437,0.9900,2.5783,0.9900,0.0000
Growing,200,102.5342,-100.3965,0.252410,0.9350,1.6500,0.9535,0.0000
Growing,400,113.0735,-103.1906,0.216674,0.9050,1.3698,0.9076,0.0000
Growing,1000,97.1573,-90.9530,0.157503,0.8350,0.9047,0.8109,0.0000
Growing,2000,68.4172,-64.9756,0.099036,0.7600,0.7425,0.7603,0.0000
Growing,5000,17.2752,-14.7085,0.024890,0.6950,0.4919,0.7060,0.0000
Growing,10000,1.0904,-0.6295,0.002267,0.6350,0.2243,0.6256,0.0000
Growing-MatchedControl,0,70.1600,-69.8400,0.286885,1.0000,inf,1.0000,0.0000
Growing-MatchedControl,100,72.0957,-73.7633,0.222038,0.9800,2.2301,0.9791,0.0000
Growing-MatchedControl,200,72.2639,-61.2453,0.197009,0.9150,1.2822,0.8817,0.0000
Growing-MatchedControl,400,62.7677,-49.6334,0.177391,0.7950,0.7931,0.7664,0.0000
Growing-MatchedControl,1000,42.7067,-21.9137,0.113966,0.7100,0.4066,0.6503,0.0000
Growing-MatchedControl,2000,20.1364,-9.6192,0.062901,0.5900,0.2378,0.5887,0.0000
Growing-MatchedControl,5000,2.8055,-2.9543,0.014233,0.5450,0.1501,0.5621,0.0000
Growing-MatchedControl,10000,-0.1850,-0.6461,0.002018,0.5250,0.0656,0.5310,0.0000
