model,checkpoint,struct_access_mean,struct_access_sd,eff_alt_mean,eff_alt_sd,edge_count_mean,total_weight_mean,n_active_mean,frac_inactive_mean,headroom_mean,d_struct_access,d_eff_alt
Fixed,0,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,100,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,200,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,400,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,1000,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,2000,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,5000,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Fixed,10000,40.0000,0.0000,256.0000,0.0000,144.0000,144.0000,0.0000,1.000000,5.000000,0.0000,0.0000
Reinforced,0,40.0000,0.0000,107.2150,0.0000,144.0000,214.0000,0.0000,1.000000,4.513889,0.0000,-148.7850
Reinforced,100,40.0000,0.0000,130.3908,20.1118,144.0000,280.7436,0.0000,1.000000,4.050392,0.0000,-125.6092
Reinforced,200,40.0000,0.0000,142.9243,24.4223,144.0000,333.7211,0.0000,1.000000,3.682492,0.0000,-113.0757
Reinforced,400,40.0000,0.0000,164.0750,27.5009,144.0000,417.2768,0.0000,1.000000,3.102245,0.0000,-91.9250
Reinforced,1000,40.0000,0.0000,205.2131,25.3363,144.0000,589.4534,0.0000,1.000000,1.906574,0.0000,-50.7869
Reinforced,2000,40.0000,0.0000,238.2038,16.8447,144.0000,741.7283,0.0000,1.000000,0.849109,0.0000,-17.7962
Reinforced,5000,40.0000,0.0000,255.3105,2.7858,144.0000,853.6888,0.0000,1.000000,0.071606,0.0000,-0.6895
Reinforced,10000,40.0000,0.0000,256.0000,0.0000,144.0000,863.9074,0.0000,1.000000,0.000643,0.0000,-0.0000
Growing,0,64.0000,0.0000,600.0158,0.0000,174.0000,244.0000,30.0000,0.765625,4.597701,24.0000,344.0158
Growing,100,67.5725,2.9524,921.3530,216.9152,189.7500,354.1341,45.7500,0.642578,4.134925,27.5725,665.3530
Growing,200,69.8400,3.2273,1153.6606,309.7867,201.5450,443.3851,57.5450,0.550430,3.802250,29.8400,897.6606
Growing,400,72.5700,3.0722,1561.6200,375.8896,218.7300,592.7265,74.7300,0.416172,3.293744,32.5700,1305.6200
Growing,1000,76.6850,2.3009,2400.4713,394.5691,246.5700,907.3088,102.5700,0.198672,2.324149,36.6850,2144.4713
Growing,2000,78.8000,1.4142,3174.2423,315.4842,263.5850,1214.6162,119.5850,0.065742,1.394512,38.8000,2918.2423
Growing,5000,79.9500,0.2182,3951.4687,118.0185,271.7550,1549.3988,127.7550,0.001914,0.298728,39.9500,3695.4687
Growing,10000,79.9975,0.0500,4090.0368,21.9591,271.9950,1627.2324,127.9950,0.000039,0.017419,39.9975,3834.0368
Growing-MatchedControl,0,55.0800,3.2895,222.6519,60.7553,174.0000,244.0000,30.0000,0.765625,4.597701,15.0800,-33.3481
Growing-MatchedControl,100,60.8900,3.9474,375.0247,121.6675,189.7500,344.2421,45.7500,0.642578,4.185446,20.8900,119.0247
Growing-MatchedControl,200,64.6600,4.0812,504.1974,172.4920,201.5450,428.1641,57.5450,0.550430,3.874934,24.6600,248.1974
Growing-MatchedControl,400,69.4700,3.9773,773.4728,251.2038,218.7300,573.7780,74.7300,0.416172,3.375680,29.4700,517.4728
Growing-MatchedControl,1000,75.8200,2.8439,1585.5059,387.2170,246.5700,897.8160,102.5700,0.198672,2.356984,35.8200,1329.5059
Growing-MatchedControl,2000,78.7850,1.4728,2617.4797,424.0589,263.5850,1219.9999,119.5850,0.065742,1.371014,38.7850,2361.4797
Growing-MatchedControl,5000,79.9675,0.2271,3832.7329,179.7388,271.7550,1555.9749,127.7550,0.001914,0.274376,39.9675,3576.7329
Growing-MatchedControl,10000,80.0000,0.0000,4081.3273,36.9934,271.9950,1627.3239,127.9950,0.000039,0.017082,40.0000,3825.3273
