comparison,checkpoint,delta,auc_diff,ci_lo,ci_hi
Growing_vs_Growing-MatchedControl,400,0.0,0.1412,0.0912,0.1903
Growing_vs_Growing-MatchedControl,400,0.001,0.1412,0.0912,0.1903
Growing_vs_Growing-MatchedControl,400,0.01,0.1411,0.0911,0.1903
Growing_vs_Growing-MatchedControl,400,0.1,0.1412,0.0914,0.1902
Growing_vs_Growing-MatchedControl,400,0.5,0.1422,0.0924,0.1914
Growing_vs_Growing-MatchedControl,400,1.0,0.1466,0.0952,0.1969
Growing_vs_Growing-MatchedControl,2000,0.0,0.1716,0.1003,0.2353
Growing_vs_Growing-MatchedControl,2000,0.001,0.1716,0.1003,0.2353
Growing_vs_Growing-MatchedControl,2000,0.01,0.1717,0.1004,0.2353
Growing_vs_Growing-MatchedControl,2000,0.1,0.1722,0.1014,0.2363
Growing_vs_Growing-MatchedControl,2000,0.5,0.1718,0.1014,0.2356
Growing_vs_Growing-MatchedControl,2000,1.0,0.1717,0.1010,0.2365
Growing_vs_Growing-MatchedControl,10000,0.0,0.0946,0.0170,0.1703
Growing_vs_Growing-MatchedControl,10000,0.001,0.0946,0.0167,0.1702
Growing_vs_Growing-MatchedControl,10000,0.01,0.0945,0.0169,0.1707
Growing_vs_Growing-MatchedControl,10000,0.1,0.0904,0.0124,0.1674
Growing_vs_Growing-MatchedControl,10000,0.5,0.0845,0.0062,0.1616
Growing_vs_Growing-MatchedControl,10000,1.0,0.0858,0.0073,0.1620
Growing_vs_Reinforced,400,0.0,0.1093,0.0639,0.1547
Growing_vs_Reinforced,400,0.001,0.1093,0.0639,0.1547
Growing_vs_Reinforced,400,0.01,0.1092,0.0638,0.1547
Growing_vs_Reinforced,400,0.1,0.1092,0.0636,0.1548
Growing_vs_Reinforced,400,0.5,0.1085,0.0627,0.1541
Growing_vs_Reinforced,400,1.0,0.1166,0.0692,0.1634
Growing_vs_Reinforced,2000,0.0,0.1170,0.0547,0.1784
Growing_vs_Reinforced,2000,0.001,0.1170,0.0547,0.1784
Growing_vs_Reinforced,2000,0.01,0.1170,0.0548,0.1785
Growing_vs_Reinforced,2000,0.1,0.1170,0.0548,0.1782
Growing_vs_Reinforced,2000,0.5,0.1167,0.0546,0.1778
Growing_vs_Reinforced,2000,1.0,0.1179,0.0552,0.1793
Growing_vs_Reinforced,10000,0.0,0.0634,-0.0172,0.1403
Growing_vs_Reinforced,10000,0.001,0.1303,0.0665,0.1937
Growing_vs_Reinforced,10000,0.01,0.1235,0.0675,0.1825
Growing_vs_Reinforced,10000,0.1,0.1341,0.0782,0.1917
Growing_vs_Reinforced,10000,0.5,0.1200,0.0665,0.1767
Growing_vs_Reinforced,10000,1.0,0.1159,0.0603,0.1718
