model,checkpoint,delta,auc,paired_frac,tie_frac,signed_sep,balanced_acc
Fixed,0,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,0,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,0,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,0,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,0,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,0,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,100,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,200,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,400,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,1000,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,0.01,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,0.1,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,0.5,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,2000,1.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,5000,0.0,0.5000,0.5000,1.0000,0.000000,0.5000
Fixed,5000,0.001,0.5000,0.5000,1.0000,0.000000,0.5000
