quantity,comparison_or_model,reader,checkpoint,point,ci_lo,ci_hi
reader_auc,Fixed,presence,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,presence,400,0.5000,0.5000,0.5000
reader_auc,Growing,presence,400,0.8338,0.7951,0.8718
reader_auc,Growing-MatchedControl,presence,400,0.5265,0.4882,0.5626
growing_minus_control_auc,Growing_vs_Control,presence,400,0.3073,0.2553,0.3582
reader_auc,Fixed,original_B0,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B0,400,0.7983,0.7599,0.8334
reader_auc,Growing,original_B0,400,0.9547,0.9340,0.9723
reader_auc,Growing-MatchedControl,original_B0,400,0.8371,0.8020,0.8723
growing_minus_control_auc,Growing_vs_Control,original_B0,400,0.1175,0.0788,0.1541
reader_auc,Fixed,added_D0,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D0,400,0.5000,0.5000,0.5000
reader_auc,Growing,added_D0,400,0.8306,0.7902,0.8707
reader_auc,Growing-MatchedControl,added_D0,400,0.5446,0.4929,0.5944
growing_minus_control_auc,Growing_vs_Control,added_D0,400,0.2860,0.2253,0.3453
reader_auc,Fixed,full_M0,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M0,400,0.7983,0.7599,0.8334
reader_auc,Growing,full_M0,400,0.9076,0.8783,0.9356
reader_auc,Growing-MatchedControl,full_M0,400,0.7664,0.7252,0.8082
growing_minus_control_auc,Growing_vs_Control,full_M0,400,0.1412,0.0917,0.1879
reader_auc,Fixed,departure_R0,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R0,400,0.7983,0.7599,0.8334
reader_auc,Growing,departure_R0,400,0.9444,0.9224,0.9635
reader_auc,Growing-MatchedControl,departure_R0,400,0.7635,0.7206,0.8057
growing_minus_control_auc,Growing_vs_Control,departure_R0,400,0.1809,0.1321,0.2275
reader_auc,Fixed,original_B1,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B1,400,0.7844,0.7453,0.8206
reader_auc,Growing,original_B1,400,0.9471,0.9244,0.9673
reader_auc,Growing-MatchedControl,original_B1,400,0.8239,0.7874,0.8606
growing_minus_control_auc,Growing_vs_Control,original_B1,400,0.1232,0.0829,0.1626
reader_auc,Fixed,added_D1,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D1,400,0.5000,0.5000,0.5000
reader_auc,Growing,added_D1,400,0.8295,0.7895,0.8695
reader_auc,Growing-MatchedControl,added_D1,400,0.5453,0.4934,0.5955
growing_minus_control_auc,Growing_vs_Control,added_D1,400,0.2842,0.2241,0.3435
reader_auc,Fixed,full_M1,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M1,400,0.7844,0.7453,0.8206
reader_auc,Growing,full_M1,400,0.9010,0.8706,0.9309
reader_auc,Growing-MatchedControl,full_M1,400,0.7544,0.7126,0.7967
growing_minus_control_auc,Growing_vs_Control,full_M1,400,0.1466,0.0962,0.1943
reader_auc,Fixed,departure_R1,400,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R1,400,0.7844,0.7453,0.8206
reader_auc,Growing,departure_R1,400,0.9355,0.9114,0.9565
reader_auc,Growing-MatchedControl,departure_R1,400,0.7520,0.7087,0.7957
growing_minus_control_auc,Growing_vs_Control,departure_R1,400,0.1835,0.1336,0.2318
reader_auc,Fixed,presence,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,presence,2000,0.5000,0.5000,0.5000
reader_auc,Growing,presence,2000,0.6728,0.6207,0.7227
reader_auc,Growing-MatchedControl,presence,2000,0.4858,0.4310,0.5406
growing_minus_control_auc,Growing_vs_Control,presence,2000,0.1871,0.1131,0.2674
reader_auc,Fixed,original_B0,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B0,2000,0.6433,0.5932,0.6907
reader_auc,Growing,original_B0,2000,0.7856,0.7405,0.8297
reader_auc,Growing-MatchedControl,original_B0,2000,0.6532,0.6032,0.7008
growing_minus_control_auc,Growing_vs_Control,original_B0,2000,0.1324,0.0674,0.1998
reader_auc,Fixed,added_D0,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D0,2000,0.5000,0.5000,0.5000
reader_auc,Growing,added_D0,2000,0.7278,0.6778,0.7760
reader_auc,Growing-MatchedControl,added_D0,2000,0.4905,0.4349,0.5428
growing_minus_control_auc,Growing_vs_Control,added_D0,2000,0.2372,0.1665,0.3114
reader_auc,Fixed,full_M0,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M0,2000,0.6433,0.5932,0.6907
reader_auc,Growing,full_M0,2000,0.7603,0.7141,0.8070
reader_auc,Growing-MatchedControl,full_M0,2000,0.5887,0.5359,0.6382
growing_minus_control_auc,Growing_vs_Control,full_M0,2000,0.1716,0.1041,0.2422
reader_auc,Fixed,departure_R0,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R0,2000,0.6433,0.5932,0.6907
reader_auc,Growing,departure_R0,2000,0.7823,0.7369,0.8266
reader_auc,Growing-MatchedControl,departure_R0,2000,0.5930,0.5418,0.6425
growing_minus_control_auc,Growing_vs_Control,departure_R0,2000,0.1893,0.1243,0.2572
reader_auc,Fixed,original_B1,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B1,2000,0.6404,0.5896,0.6887
reader_auc,Growing,original_B1,2000,0.7822,0.7366,0.8265
reader_auc,Growing-MatchedControl,original_B1,2000,0.6504,0.6010,0.6979
growing_minus_control_auc,Growing_vs_Control,original_B1,2000,0.1318,0.0673,0.2002
reader_auc,Fixed,added_D1,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D1,2000,0.5000,0.5000,0.5000
reader_auc,Growing,added_D1,2000,0.7278,0.6776,0.7752
reader_auc,Growing-MatchedControl,added_D1,2000,0.4914,0.4354,0.5434
growing_minus_control_auc,Growing_vs_Control,added_D1,2000,0.2364,0.1649,0.3113
reader_auc,Fixed,full_M1,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M1,2000,0.6404,0.5896,0.6887
reader_auc,Growing,full_M1,2000,0.7582,0.7113,0.8049
reader_auc,Growing-MatchedControl,full_M1,2000,0.5865,0.5330,0.6361
growing_minus_control_auc,Growing_vs_Control,full_M1,2000,0.1717,0.1042,0.2421
reader_auc,Fixed,departure_R1,2000,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R1,2000,0.6404,0.5896,0.6887
reader_auc,Growing,departure_R1,2000,0.7806,0.7354,0.8251
reader_auc,Growing-MatchedControl,departure_R1,2000,0.5908,0.5389,0.6403
growing_minus_control_auc,Growing_vs_Control,departure_R1,2000,0.1898,0.1235,0.2578
reader_auc,Fixed,presence,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,presence,10000,0.5000,0.5000,0.5000
reader_auc,Growing,presence,10000,0.4975,0.4925,0.5000
reader_auc,Growing-MatchedControl,presence,10000,0.5025,0.5000,0.5075
growing_minus_control_auc,Growing_vs_Control,presence,10000,-0.0050,-0.0150,0.0000
reader_auc,Fixed,original_B0,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B0,10000,0.5622,0.5128,0.6113
reader_auc,Growing,original_B0,10000,0.5947,0.5391,0.6479
reader_auc,Growing-MatchedControl,original_B0,10000,0.5564,0.5018,0.6067
growing_minus_control_auc,Growing_vs_Control,original_B0,10000,0.0383,-0.0365,0.1189
reader_auc,Fixed,added_D0,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D0,10000,0.5000,0.5000,0.5000
reader_auc,Growing,added_D0,10000,0.6409,0.5840,0.6964
reader_auc,Growing-MatchedControl,added_D0,10000,0.4977,0.4402,0.5576
growing_minus_control_auc,Growing_vs_Control,added_D0,10000,0.1432,0.0721,0.2236
reader_auc,Fixed,full_M0,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M0,10000,0.5622,0.5128,0.6113
reader_auc,Growing,full_M0,10000,0.6256,0.5695,0.6781
reader_auc,Growing-MatchedControl,full_M0,10000,0.5310,0.4759,0.5909
growing_minus_control_auc,Growing_vs_Control,full_M0,10000,0.0946,0.0157,0.1754
reader_auc,Fixed,departure_R0,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R0,10000,0.5622,0.5128,0.6113
reader_auc,Growing,departure_R0,10000,0.6256,0.5695,0.6781
reader_auc,Growing-MatchedControl,departure_R0,10000,0.5274,0.4707,0.5872
growing_minus_control_auc,Growing_vs_Control,departure_R0,10000,0.0981,0.0209,0.1782
reader_auc,Fixed,original_B1,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,original_B1,10000,0.4975,0.4803,0.5124
reader_auc,Growing,original_B1,10000,0.5636,0.5122,0.6134
reader_auc,Growing-MatchedControl,original_B1,10000,0.5370,0.4910,0.5818
growing_minus_control_auc,Growing_vs_Control,original_B1,10000,0.0266,-0.0347,0.0940
reader_auc,Fixed,added_D1,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,added_D1,10000,0.5000,0.5000,0.5000
reader_auc,Growing,added_D1,10000,0.6162,0.5618,0.6655
reader_auc,Growing-MatchedControl,added_D1,10000,0.4988,0.4424,0.5570
growing_minus_control_auc,Growing_vs_Control,added_D1,10000,0.1174,0.0456,0.1945
reader_auc,Fixed,full_M1,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,full_M1,10000,0.4975,0.4803,0.5124
reader_auc,Growing,full_M1,10000,0.6134,0.5566,0.6660
reader_auc,Growing-MatchedControl,full_M1,10000,0.5276,0.4717,0.5874
growing_minus_control_auc,Growing_vs_Control,full_M1,10000,0.0858,0.0090,0.1682
reader_auc,Fixed,departure_R1,10000,0.5000,0.5000,0.5000
reader_auc,Reinforced,departure_R1,10000,0.4975,0.4803,0.5124
reader_auc,Growing,departure_R1,10000,0.6134,0.5566,0.6660
reader_auc,Growing-MatchedControl,departure_R1,10000,0.5237,0.4668,0.5831
growing_minus_control_auc,Growing_vs_Control,departure_R1,10000,0.0897,0.0149,0.1698
