# Complete-topology subset at t=10000 (DESCRIPTIVE, selected after evolution; not a matched causal comparison).
# A world is 'complete' iff all 128 candidate diagonals are present.
model,history,n_worlds,n_complete,total_missing_candidates
Fixed,A,200,0,25600
Fixed,B,200,0,25600
Reinforced,A,200,0,25600
Reinforced,B,200,0,25600
Growing,A,200,200,0
Growing,B,200,199,2
Growing-MatchedControl,A,200,200,0
Growing-MatchedControl,B,200,199,2

# Paired discrimination restricted to pairs where BOTH A and B worlds are complete:
model,reader,n_pairs_included,auc,paired_frac,tie_frac,bal_acc,signed_sep
Fixed,full_M0,0,nan,nan,nan,nan,nan
Fixed,full_M1,0,nan,nan,nan,nan,nan
Fixed,departure_R0,0,nan,nan,nan,nan,nan
Fixed,departure_R1,0,nan,nan,nan,nan,nan
Fixed,presence,0,nan,nan,nan,nan,nan
Reinforced,full_M0,0,nan,nan,nan,nan,nan
Reinforced,full_M1,0,nan,nan,nan,nan,nan
Reinforced,departure_R0,0,nan,nan,nan,nan,nan
Reinforced,departure_R1,0,nan,nan,nan,nan,nan
Reinforced,presence,0,nan,nan,nan,nan,nan
Growing,full_M0,199,0.6272,0.6382,0.0000,0.6080,1.878274
Growing,full_M1,199,0.6151,0.6181,0.1206,0.5879,1.778894
Growing,departure_R0,199,0.6272,0.6382,0.0000,0.6080,1.878274
Growing,departure_R1,199,0.6151,0.6181,0.1206,0.5879,1.778894
Growing,presence,199,0.5000,0.5000,1.0000,0.5000,0.000000
Growing-MatchedControl,full_M0,199,0.5275,0.5226,0.0000,0.5201,0.389489
Growing-MatchedControl,full_M1,199,0.5237,0.5126,0.1407,0.5176,0.361809
Growing-MatchedControl,departure_R0,199,0.5275,0.5226,0.0000,0.5201,0.389489
Growing-MatchedControl,departure_R1,199,0.5237,0.5126,0.1407,0.5176,0.361809
Growing-MatchedControl,presence,199,0.5000,0.5000,1.0000,0.5000,0.000000
