model,checkpoint,reader,auc,paired_frac,tie_frac,bal_acc,signed_sep
Fixed,0,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,original_B0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,full_M0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,departure_R0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,original_B1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,full_M1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,0,departure_R1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,original_B0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,full_M0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,departure_R0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,original_B1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,full_M1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,100,departure_R1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,original_B0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,full_M0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,departure_R0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,original_B1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,full_M1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,200,departure_R1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,original_B0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,added_D0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,full_M0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,departure_R0,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,original_B1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,added_D1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,full_M1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,400,departure_R1,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,1000,presence,0.5000,0.5000,1.0000,0.5000,0.000000
Fixed,1000,original_B0,0.5000,0.5000,1.0000,0.5000,0.000000
