quantity,model,checkpoint,point,ci_lo,ci_hi,note
onebit_auc,Fixed,400,0.5000,0.5000,0.5000,A-positive
onebit_auc,Reinforced,400,0.5000,0.5000,0.5000,A-positive
onebit_auc,Growing,400,0.7960,0.7539,0.8396,A-positive
onebit_auc,Growing-MatchedControl,400,0.5339,0.4798,0.5840,A-positive
onebit_minus_D1_within_Growing,Growing,400,-0.0335,-0.0549,-0.0138,negative=loss_from_1bit
growing_minus_control_onebit,Growing_vs_Control,400,0.2621,0.1975,0.3311,positive=Growing_higher
onebit_auc,Fixed,2000,0.5000,0.5000,0.5000,A-positive
onebit_auc,Reinforced,2000,0.5000,0.5000,0.5000,A-positive
onebit_auc,Growing,2000,0.7314,0.6819,0.7789,A-positive
onebit_auc,Growing-MatchedControl,2000,0.5069,0.4502,0.5607,A-positive
onebit_minus_D1_within_Growing,Growing,2000,0.0036,-0.0113,0.0179,negative=loss_from_1bit
growing_minus_control_onebit,Growing_vs_Control,2000,0.2245,0.1524,0.2934,positive=Growing_higher
onebit_auc,Fixed,10000,0.5000,0.5000,0.5000,A-positive
onebit_auc,Reinforced,10000,0.5000,0.5000,0.5000,A-positive
onebit_auc,Growing,10000,0.6192,0.5676,0.6692,A-positive
onebit_auc,Growing-MatchedControl,10000,0.5062,0.4501,0.5646,A-positive
onebit_minus_D1_within_Growing,Growing,10000,0.0030,-0.0164,0.0211,negative=loss_from_1bit
growing_minus_control_onebit,Growing_vs_Control,10000,0.1129,0.0391,0.1832,positive=Growing_higher
