model,checkpoint,reader,auc,bal_acc,paired_frac,tie_frac,signed_sep,mean_added_present
Fixed,0,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,0,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,0,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,0,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,0,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,100,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,100,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,100,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,100,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,100,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,200,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,200,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,200,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,200,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,200,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,400,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,400,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,400,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,400,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,400,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,1000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,1000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,1000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,1000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,1000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,2000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,2000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,2000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,2000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,2000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,5000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,5000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,5000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,5000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,5000,added_presence_PD,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,10000,onebit_Shigh,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,10000,complement_negSlow,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,10000,added_exact_D0,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
Fixed,10000,added_whole_D1,0.5000,0.5000,0.5000,1.0000,0.000000,0.0000
