contrast,checkpoint,mean_diff_Shigh,diff_lo,diff_hi,auc,auc_lo,auc_hi
weight_effect|T_A,400,3.2500,2.2300,4.2651,0.6648,0.6127,0.7137
weight_effect|T_B,400,3.7250,2.6599,4.8950,0.6702,0.6192,0.7226
topology_effect|W_A,400,2.8100,1.7699,3.8801,0.6407,0.5855,0.6945
topology_effect|W_B,400,3.2850,2.2250,4.4200,0.6560,0.6046,0.7114
interaction_meanShigh,400,-0.4750,-1.9401,0.9950,NA,NA,NA
weight_effect|T_A,2000,5.0650,2.4450,7.7252,0.6089,0.5548,0.6650
weight_effect|T_B,2000,7.3200,4.8749,9.9552,0.6480,0.5999,0.6997
topology_effect|W_A,2000,4.4400,1.9796,6.8902,0.5849,0.5329,0.6372
topology_effect|W_B,2000,6.6950,4.2599,9.2551,0.6373,0.5878,0.6909
interaction_meanShigh,2000,-2.2550,-5.5805,1.1354,NA,NA,NA
weight_effect|T_A,10000,0.2400,0.0600,0.4251,0.5659,0.5149,0.6175
weight_effect|T_B,10000,0.1600,-0.0400,0.3600,0.5543,0.5031,0.6063
topology_effect|W_A,10000,0.2150,0.0200,0.4200,0.5580,0.5038,0.6116
topology_effect|W_B,10000,0.1350,-0.0750,0.3400,0.5499,0.4964,0.6014
interaction_meanShigh,10000,0.0800,-0.1950,0.3651,NA,NA,NA
