world,checkpoint,S_high_mean,P_D_mean,B0_mean,edge_count_mean,total_weight_mean,headroom_mean,n_active_diag_mean,S_high_sd
AA,0,0.0000,14.0000,70.0000,174.0000,244.0000,4.5977,30.0000,0.0000
AA,100,0.8150,13.7200,73.1729,189.8800,355.2057,4.1305,45.8800,1.6657
AA,200,1.6350,12.6400,72.2002,201.2000,442.7958,3.8014,57.2000,2.9488
AA,400,3.4300,12.3700,73.0806,218.1700,591.7242,3.2921,74.1700,5.2039
AA,1000,5.5300,7.1000,58.6959,247.2000,909.6880,2.3244,103.2000,11.0739
AA,2000,5.9850,2.7700,37.6113,263.8700,1217.2066,1.3900,119.8700,12.9876
AA,5000,2.3150,0.0600,8.5329,271.7800,1549.0995,0.3003,127.7800,6.6269
AA,10000,0.2750,0.0000,0.2167,272.0000,1627.1696,0.0178,128.0000,0.9185
AB,0,0.0000,-14.0000,70.0000,174.0000,244.0000,4.5977,30.0000,0.0000
AB,100,-0.0400,-3.7200,66.5960,195.1400,364.1166,4.1352,51.1400,1.7901
AB,200,0.4550,-1.3300,63.0746,206.5100,455.0437,3.7984,62.5100,3.4956
AB,400,0.6200,0.6000,55.3008,223.4000,606.3221,3.2890,79.4000,5.9297
AB,1000,0.9700,0.7300,36.4933,247.9900,914.9187,2.3144,103.9900,11.3615
AB,2000,1.5450,0.4900,22.6324,263.7500,1215.8264,1.3925,119.7500,13.9658
AB,5000,0.1900,0.0500,6.3251,271.7900,1549.5494,0.2989,127.7900,6.3352
AB,10000,0.0600,0.0000,0.2850,272.0000,1626.6806,0.0196,128.0000,1.0734
BA,0,0.0000,14.0000,-70.0000,174.0000,244.0000,4.5977,30.0000,0.0000
BA,100,0.1650,3.9700,-66.5902,195.2900,364.6189,4.1339,51.2900,1.8067
BA,200,0.0350,2.1700,-60.9002,207.1300,457.2920,3.7940,63.1300,3.1068
BA,400,0.1800,1.9000,-48.8807,223.0400,606.9889,3.2811,79.0400,5.6894
BA,1000,0.5650,0.7300,-28.2323,248.7700,918.7387,2.3100,104.7700,11.1619
BA,2000,0.9200,0.2100,-13.5888,264.6700,1223.1524,1.3813,120.6700,13.3790
BA,5000,-0.2750,-0.1400,-4.0902,271.6600,1547.3983,0.3042,127.6600,7.4287
BA,10000,0.0350,0.0000,-0.1123,272.0000,1627.0109,0.0183,128.0000,1.0532
BB,0,0.0000,-14.0000,-70.0000,174.0000,244.0000,4.5977,30.0000,0.0000
BB,100,-0.8200,-12.5000,-69.7722,189.6200,353.0625,4.1394,45.6200,1.6738
BB,200,-1.7400,-12.6100,-70.6307,201.8900,443.9745,3.8031,57.8900,3.1033
BB,400,-3.1050,-11.0500,-67.2381,219.2900,593.7287,3.2954,75.2900,5.7672
BB,1000,-5.4450,-6.8600,-54.4482,245.9400,904.9295,2.3239,101.9400,11.5922
BB,2000,-5.7750,-2.5400,-35.2632,263.3000,1212.0259,1.3990,119.3000,13.9260
BB,5000,-1.9150,-0.0700,-7.7327,271.7300,1549.6980,0.2971,127.7300,7.2955
BB,10000,-0.1000,0.0100,-0.4084,271.9900,1627.2953,0.0171,127.9900,0.9720
