world,checkpoint,mean_signed,mean_abs,median_abs,iqr_abs,frac_pos,frac_zero,frac_neg,n_high_bit_mean,n_present_diag_mean
WA_TA,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
WA_TA,100,0.8150,1.4050,1.0000,2.0000,0.5650,0.2600,0.1750,2.7600,45.8800
WA_TA,200,1.6350,2.7450,2.0000,3.0000,0.6850,0.1050,0.2100,6.4350,57.2000
WA_TA,400,3.4300,5.2200,5.0000,4.2500,0.7100,0.0450,0.2450,14.7800,74.1700
WA_TA,1000,5.5300,9.8300,8.0000,10.0000,0.6650,0.0350,0.3000,39.0050,103.2000
WA_TA,2000,5.9850,11.4150,10.0000,11.0000,0.6850,0.0400,0.2750,70.4250,119.8700
WA_TA,5000,2.3150,5.3050,4.0000,5.0000,0.5900,0.1000,0.3100,114.7750,127.7800
WA_TA,10000,0.2750,0.6050,0.0000,1.0000,0.3500,0.5200,0.1300,127.1650,128.0000
WA_TB,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
WA_TB,100,-0.0400,1.3700,1.0000,1.0000,0.3650,0.2250,0.4100,3.0050,51.1400
WA_TB,200,0.4550,2.7850,2.0000,3.0000,0.4950,0.1050,0.4000,7.0150,62.5100
WA_TB,400,0.6200,4.8600,4.0000,5.0000,0.5150,0.0500,0.4350,15.6150,79.4000
WA_TB,1000,0.9700,8.9500,7.0000,10.0000,0.5100,0.0450,0.4450,40.2300,103.9900
WA_TB,2000,1.5450,11.4650,10.0000,12.2500,0.5550,0.0200,0.4250,71.1800,119.7500
WA_TB,5000,0.1900,4.8900,4.0000,5.0000,0.4700,0.0900,0.4400,115.1750,127.7900
WA_TB,10000,0.0600,0.7200,1.0000,1.0000,0.3100,0.4450,0.2450,127.0900,128.0000
WB_TA,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
WB_TA,100,0.1650,1.3750,1.0000,1.0000,0.4050,0.2400,0.3550,2.9150,51.2900
WB_TA,200,0.0350,2.4650,2.0000,3.0000,0.4200,0.1500,0.4300,6.8100,63.1300
WB_TA,400,0.1800,4.5500,4.0000,5.0000,0.4650,0.0800,0.4550,15.6550,79.0400
WB_TA,1000,0.5650,8.7750,7.5000,9.0000,0.5000,0.0450,0.4550,40.3050,104.7700
WB_TA,2000,0.9200,10.6000,9.0000,11.0000,0.5150,0.0250,0.4600,71.6600,120.6700
WB_TA,5000,-0.2750,5.7350,5.0000,7.0000,0.4850,0.0650,0.4500,114.5250,127.6600
WB_TA,10000,0.0350,0.6450,0.0000,1.0000,0.2550,0.5350,0.2100,127.1950,128.0000
WB_TB,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
WB_TB,100,-0.8200,1.4300,1.0000,1.0000,0.1700,0.2450,0.5850,2.7000,45.6200
WB_TB,200,-1.7400,2.9600,3.0000,3.0000,0.2150,0.0950,0.6900,6.5800,57.8900
WB_TB,400,-3.1050,5.3750,5.0000,6.0000,0.2800,0.0600,0.6600,14.7100,75.2900
WB_TB,1000,-5.4450,10.3650,10.0000,12.0000,0.3100,0.0300,0.6600,38.9750,101.9400
WB_TB,2000,-5.7750,12.3450,11.0000,13.0000,0.3200,0.0200,0.6600,70.2200,119.3000
WB_TB,5000,-1.9150,5.7950,4.0000,6.0000,0.3700,0.0400,0.5900,114.8000,127.7300
WB_TB,10000,-0.1000,0.5800,0.0000,1.0000,0.1700,0.5700,0.2600,127.2550,127.9900
