condition,checkpoint,mean_signed,mean_abs,frac_pos,frac_zero,frac_neg,n_high_bit_mean,n_present_diag_mean
W0_TA,0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
W0_TA,100,0.4850,1.2750,0.4950,0.2450,0.2600,2.6750,49.9000
W0_TA,200,0.9950,2.5250,0.5900,0.1400,0.2700,6.3500,61.4900
W0_TA,400,0.9650,4.4950,0.5300,0.1000,0.3700,14.9750,77.4900
W0_TA,1000,1.0150,9.1050,0.5150,0.0350,0.4500,39.0700,103.6200
W0_TA,2000,0.0300,10.8500,0.5100,0.0300,0.4600,71.0050,120.7400
W0_TA,5000,0.3900,4.9800,0.4700,0.0850,0.4450,115.2100,127.7000
W0_TA,10000,0.1050,0.6550,0.3000,0.4900,0.2100,127.1550,128.0000
W0_TB,0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000
W0_TB,100,-0.2600,1.2400,0.2900,0.2550,0.4550,2.6800,50.0700
W0_TB,200,-0.0250,2.6050,0.4250,0.1000,0.4750,6.5550,61.0000
W0_TB,400,-0.3650,4.4550,0.4500,0.0600,0.4900,14.8650,77.4300
W0_TB,1000,0.6550,8.3850,0.5100,0.0250,0.4650,39.4800,103.9200
W0_TB,2000,0.5850,10.6250,0.5050,0.0450,0.4500,70.3500,120.1800
W0_TB,5000,0.3250,5.0350,0.4650,0.0650,0.4700,115.2000,127.8200
W0_TB,10000,0.0050,0.5650,0.2300,0.5850,0.1850,127.2600,128.0000
