family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
silver,14,0.13,0.37,0.25,A,1.0000,0.0000,0.4493,0.0000,1.8960,3.3870,2.2216,4.9695,6.3718,0.0000,0.3792,40
silver,14,0.13,0.37,0.25,B,1.0000,0.0000,0.4530,0.0000,1.8960,3.2507,2.2121,4.9590,6.3718,0.0000,0.3823,40
silver,14,0.13,0.37,0.5,A,1.0000,0.0000,0.4800,0.0000,1.8960,3.3188,2.2216,4.9447,6.3718,0.0000,0.3835,40
silver,14,0.13,0.37,0.5,B,1.0000,0.0000,0.4746,0.0000,1.8960,3.3188,2.2493,4.9709,6.3718,0.0000,0.3801,40
silver,14,0.13,0.37,1.0,A,1.0000,0.0000,0.5455,0.0000,1.9087,3.5311,2.2216,4.9709,6.3718,0.0000,0.3844,40
silver,14,0.13,0.37,1.0,B,1.0000,0.0000,0.5488,0.0000,1.9027,3.3188,2.2216,4.9452,6.3718,0.0000,0.3860,40
silver,14,0.13,0.37,2.0,A,1.0000,0.0000,0.6815,0.0000,2.1282,3.6017,2.2224,4.9456,6.3718,0.0000,0.4259,40
silver,14,0.13,0.37,2.0,B,1.0000,0.0000,0.6788,0.0000,2.1240,3.6017,2.2216,5.0744,6.3718,0.0000,0.4181,40
silver,14,0.29,0.11,0.25,A,1.0000,0.0000,0.4325,0.0000,1.7535,3.1718,2.2093,5.1133,6.5545,0.0000,0.3457,40
silver,14,0.29,0.11,0.25,B,1.0000,0.0000,0.4440,0.0000,1.7535,3.1718,2.2093,5.0409,6.5545,0.0000,0.3505,40
silver,14,0.29,0.11,0.5,A,1.0000,0.0000,0.4563,0.0000,1.7535,3.1718,2.2093,5.0704,6.5188,0.0000,0.3469,40
silver,14,0.29,0.11,0.5,B,1.0000,0.0000,0.4585,0.0000,1.7535,3.1718,2.2093,4.9662,6.6290,0.0000,0.3539,40
silver,14,0.29,0.11,1.0,A,1.0000,0.0000,0.5224,0.0000,1.8023,3.1718,2.2093,5.0601,6.6290,0.0000,0.3604,40
silver,14,0.29,0.11,1.0,B,1.0000,0.0000,0.5187,0.0000,1.8023,3.1718,2.2093,5.0929,6.5545,0.0000,0.3586,40
silver,14,0.29,0.11,2.0,A,1.0000,0.0000,0.6627,0.0000,2.0342,3.1718,2.2093,5.0682,6.5545,0.0000,0.4114,40
silver,14,0.29,0.11,2.0,B,1.0000,0.0000,0.6537,0.0000,2.0342,3.1718,2.2093,5.0635,6.6290,0.0000,0.4032,40
silver,14,0.41,0.23,0.25,A,1.0000,0.0000,0.4441,0.0000,1.9524,2.8657,2.2059,4.9884,6.2685,0.0000,0.3917,40
silver,14,0.41,0.23,0.25,B,1.0000,0.0000,0.4452,0.0000,1.9524,2.8657,2.2059,4.9427,6.5690,0.0000,0.3965,40
silver,14,0.41,0.23,0.5,A,1.0000,0.0000,0.4745,0.0000,1.9782,2.7989,2.2059,4.9291,6.2685,0.0000,0.3974,40
silver,14,0.41,0.23,0.5,B,1.0000,0.0000,0.4763,0.0000,1.9782,2.8657,2.2059,4.9864,6.5690,0.0000,0.4026,40
silver,14,0.41,0.23,1.0,A,1.0000,0.0000,0.5442,0.0000,2.0699,2.8657,2.2059,4.8531,6.5690,0.0000,0.4227,40
silver,14,0.41,0.23,1.0,B,1.0000,0.0000,0.5506,0.0000,2.0568,2.8657,2.2059,4.9652,6.5690,0.0000,0.4103,40
silver,14,0.41,0.23,2.0,A,1.0000,0.0000,0.6833,0.0000,2.1500,3.2446,2.2059,4.8968,6.2685,0.0000,0.4351,40
silver,14,0.41,0.23,2.0,B,1.0000,0.0000,0.6841,0.0000,2.1065,3.3819,2.2059,4.9842,6.2685,0.0000,0.4337,40
silver,14,0.05,0.47,0.25,A,1.0000,0.0000,0.4566,0.0000,1.7393,2.9830,2.2112,4.8565,6.6293,0.0000,0.3581,40
silver,14,0.05,0.47,0.25,B,1.0000,0.0000,0.4562,0.0000,1.7393,2.9830,2.2112,4.8640,6.3285,0.0000,0.3576,40
silver,14,0.05,0.47,0.5,A,1.0000,0.0000,0.4848,0.0000,1.7393,2.9830,2.2112,4.8595,6.3285,0.0000,0.3579,40
silver,14,0.05,0.47,0.5,B,1.0000,0.0000,0.4837,0.0000,1.7393,2.9830,2.2112,4.8595,6.3285,0.0000,0.3580,40
silver,14,0.05,0.47,1.0,A,1.0000,0.0000,0.5384,0.0000,1.7589,2.9830,2.2112,4.8579,6.3285,0.0000,0.3619,40
silver,14,0.05,0.47,1.0,B,1.0000,0.0000,0.5409,0.0000,1.7393,2.9830,2.2112,4.8592,6.3285,0.0000,0.3580,40
silver,14,0.05,0.47,2.0,A,1.0000,0.0000,0.6588,0.0000,1.9743,3.1718,2.2112,4.8598,6.6293,0.0000,0.4062,40
silver,14,0.05,0.47,2.0,B,1.0000,0.0000,0.6516,0.0000,1.9477,3.2415,2.2112,4.8579,6.3285,0.0000,0.3969,40
silver,14,0.19,0.31,0.25,A,1.0000,0.0000,0.4856,0.0000,1.7844,2.7679,2.2176,4.9037,6.6546,0.0000,0.3606,40
silver,14,0.19,0.31,0.25,B,1.0000,0.0000,0.4845,0.0000,1.7844,2.7679,2.2176,4.8814,6.6546,0.0000,0.3655,40
silver,14,0.19,0.31,0.5,A,1.0000,0.0000,0.5018,0.0000,1.7844,2.7679,2.2176,4.8837,6.6546,0.0000,0.3647,40
silver,14,0.19,0.31,0.5,B,1.0000,0.0000,0.5082,0.0000,1.7844,2.7679,2.2176,4.8809,6.6546,0.0000,0.3657,40
silver,14,0.19,0.31,1.0,A,1.0000,0.0000,0.5534,0.0000,1.8128,2.7925,2.2176,4.8834,6.6546,0.0000,0.3674,40
silver,14,0.19,0.31,1.0,B,1.0000,0.0000,0.5551,0.0000,1.7844,2.7679,2.2176,4.8853,6.9649,0.0000,0.3662,40
silver,14,0.19,0.31,2.0,A,1.0000,0.0000,0.6712,0.0000,1.9931,3.3123,2.2176,4.8843,6.9649,0.0000,0.4075,40
silver,14,0.19,0.31,2.0,B,1.0000,0.0000,0.6713,0.0000,1.9931,3.4293,2.2176,4.8796,6.6546,0.0000,0.4083,40
silver,14,0.37,0.09,0.25,A,1.0000,0.0000,0.4512,0.0000,1.8921,3.0637,2.2134,4.9366,6.3669,0.0000,0.3830,40
silver,14,0.37,0.09,0.25,B,1.0000,0.0000,0.4434,0.0000,1.8898,3.0637,2.2156,4.9292,6.3669,0.0000,0.3839,40
silver,14,0.37,0.09,0.5,A,1.0000,0.0000,0.4746,0.0000,1.8921,3.0637,2.2120,4.9366,6.3669,0.0000,0.3833,40
silver,14,0.37,0.09,0.5,B,1.0000,0.0000,0.4799,0.0000,1.8921,3.1796,2.2177,4.9218,6.3669,0.0000,0.3848,40
silver,14,0.37,0.09,1.0,A,1.0000,0.0000,0.5254,0.0000,1.8921,3.0637,2.2134,4.9725,6.3768,0.0000,0.3819,40
silver,14,0.37,0.09,1.0,B,1.0000,0.0000,0.5301,0.0000,1.8921,3.0637,2.2177,4.9086,6.3669,0.0000,0.3856,40
silver,14,0.37,0.09,2.0,A,1.0000,0.0000,0.6676,0.0000,2.0491,3.5367,2.2198,4.9501,6.3768,0.0000,0.4152,40
silver,14,0.37,0.09,2.0,B,1.0000,0.0000,0.6630,0.0000,2.1148,3.4116,2.2120,4.9308,6.3719,0.0000,0.4182,40
silver,16,0.13,0.37,0.25,A,1.0000,0.0000,0.5661,0.0000,1.6037,3.2003,2.2029,4.9679,6.5475,0.0000,0.3228,40
silver,16,0.13,0.37,0.25,B,1.0000,0.0000,0.5627,0.0000,1.6037,3.2003,2.1834,4.9680,6.5475,0.0000,0.3228,40
silver,16,0.13,0.37,0.5,A,1.0000,0.0000,0.5822,0.0000,1.6037,3.2003,2.1900,4.9681,6.5475,0.0000,0.3228,40
silver,16,0.13,0.37,0.5,B,1.0000,0.0000,0.5801,0.0000,1.6037,3.2003,2.1833,4.9679,6.5475,0.0000,0.3228,40
silver,16,0.13,0.37,1.0,A,1.0000,0.0000,0.6266,0.0000,1.6037,3.2003,2.1964,4.9617,6.5475,0.0000,0.3232,40
silver,16,0.13,0.37,1.0,B,1.0000,0.0000,0.6247,0.0000,1.6037,3.2003,2.2094,4.9679,6.5475,0.0000,0.3228,40
silver,16,0.13,0.37,2.0,A,1.0000,0.0000,0.7295,0.0000,1.7331,3.2003,2.1835,4.9679,6.8207,0.0000,0.3436,40
silver,16,0.13,0.37,2.0,B,1.0000,0.0000,0.7284,0.0000,1.7331,3.2003,2.1835,4.9679,6.5475,0.0000,0.3402,40
silver,16,0.29,0.11,0.25,A,1.0000,0.0000,0.5700,0.0000,1.5656,2.7517,2.2061,4.9962,6.7593,0.0000,0.3142,40
silver,16,0.29,0.11,0.25,B,1.0000,0.0000,0.5693,0.0000,1.5656,2.7517,2.2061,4.9370,6.7593,0.0000,0.3174,40
silver,16,0.29,0.11,0.5,A,1.0000,0.0000,0.5782,0.0000,1.5656,2.7517,2.2061,4.9255,6.7593,0.0000,0.3197,40
silver,16,0.29,0.11,0.5,B,1.0000,0.0000,0.5799,0.0000,1.5656,2.7517,2.2061,4.9576,6.7485,0.0000,0.3177,40
silver,16,0.29,0.11,1.0,A,1.0000,0.0000,0.6198,0.0000,1.5796,2.7517,2.2028,4.9304,6.6637,0.0000,0.3204,40
silver,16,0.29,0.11,1.0,B,1.0000,0.0000,0.6194,0.0000,1.5796,2.7517,2.2061,4.9566,6.6087,0.0000,0.3179,40
silver,16,0.29,0.11,2.0,A,1.0000,0.0000,0.7190,0.0000,1.6656,2.7517,2.2061,5.0318,6.7593,0.0000,0.3335,40
silver,16,0.29,0.11,2.0,B,1.0000,0.0000,0.7212,0.0000,1.6656,2.7517,2.2061,4.9604,6.7376,0.0000,0.3358,40
silver,16,0.41,0.23,0.25,A,1.0000,0.0000,0.5497,0.0000,1.6156,3.3485,2.2085,4.8680,6.5671,0.0000,0.3279,40
silver,16,0.41,0.23,0.25,B,1.0000,0.0000,0.5510,0.0000,1.6156,3.3485,2.2085,4.9641,6.2712,0.0000,0.3246,40
silver,16,0.41,0.23,0.5,A,1.0000,0.0000,0.5734,0.0000,1.6156,3.3485,2.2085,4.9641,6.5671,0.0000,0.3241,40
silver,16,0.41,0.23,0.5,B,1.0000,0.0000,0.5801,0.0000,1.6156,3.3485,2.2085,4.8550,6.5711,0.0000,0.3253,40
silver,16,0.41,0.23,1.0,A,1.0000,0.0000,0.6237,0.0000,1.6156,3.3485,2.2085,4.8637,6.5711,0.0000,0.3306,40
silver,16,0.41,0.23,1.0,B,1.0000,0.0000,0.6175,0.0000,1.6156,3.2899,2.2085,4.8679,6.2712,0.0000,0.3269,40
silver,16,0.41,0.23,2.0,A,1.0000,0.0000,0.7232,0.0000,1.7392,3.2313,2.2085,4.8964,6.2712,0.0000,0.3493,40
silver,16,0.41,0.23,2.0,B,1.0000,0.0000,0.7236,0.0000,1.7392,2.7884,2.2085,4.9241,6.5691,0.0000,0.3494,40
silver,16,0.05,0.47,0.25,A,1.0000,0.0000,0.5788,0.0000,1.6317,3.0919,2.2103,5.0142,6.5850,0.0000,0.3252,40
silver,16,0.05,0.47,0.25,B,1.0000,0.0000,0.5833,0.0000,1.6317,3.0919,2.1912,5.0200,6.5850,0.0000,0.3250,40
silver,16,0.05,0.47,0.5,A,1.0000,0.0000,0.6038,0.0000,1.6317,3.0919,2.1912,5.0195,6.5850,0.0000,0.3249,40
silver,16,0.05,0.47,0.5,B,1.0000,0.0000,0.6050,0.0000,1.6317,3.0919,2.1912,5.0109,6.5850,0.0000,0.3251,40
silver,16,0.05,0.47,1.0,A,1.0000,0.0000,0.6396,0.0000,1.6317,3.0919,2.2103,5.0032,6.5850,0.0000,0.3261,40
silver,16,0.05,0.47,1.0,B,1.0000,0.0000,0.6349,0.0000,1.6317,3.0919,2.2056,5.0142,6.5427,0.0000,0.3254,40
silver,16,0.05,0.47,2.0,A,1.0000,0.0000,0.7417,0.0000,1.7401,3.0919,2.1912,5.0196,6.5850,0.0000,0.3451,40
silver,16,0.05,0.47,2.0,B,1.0000,0.0000,0.7357,0.0000,1.7401,3.1750,2.1912,5.0110,6.5850,0.0000,0.3443,40
silver,16,0.19,0.31,0.25,A,1.0000,0.0000,0.5689,0.0000,1.6406,2.7388,2.1930,4.9493,6.6065,0.0000,0.3309,40
