family,extent,offx,offy,k,law,movable_feasible_frac,groups_fail_frac,distinct_frac,partner_turnover,abs_med,abs_p95,abs_max
silver,14,0.13,0.37,2,U,0.0348,0.8485,0.750,0.2688,0.0000,0.0000,0.0000
silver,14,0.13,0.37,2,DW,0.0348,0.8485,0.833,0.2095,0.0000,0.0000,0.0000
silver,14,0.13,0.37,4,U,0.2788,0.6061,1.000,0.6260,0.0000,2.1286,3.0059
silver,14,0.13,0.37,4,DW,0.2788,0.6061,1.000,0.4491,0.0000,1.7969,3.0059
silver,14,0.13,0.37,6,U,0.5727,0.4242,1.000,0.7121,0.8954,2.2121,5.1499
silver,14,0.13,0.37,6,DW,0.5727,0.4242,1.000,0.4589,0.0000,1.8960,3.3870
silver,14,0.13,0.37,8,U,0.7212,0.3333,1.000,0.8117,1.1368,2.3361,5.2691
silver,14,0.13,0.37,8,DW,0.7212,0.3333,1.000,0.4547,0.0000,1.7969,3.0059
silver,14,0.13,0.37,12,U,0.9561,0.0303,1.000,0.8912,1.3202,2.7417,5.7317
silver,14,0.13,0.37,12,DW,0.9561,0.0303,1.000,0.5371,0.0000,1.8960,3.6017
silver,14,0.13,0.37,16,U,1.0000,0.0000,1.000,0.9011,1.7422,3.1153,5.8696
silver,14,0.13,0.37,16,DW,1.0000,0.0000,1.000,0.5563,0.0000,1.9087,3.7693
silver,14,0.13,0.37,32,U,1.0000,0.0000,1.000,0.9424,2.2121,4.8316,7.5917
silver,14,0.13,0.37,32,DW,1.0000,0.0000,1.000,0.5533,0.0000,1.8960,3.7693
silver,14,0.29,0.11,2,U,0.0263,0.8788,0.583,0.3529,0.0000,0.0000,0.0000
silver,14,0.29,0.11,2,DW,0.0263,0.8788,0.333,0.2086,0.0000,0.0000,0.0000
silver,14,0.29,0.11,4,U,0.1530,0.6970,1.000,0.6235,0.0000,1.8023,2.7505
silver,14,0.29,0.11,4,DW,0.1530,0.6970,1.000,0.5069,0.0000,1.6767,2.7505
silver,14,0.29,0.11,6,U,0.6785,0.3636,1.000,0.7188,1.0901,2.1803,4.2563
silver,14,0.29,0.11,6,DW,0.6785,0.3636,1.000,0.3848,0.0000,1.8023,3.1718
silver,14,0.29,0.11,8,U,0.7620,0.3030,1.000,0.8080,1.1518,2.4261,4.9317
silver,14,0.29,0.11,8,DW,0.7620,0.3030,1.000,0.4330,0.0000,1.8023,3.6046
silver,14,0.29,0.11,12,U,1.0000,0.0000,1.000,0.8915,1.4415,2.7379,5.2089
silver,14,0.29,0.11,12,DW,1.0000,0.0000,1.000,0.5315,0.0000,1.8023,3.6046
silver,14,0.29,0.11,16,U,1.0000,0.0000,1.000,0.9007,1.8023,2.9703,5.5737
silver,14,0.29,0.11,16,DW,1.0000,0.0000,1.000,0.5235,0.0000,1.8554,3.6046
silver,14,0.29,0.11,32,U,1.0000,0.0000,1.000,0.9410,2.2093,4.9435,7.3530
silver,14,0.29,0.11,32,DW,1.0000,0.0000,1.000,0.5164,0.0000,1.8023,3.6046
silver,14,0.41,0.23,2,U,0.0232,0.9091,0.583,0.2909,0.0000,0.0000,0.0000
silver,14,0.41,0.23,2,DW,0.0232,0.9091,0.417,0.2909,0.0000,0.0000,0.0000
silver,14,0.41,0.23,4,U,0.1130,0.7273,1.000,0.7073,0.0000,1.6200,2.1912
silver,14,0.41,0.23,4,DW,0.1130,0.7273,1.000,0.4770,0.0000,1.1351,1.7329
silver,14,0.41,0.23,6,U,0.4768,0.4848,1.000,0.7299,0.8785,2.0917,4.5226
silver,14,0.41,0.23,6,DW,0.4768,0.4848,1.000,0.4410,0.0000,1.7569,2.7250
silver,14,0.41,0.23,8,U,0.7183,0.3333,1.000,0.7876,1.1351,2.3722,5.1946
silver,14,0.41,0.23,8,DW,0.7183,0.3333,1.000,0.4538,0.0000,2.0830,2.7255
silver,14,0.41,0.23,12,U,1.0000,0.0000,1.000,0.8852,1.4354,2.6933,5.5535
silver,14,0.41,0.23,12,DW,1.0000,0.0000,1.000,0.5353,0.0000,2.0830,3.2401
silver,14,0.41,0.23,16,U,1.0000,0.0000,1.000,0.9111,1.7473,2.9627,5.5535
silver,14,0.41,0.23,16,DW,1.0000,0.0000,1.000,0.5505,0.0000,2.0830,3.2401
silver,14,0.41,0.23,32,U,1.0000,0.0000,1.000,0.9448,2.2059,4.9718,6.9901
silver,14,0.41,0.23,32,DW,1.0000,0.0000,1.000,0.5543,0.0000,2.0830,3.2446
silver,14,0.05,0.47,2,U,0.0324,0.8529,0.667,0.3247,0.0000,0.0000,0.0000
silver,14,0.05,0.47,2,DW,0.0324,0.8529,0.667,0.4199,0.0000,0.0000,0.0000
silver,14,0.05,0.47,4,U,0.2006,0.6765,1.000,0.5587,0.0000,1.8923,2.4235
silver,14,0.05,0.47,4,DW,0.2006,0.6765,1.000,0.4385,0.0000,1.3162,2.4235
silver,14,0.05,0.47,6,U,0.4645,0.5000,1.000,0.7400,1.1027,2.1634,4.2275
silver,14,0.05,0.47,6,DW,0.4645,0.5000,1.000,0.4129,0.0000,1.6560,2.4235
silver,14,0.05,0.47,8,U,0.5910,0.4118,1.000,0.8244,1.1370,2.4015,5.1186
silver,14,0.05,0.47,8,DW,0.5910,0.4118,1.000,0.4477,0.0000,1.6560,2.9830
silver,14,0.05,0.47,12,U,0.9568,0.0588,1.000,0.8811,1.3162,2.7581,5.2314
silver,14,0.05,0.47,12,DW,0.9568,0.0588,1.000,0.5170,0.0000,1.7393,3.1718
silver,14,0.05,0.47,16,U,1.0000,0.0000,1.000,0.9015,1.6560,3.0518,5.5915
silver,14,0.05,0.47,16,DW,1.0000,0.0000,1.000,0.5349,0.0000,1.7695,3.1718
silver,14,0.05,0.47,32,U,1.0000,0.0000,1.000,0.9311,2.2112,4.7403,7.0033
silver,14,0.05,0.47,32,DW,1.0000,0.0000,1.000,0.5340,0.0000,1.7393,3.3119
silver,14,0.19,0.31,2,U,0.0419,0.8056,0.583,0.2662,0.0000,0.0000,0.0000
silver,14,0.19,0.31,2,DW,0.0419,0.8056,0.667,0.1916,0.0000,0.0000,0.0000
silver,14,0.19,0.31,4,U,0.1405,0.6389,1.000,0.6035,0.0000,1.8792,3.7462
silver,14,0.19,0.31,4,DW,0.1405,0.6389,1.000,0.4391,0.0000,1.7844,3.7462
silver,14,0.19,0.31,6,U,0.5456,0.4167,1.000,0.7465,0.8880,2.1171,4.2599
silver,14,0.19,0.31,6,DW,0.5456,0.4167,1.000,0.4408,0.0000,1.7844,3.7462
silver,14,0.19,0.31,8,U,0.7145,0.3056,1.000,0.7942,1.1088,2.2951,4.7413
silver,14,0.19,0.31,8,DW,0.7145,0.3056,1.000,0.4660,0.0000,1.8792,2.7679
silver,14,0.19,0.31,12,U,0.8999,0.0833,1.000,0.8733,1.3282,2.6689,6.3093
silver,14,0.19,0.31,12,DW,0.8999,0.0833,1.000,0.5409,0.0000,1.8792,3.3313
silver,14,0.19,0.31,16,U,1.0000,0.0000,1.000,0.8822,1.6562,2.9068,6.3093
silver,14,0.19,0.31,16,DW,1.0000,0.0000,1.000,0.5527,0.0000,1.7844,3.7462
silver,14,0.19,0.31,32,U,1.0000,0.0000,1.000,0.9327,2.1230,4.6767,7.7000
silver,14,0.19,0.31,32,DW,1.0000,0.0000,1.000,0.5535,0.0000,1.7844,3.7751
silver,14,0.37,0.09,2,U,0.0488,0.7500,0.833,0.3494,0.0000,0.0000,0.0000
silver,14,0.37,0.09,2,DW,0.0488,0.7500,0.917,0.2727,0.0000,0.0000,0.0000
silver,14,0.37,0.09,4,U,0.2165,0.6111,1.000,0.5967,0.0000,1.8891,2.4261
silver,14,0.37,0.09,4,DW,0.2165,0.6111,1.000,0.4257,0.0000,1.8007,2.0278
silver,14,0.37,0.09,6,U,0.5625,0.4167,1.000,0.7317,0.8839,2.1385,3.8971
silver,14,0.37,0.09,6,DW,0.5625,0.4167,1.000,0.4038,0.0000,1.8007,3.4116
silver,14,0.37,0.09,8,U,0.5991,0.3889,1.000,0.7932,1.1459,2.4261,5.2582
silver,14,0.37,0.09,8,DW,0.5991,0.3889,1.000,0.4152,0.0000,1.8007,3.1381
silver,14,0.37,0.09,12,U,1.0000,0.0000,1.000,0.8618,1.1459,2.6678,5.1643
silver,14,0.37,0.09,12,DW,1.0000,0.0000,1.000,0.5279,0.0000,1.8921,3.4116
silver,14,0.37,0.09,16,U,1.0000,0.0000,1.000,0.8962,1.6730,3.0318,5.6250
silver,14,0.37,0.09,16,DW,1.0000,0.0000,1.000,0.5474,0.0000,1.8921,3.3964
silver,14,0.37,0.09,32,U,1.0000,0.0000,1.000,0.9333,2.2094,4.7714,7.0045
silver,14,0.37,0.09,32,DW,1.0000,0.0000,1.000,0.5238,0.0000,1.8921,3.5989
silver,16,0.13,0.37,2,U,0.0296,0.8108,0.667,0.2149,0.0000,0.0000,0.0000
silver,16,0.13,0.37,2,DW,0.0296,0.8108,0.750,0.2452,0.0000,0.0000,0.0000
silver,16,0.13,0.37,4,U,0.2249,0.6486,1.000,0.5958,0.0000,1.3143,1.8253
silver,16,0.13,0.37,4,DW,0.2249,0.6486,1.000,0.4364,0.0000,1.1375,1.8253
silver,16,0.13,0.37,6,U,0.4409,0.4865,1.000,0.7321,0.6572,1.7331,2.7091
silver,16,0.13,0.37,6,DW,0.4409,0.4865,1.000,0.5113,0.0000,1.4332,2.3690
silver,16,0.13,0.37,8,U,0.6084,0.3784,1.000,0.7966,0.6572,1.9661,3.6507
silver,16,0.13,0.37,8,DW,0.6084,0.3784,1.000,0.5551,0.0000,1.6037,3.3532
silver,16,0.13,0.37,12,U,0.8073,0.2432,1.000,0.8632,0.8718,2.1835,5.4049
silver,16,0.13,0.37,12,DW,0.8073,0.2432,1.000,0.5734,0.0000,1.6037,3.5386
silver,16,0.13,0.37,16,U,0.8530,0.2162,1.000,0.9051,1.1375,2.4854,5.1892
silver,16,0.13,0.37,16,DW,0.8530,0.2162,1.000,0.5610,0.0000,1.6037,3.5386
silver,16,0.13,0.37,32,U,1.0000,0.0000,1.000,0.9500,1.7331,3.1544,6.1984
silver,16,0.13,0.37,32,DW,1.0000,0.0000,1.000,0.6189,0.0000,1.6037,3.5386
silver,16,0.29,0.11,2,U,0.0090,0.8919,0.167,0.3818,0.0000,0.0000,0.0000
silver,16,0.29,0.11,2,DW,0.0090,0.8919,0.167,0.3818,0.0000,0.0000,0.0000
silver,16,0.29,0.11,4,U,0.1443,0.6486,1.000,0.5968,0.0000,1.6656,2.4296
silver,16,0.29,0.11,4,DW,0.1443,0.6486,1.000,0.5167,0.0000,1.6656,1.8859
silver,16,0.29,0.11,6,U,0.4014,0.5135,1.000,0.7177,0.6459,1.7218,3.3316
silver,16,0.29,0.11,6,DW,0.4014,0.5135,1.000,0.5097,0.0000,1.5656,2.7517
silver,16,0.29,0.11,8,U,0.6577,0.3514,1.000,0.7888,0.6459,1.9934,3.3316
silver,16,0.29,0.11,8,DW,0.6577,0.3514,1.000,0.5509,0.0000,1.6656,2.7517
silver,16,0.29,0.11,12,U,0.7634,0.2703,1.000,0.8685,0.8844,2.1903,4.7114
silver,16,0.29,0.11,12,DW,0.7634,0.2703,1.000,0.5495,0.0000,1.6656,2.7517
silver,16,0.29,0.11,16,U,0.7634,0.2703,1.000,0.8914,1.2918,2.3956,4.6554
silver,16,0.29,0.11,16,DW,0.7634,0.2703,1.000,0.5642,0.0000,1.6656,2.7517
silver,16,0.29,0.11,32,U,1.0000,0.0000,1.000,0.9471,1.7865,3.1077,5.9591
silver,16,0.29,0.11,32,DW,1.0000,0.0000,1.000,0.6281,0.0000,1.5796,3.3312
silver,16,0.41,0.23,2,U,0.0332,0.8108,0.833,0.3292,0.0000,0.0000,0.0000
silver,16,0.41,0.23,2,DW,0.0332,0.8108,0.917,0.3170,0.0000,0.0000,0.0000
silver,16,0.41,0.23,4,U,0.0565,0.7297,1.000,0.6436,0.0000,0.0000,0.0000
silver,16,0.41,0.23,4,DW,0.0565,0.7297,1.000,0.5642,0.0000,0.0000,0.0000
silver,16,0.41,0.23,6,U,0.3934,0.5135,1.000,0.7264,0.0000,1.6156,2.7215
