family,extent,offx,offy,r16,n_singleton,singleton_frac,n_groups_ge2
silver,14,0.13,0.37,668,8,0.01198,33
silver,14,0.29,0.11,655,8,0.01221,33
silver,14,0.41,0.23,653,7,0.01072,33
silver,14,0.05,0.47,653,5,0.00766,34
silver,14,0.19,0.31,671,2,0.00298,36
silver,14,0.37,0.09,658,2,0.00304,36
silver,16,0.13,0.37,1120,4,0.00357,37
silver,16,0.29,0.11,1120,4,0.00357,37
silver,16,0.41,0.23,1120,4,0.00357,37
silver,16,0.05,0.47,1102,4,0.00363,37
silver,16,0.19,0.31,1120,4,0.00357,37
silver,16,0.37,0.09,1120,4,0.00357,37
silver,18,0.13,0.37,1698,3,0.00177,38
silver,18,0.29,0.11,1718,0,0.00000,41
silver,18,0.41,0.23,1698,2,0.00118,39
silver,18,0.05,0.47,1723,3,0.00174,38
silver,18,0.19,0.31,1723,2,0.00116,39
silver,18,0.37,0.09,1723,1,0.00058,40
golden,18,0.13,0.37,581,18,0.03098,82
golden,18,0.29,0.11,597,24,0.04020,81
golden,18,0.41,0.23,600,14,0.02333,81
golden,18,0.05,0.47,590,15,0.02542,85
golden,18,0.19,0.31,585,18,0.03077,81
golden,18,0.37,0.09,596,25,0.04195,79
golden,20,0.13,0.37,1025,19,0.01854,90
golden,20,0.29,0.11,1013,16,0.01579,93
golden,20,0.41,0.23,1012,11,0.01087,93
golden,20,0.05,0.47,1020,13,0.01275,95
golden,20,0.19,0.31,1024,10,0.00977,93
golden,20,0.37,0.09,1027,18,0.01753,90
golden,22,0.13,0.37,1535,18,0.01173,98
golden,22,0.29,0.11,1545,9,0.00583,104
golden,22,0.41,0.23,1559,14,0.00898,97
golden,22,0.05,0.47,1537,12,0.00781,101
golden,22,0.19,0.31,1547,15,0.00970,96
golden,22,0.37,0.09,1539,9,0.00585,103
platinum,16,0.13,0.37,726,65,0.08953,126
platinum,16,0.29,0.11,727,67,0.09216,123
platinum,16,0.41,0.23,730,66,0.09041,125
platinum,16,0.05,0.47,728,66,0.09066,124
platinum,16,0.19,0.31,725,70,0.09655,122
platinum,16,0.37,0.09,735,72,0.09796,126
platinum,18,0.13,0.37,1170,60,0.05128,150
platinum,18,0.29,0.11,1168,61,0.05223,148
platinum,18,0.41,0.23,1171,68,0.05807,146
platinum,18,0.05,0.47,1165,61,0.05236,151
platinum,18,0.19,0.31,1167,65,0.05570,147
platinum,18,0.37,0.09,1170,73,0.06239,148
platinum,20,0.13,0.37,1719,51,0.02967,178
platinum,20,0.29,0.11,1719,58,0.03374,169
platinum,20,0.41,0.23,1704,61,0.03580,179
platinum,20,0.05,0.47,1716,58,0.03380,167
platinum,20,0.19,0.31,1704,71,0.04167,170
platinum,20,0.37,0.09,1718,65,0.03783,173
