substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
AB_N30,0,1.0,real,24,0.6159196883428671,0.0,1.2318393766934335,0.6159196883313186,0.30795984417335837,0.30795984417335837,0.6159196883467167,0.6159196883467167,0.5685412507744778,0.6719123872873273,13,11,0.3701304538597951,0.08172396061006872,-0.003163508152647821,0.09490524457943464,0.9413649652781927,0.27738305922581347,304.5609276695404
AB_N30,0,2.0,real,123,0.9541750537351089,0.76536686473746,1.2193537568051362,0.852950495695151,0.8243997655640222,0.8789897327147803,1.027125254909753,1.0000364964270907,0.9268267707368971,0.991515978598052,71,52,0.18541435432058562,-0.133944634677632,-0.04401853743099001,-0.14613198296250754,0.9354029788532823,0.378904133614073,303.09589692158073
AB_N30,0,3.0,real,205,1.0846698106619885,1.08239220030269,1.3048280460266792,1.0270752411081598,0.9468789412544372,1.1681735716654134,1.1720149034943221,1.1145663425470622,0.9844893301253181,1.1838776651740313,102,103,0.14158265423082464,-0.2161869307368092,0.004388410672940268,-0.22168469758028403,0.9355017546566127,0.388109104156792,303.6678647909644
AB_N30,1,1.0,real,22,0.8398904841074196,0.0,0.923879532513697,0.923879532520075,0.30795984417335837,0.6159196883403387,0.6159196883467167,0.923879532520075,0.5279311614400429,1.385819298775329,14,8,-0.13954927336723758,-0.10434765486018667,-0.23195352194824626,-0.11251945915646636,0.9374352947605619,0.41864426241715263,302.01480911704226
AB_N30,1,2.0,real,116,1.0559142177306042,0.7653668647757284,1.019123820043531,0.9995288056130466,0.8646729668156291,1.2931352673827397,1.0709578240788857,1.0816007226989024,0.9239002020308799,1.1791272990503465,56,60,-0.049596587726974166,-0.34089737304571127,-0.038077611058685686,-0.3384594057462427,0.9317533258540652,0.39386673677445133,302.3463604684926
AB_N30,1,3.0,real,174,1.1170800960942844,1.08239220030269,1.108442320910955,1.09331115259876,0.9316903115108023,1.3201258376731415,1.1125748888202545,1.150633829479162,1.026147660538093,1.2039256806142422,85,89,-0.013670540559147038,-0.34304500382740727,-0.053502684875888606,-0.3390748602400371,0.9329245637357139,0.3844364940279313,302.5183775535816
AB_N30,2,1.0,real,20,1.016267485764429,1.8477590650018816,0.7391036260084064,1.1086554390164363,0.0,1.4782072520168126,0.7391036260084064,0.7391036260160601,0.33595619364366364,1.8477590650231421,11,9,-0.28311092824248163,-0.409143613222303,0.021023189612213194,-0.3622457287027505,0.9352075500831087,0.37659698413110626,303.4050081057321
AB_N30,2,2.0,real,126,1.0483682284421947,0.76536686473746,0.9584159383487516,1.1617348794589468,0.726884129322561,1.344831237383497,0.9902700614885815,0.9640278267004041,0.9116568003773017,1.2086505923803441,68,58,-0.09811680210715266,-0.3066403875731558,0.045308693911112655,-0.2908782812217836,0.933697742955367,0.38984006287927253,303.17296510107565
AB_N30,2,3.0,real,191,1.1013430993022484,1.08239220030269,1.0230414321099006,1.161317093940495,0.8526080152414061,1.3168543261709724,1.129237808795379,1.0632467079132981,0.996943780160245,1.2209917571953313,102,89,-0.07354038643633806,-0.32061541161303664,0.05092649681067994,-0.31148765864669403,0.933765266067276,0.3748227802387247,303.00284206547883
AB_N30,3,1.0,real,12,1.0778594545990554,1.847759064993956,0.6159196883467167,1.847759065009354,0.6159196883467167,1.84775906504015,1.2318393766626374,0.6159196883467167,0.5279311614268446,1.8477590650401503,7,5,-0.4976492582533909,-0.384547154104893,0.1357225249781975,-0.4297879957642921,0.9340882844372564,0.38230426311324833,302.07936056855823
AB_N30,3,2.0,real,122,1.0781294069478298,0.7653668647757284,1.173329336544764,1.1151783548064158,0.9081219200905789,1.3253263351726274,1.222707843943462,0.9721607579533132,0.8862184397571516,1.2356682606118194,55,67,0.10213016299187357,-0.298044692959884,0.12058099919038799,-0.3027637141419404,0.9344169908360619,0.38879840499296464,302.8761187786958
AB_N30,3,3.0,real,182,1.129573953359762,1.08239220030269,1.2326925752301903,1.1474580987925074,0.9646275326222802,1.3323720978919278,1.174013778676312,1.0839793484151132,0.9560220173293422,1.256845373115403,77,105,0.08927563174442912,-0.25526437717510364,0.04371017751993788,-0.2575209170628442,0.9342622472061708,0.394379162168529,302.3496526982112
AB_N30,4,1.0,real,26,1.0660148451953704,1.847759064947762,0.791896742146866,1.319827903570508,0.0,1.5837934842773314,1.0558623228746187,0.7918967421413992,0.692909649376116,1.662983158506177,16,10,-0.1433134739451372,-0.5121930171573073,0.22233343451639076,-0.48633193915216977,0.9385226396194817,0.3450775087580285,304.32153420135955
AB_N30,4,2.0,real,126,1.0097872381140007,0.76536686473746,0.8861008688731229,1.0516537874750047,0.8319076810472065,1.2167443302502863,0.9995232050515986,0.9341982127847176,0.8877909878940586,1.1574669094328778,69,57,-0.14822245954891902,-0.3473456204505098,0.10957070123948524,-0.3315927523327911,0.9370782377717451,0.42522164487954106,304.0661251525428
AB_N30,4,3.0,real,181,1.066174776377587,1.0823922002644217,1.0076968580362562,1.0610089565898186,0.9012502448259064,1.3045325000309778,0.9946437360106045,1.0120701713817812,0.9521981906687081,1.192079144311814,95,86,-0.053987681315977455,-0.28911362747290353,0.0768031426199544,-0.28102460892807923,0.9370991880834353,0.4342101089591353,303.9204398120488
