depth_bin,n,mean_depth,mean_radial,mean_tangential,mean_abs_tangential,frac_outward,mean_drift_mag,substrate
"(-0.000956, 0.02]",16,0.011644774946365087,-0.7328404195485486,0.054820644701331474,0.23497494754608245,0.0,0.7763397844326562,AB_N30
"(0.02, 0.0399]",39,0.032465924610294856,-0.7396059888828231,-0.005102651334285742,0.22133873027576378,0.0,0.7775533771510756,AB_N30
"(0.0399, 0.0599]",101,0.05061035413504828,-0.7530016675636282,-0.0005358832514433119,0.21815095379683033,0.0,0.7882426057209153,AB_N30
"(0.0599, 0.0798]",206,0.07067881755751815,-0.7702054045768859,-0.0027045076836912014,0.15605027866249185,0.0,0.7915038022275013,AB_N30
"(0.0798, 0.0998]",252,0.08991593756340499,-0.7640820575964679,0.0005295983764615566,0.13809673032415246,0.0,0.7825002122457521,AB_N30
"(0.0998, 0.12]",248,0.10981728597166583,-0.7651164507715138,-0.0025277939512637266,0.14575798063183698,0.0,0.7845843853100729,AB_N30
"(0.12, 0.14]",346,0.13028135930721577,-0.763680882472889,-0.004651337395559223,0.14134214329372685,0.0,0.7828510952083126,AB_N30
"(0.14, 0.16]",400,0.15009118519173198,-0.7611275139808988,0.00034721632346424884,0.13396624836674362,0.0,0.7789902709371553,AB_N30
"(0.16, 0.18]",397,0.16987559110744554,-0.7591767638423672,-0.0008042149294046118,0.12707453100675933,0.0,0.7757436872527212,AB_N30
"(0.18, 0.199]",409,0.1897890289672884,-0.7516044864800878,0.0012359264653354412,0.13567383928149163,0.0,0.7699288102638012,AB_N30
"(0.199, 0.219]",428,0.20943349516033266,-0.7537278482774663,-0.00010177167780469963,0.13288329165625135,0.0,0.771474071556875,AB_N30
"(0.219, 0.239]",504,0.2297511061961069,-0.7477081394318277,-0.0029083652165176406,0.14006420271133319,0.0,0.766873761202859,AB_N30
"(0.239, 0.259]",573,0.24906079958856972,-0.747074733395127,0.003397115421113484,0.12920296912368526,0.0,0.7642966239865806,AB_N30
"(0.259, 0.279]",574,0.2693269289001386,-0.7427729922965294,0.001575544045478479,0.13183916232591333,0.0,0.7600890013220253,AB_N30
"(0.279, 0.299]",618,0.2892768505558932,-0.7422775624404838,0.00022544093928879159,0.13397213555589504,0.0,0.7597845444062222,AB_N30
"(0.299, 0.319]",643,0.30909197840206637,-0.7410814857062776,0.0024256392954367803,0.1233462071278585,0.0,0.7562152840355534,AB_N30
"(0.319, 0.339]",644,0.32877365070809733,-0.7326504937300761,-0.00267814476523019,0.12342657851005025,0.0,0.7478241243917978,AB_N30
"(0.339, 0.359]",653,0.3491637908762342,-0.7286899283319997,0.0027503643924496226,0.12630428152542286,0.0,0.7446160854261014,AB_N30
"(0.359, 0.379]",611,0.3689946330421611,-0.719949590448203,0.002898530692197172,0.12170152808477684,0.0,0.7345870305782594,AB_N30
"(0.379, 0.399]",594,0.3890154188939682,-0.7135357397261506,-0.0032851446133834905,0.12756725833731275,0.0,0.7294108187123003,AB_N30
"(0.399, 0.419]",554,0.40858550484689904,-0.6937840004948376,0.00016995577619286458,0.12913149503593918,0.0,0.7111367235982604,AB_N30
"(0.419, 0.439]",555,0.4291073777264896,-0.6918503832890971,-0.0015661925697627763,0.12199688455675288,0.0,0.7075860091710863,AB_N30
"(0.439, 0.459]",546,0.44888973991086967,-0.6766543234072182,0.0006189641044487117,0.12093664820253301,0.0,0.6929109100832171,AB_N30
"(0.459, 0.479]",511,0.46883841803417725,-0.6658476066725927,0.0017425388144318864,0.12081788037472863,0.0,0.6826529614215516,AB_N30
"(0.479, 0.499]",491,0.4884894759633864,-0.6478408465733742,-0.000793381117505258,0.12360998259641036,0.0,0.665535382112227,AB_N30
"(0.499, 0.519]",478,0.5085659558856005,-0.6329668442795309,0.003643186153898082,0.11710052594931948,0.0,0.6489435629602466,AB_N30
"(0.519, 0.539]",439,0.5281876975328165,-0.6071096531919865,-0.0022316348040690797,0.1218949820881016,0.0,0.6255674026667156,AB_N30
"(0.539, 0.558]",454,0.5484774507760494,-0.5889241571975392,-0.00010758530960309427,0.12662032863550027,0.0,0.6098995982657608,AB_N30
"(0.558, 0.578]",418,0.5681819644584576,-0.5736901869775701,-0.0018646082125075884,0.1260772669357325,0.0,0.5946391284839672,AB_N30
"(0.578, 0.598]",390,0.5883090521027448,-0.5601201766758972,-0.0024815623938342743,0.12508556796325077,0.0,0.5807387769477058,AB_N30
"(0.598, 0.618]",377,0.6077558742498983,-0.5283162070818693,0.004213444634556872,0.11950502454043896,0.0,0.5485223730635851,AB_N30
