subset,audit_mode,feature_set,replicates,auc_mean,auc_sd,ap_mean,ap_sd,fresh_positive_count_mean,fresh_positive_count_sd,fresh_label_jaccard_vs_native_mean,fresh_native_core_retention_mean,edge_jaccard_mean,accepted_swaps_mean
all_22663,fresh_reconstruction,address_all,10,0.5422290000000001,0.018076972995130215,0.0112021,0.00135108848710956,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
all_22663,fresh_reconstruction,address_perp_basic,10,0.562723,0.017493429058427126,0.012037599999999999,0.00156375319166563,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
all_22663,fresh_reconstruction,hybrid_all,10,0.8876035999999999,0.004064510772801805,0.0480225,0.007155304159231186,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
all_22663,fresh_reconstruction,weave,10,0.8896138,0.003206397417663664,0.0479589,0.006353165570537782,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
all_22663,identity_persistence,address_all,1,0.873576,0.0,0.54018,0.0,,,,,,
all_22663,identity_persistence,address_perp_basic,1,0.843185,0.0,0.374698,0.0,,,,,,
all_22663,identity_persistence,hybrid_all,10,0.8885661,0.0009066833883261873,0.45650700000000005,0.0012308410855093258,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
all_22663,identity_persistence,weave,10,0.7402198,0.0017494434543591155,0.6312496999999999,0.0017409217896786284,222.0,27.764885897278393,0.0030779,0.0035052,0.0001124,220547.6
interior_75pct,fresh_reconstruction,address_all,10,0.5417804,0.022889935727301643,0.012108,0.0015660825152093503,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_75pct,fresh_reconstruction,address_perp_basic,10,0.5540958,0.026132938741918972,0.0125947,0.001645146805337174,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_75pct,fresh_reconstruction,hybrid_all,10,0.889928,0.004761372817907797,0.0544231,0.006747814287275217,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_75pct,fresh_reconstruction,weave,10,0.8922784,0.002581917383995437,0.0536514,0.006943749070606995,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_75pct,identity_persistence,address_all,1,0.985582,0.0,0.817528,0.0,,,,,,
interior_75pct,identity_persistence,address_perp_basic,1,0.978996,0.0,0.600436,0.0,,,,,,
interior_75pct,identity_persistence,hybrid_all,10,0.9893563000000001,0.0010811338749458683,0.9643504,0.0009126573167283493,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_75pct,identity_persistence,weave,10,0.9914259,0.0006806110734724675,0.9645013,0.001048626832258927,181.5,27.358728040608906,0.0042786,0.0053191,0.0001124,220547.6
interior_50pct,fresh_reconstruction,address_all,10,0.5408609,0.03234062780415167,0.013043099999999998,0.0011962473220682903,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
interior_50pct,fresh_reconstruction,address_perp_basic,10,0.5418743,0.031943139472262974,0.0125585,0.0010719205246244297,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
interior_50pct,fresh_reconstruction,hybrid_all,10,0.8886232,0.008002387696459369,0.055825,0.006352063426775409,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
interior_50pct,fresh_reconstruction,weave,10,0.892059,0.004409965658722401,0.054956099999999994,0.006952308976160367,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
interior_50pct,identity_persistence,address_all,1,0.997829,0.0,0.888032,0.0,,,,,,
interior_50pct,identity_persistence,address_perp_basic,1,0.990582,0.0,0.66608,0.0,,,,,,
interior_50pct,identity_persistence,hybrid_all,10,1.0,0.0,1.0,0.0,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
interior_50pct,identity_persistence,weave,10,1.0,0.0,1.0,0.0,124.4,16.73452850977417,0.0057701,0.0072963,0.0001124,220547.6
