subset,replicate,audit_mode,feature_set,n,positives,auc,ap,fresh_positive_count,fresh_label_jaccard_vs_native,fresh_native_core_retention,edge_jaccard,accepted_swaps
full_28719,-1,identity_persistence,address,28719,821,0.661638,0.053426,,,,,
full_28719,0,identity_persistence,weave,28719,821,0.589175,0.059651,138,0.001044,0.001218,0.000064,273397
full_28719,0,identity_persistence,hybrid,28719,821,0.657555,0.054395,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,address,28719,138,0.468354,0.005003,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,weave,28719,138,0.913226,0.030263,138,0.001044,0.001218,0.000064,273397
full_28719,0,fresh_reconstruction,hybrid,28719,138,0.901391,0.030120,138,0.001044,0.001218,0.000064,273397
full_28719,1,identity_persistence,weave,28719,821,0.586187,0.058257,156,0.001025,0.001218,0.000101,273401
full_28719,1,identity_persistence,hybrid,28719,821,0.659875,0.054746,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,address,28719,156,0.519256,0.005693,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,weave,28719,156,0.900829,0.029772,156,0.001025,0.001218,0.000101,273401
full_28719,1,fresh_reconstruction,hybrid,28719,156,0.910517,0.038889,156,0.001025,0.001218,0.000101,273401
full_28719,2,identity_persistence,weave,28719,821,0.599955,0.060807,178,0.002006,0.002436,0.000082,273392
full_28719,2,identity_persistence,hybrid,28719,821,0.662816,0.055363,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,address,28719,178,0.476962,0.005819,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,weave,28719,178,0.913225,0.038465,178,0.002006,0.002436,0.000082,273392
full_28719,2,fresh_reconstruction,hybrid,28719,178,0.913753,0.039930,178,0.002006,0.002436,0.000082,273392
full_28719,3,identity_persistence,weave,28719,821,0.586802,0.061187,214,0.002907,0.003654,0.000174,273387
full_28719,3,identity_persistence,hybrid,28719,821,0.659520,0.054208,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,address,28719,214,0.548919,0.008954,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,weave,28719,214,0.906143,0.039873,214,0.002907,0.003654,0.000174,273387
full_28719,3,fresh_reconstruction,hybrid,28719,214,0.907377,0.041082,214,0.002907,0.003654,0.000174,273387
full_28719,4,identity_persistence,weave,28719,821,0.584799,0.055889,173,0.008114,0.009744,0.000073,273382
full_28719,4,identity_persistence,hybrid,28719,821,0.655839,0.054358,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,address,28719,173,0.537536,0.006680,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,weave,28719,173,0.907606,0.035055,173,0.008114,0.009744,0.000073,273382
full_28719,4,fresh_reconstruction,hybrid,28719,173,0.910592,0.037653,173,0.008114,0.009744,0.000073,273382
full_28719,5,identity_persistence,weave,28719,821,0.590306,0.060235,173,0.001007,0.001218,0.000046,273404
full_28719,5,identity_persistence,hybrid,28719,821,0.659753,0.054314,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,address,28719,173,0.525897,0.006591,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,weave,28719,173,0.914678,0.037364,173,0.001007,0.001218,0.000046,273404
full_28719,5,fresh_reconstruction,hybrid,28719,173,0.920408,0.040990,173,0.001007,0.001218,0.000046,273404
full_28719,6,identity_persistence,weave,28719,821,0.585080,0.057758,163,0.004082,0.004872,0.000073,273398
