linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
38,4,250,0.42925723368575097,0.4827225724884955,0.05346533880274451,1.847759064947762,0.6475061361426407,AB_N30,0,2.0
70,5,100,0.3563191728744437,0.41979558236150494,0.06347640948706124,0.76536686473746,2.1120830373213915,AB_N30,0,2.0
23,7,783,0.26314768706927916,0.2998901494289925,0.036742462359713346,1.4142135623730951,0.8314698640418307,AB_N30,0,2.0
29,1,142,0.3169755378887372,0.38233851143050523,0.06536297354176801,0.76536686473746,1.0982079768925375,AB_N30,0,2.0
26,3,792,0.2865534561403992,0.32210855095220225,0.03555509481180308,0.76536686473746,2.415259356376103,AB_N30,0,2.0
15,4,772,0.294096641089727,0.3199066042440569,0.02580996315432993,1.4142135624,0.7279220613703924,AB_N30,0,2.0
38,3,821,0.49802304873168357,0.5154707271127321,0.017447678381048548,0.76536686473746,0.8801154785103381,AB_N30,0,2.0
16,1,210,0.23144908922095486,0.2998901494289925,0.06844106020803764,1.4142135624,1.455248778026662,AB_N30,0,2.0
45,3,907,0.5567505036046094,0.5643521852695933,0.0076016816649838725,1.4142135624,1.707846269245294,AB_N30,0,2.0
53,3,400,0.44839221158978815,0.49594187500427667,0.04754966341448852,1.4142135623730951,2.1558338371763437,AB_N30,0,2.0
48,2,846,0.42540084711445825,0.49931473069512,0.07391388358066175,1.84775906504015,1.8747582845999373,AB_N30,0,2.0
51,2,443,0.6073995554791298,0.6258697476338431,0.01847019215471324,0.0,1.765714871097586,AB_N30,0,2.0
80,4,968,0.665403679080422,0.6829724461052445,0.017568767024822574,0.76536686473746,1.8747582845835908,AB_N30,0,2.0
53,3,627,0.3583020407695081,0.40974725215152763,0.05144521138201952,0.76536686473746,1.7320508075798613,AB_N30,0,2.0
25,1,592,0.3023185346899141,0.3478135902777585,0.04549505558784439,0.0,2.0,AB_N30,0,2.0
3,1,23,0.16493894205080406,0.19367739899406033,0.028738456943256274,0.765366864645072,1.919971744795951,AB_N30,0,2.0
77,4,777,0.635813849100637,0.666035223692504,0.030221374591867023,0.0,1.4653280375698314,AB_N30,0,2.0
10,3,578,0.28043596222597467,0.30135827400108883,0.020922311775114166,0.0,2.0419306633709575,AB_N30,0,2.0
38,4,944,0.45275877058275904,0.49574200657050804,0.042983235987749,0.76536686473746,0.8870155378247014,AB_N30,0,2.0
19,3,549,0.18187503565854202,0.21861749801825536,0.036742462359713346,0.765366864645072,0.6103957749646056,AB_N30,0,2.0
58,4,326,0.5687168505885548,0.6013691907737928,0.032652340185237994,0.0,1.7740310756494029,AB_N30,0,2.0
37,6,904,0.4234099914106655,0.42665941319749856,0.0032494217868330733,0.76536686473746,1.0982079770550277,AB_N30,0,2.0
81,9,359,0.6257201414302939,0.6497363800551681,0.02401623862487423,0.76536686473746,0.9262096826393084,AB_N30,0,2.0
24,2,143,0.45185100517428456,0.4894228677418574,0.037571862567572833,0.7653668646450721,2.1523168055876822,AB_N30,0,2.0
43,4,748,0.33817275282090475,0.38839962607919143,0.050226873258286675,0.765366864645072,2.2579665679639893,AB_N30,0,2.0
9,1,465,0.1887814992945187,0.2317647352822677,0.042983235987749,1.4142135624,2.364052670851056,AB_N30,0,2.0
15,2,904,0.280136394356436,0.2906593259335807,0.010522931577144679,0.7653668646450721,0.7653668646450721,AB_N30,0,2.0
84,5,483,0.5451951755806931,0.5892091964940613,0.04401402091336826,0.76536686473746,1.5244047253536293,AB_N30,0,2.0
9,1,783,0.2328995949097512,0.2509375086176632,0.018037913707911968,1.4142135624,0.3504277956401849,AB_N30,0,2.0
20,4,444,0.17958172196011624,0.23479802149610196,0.055216299535985724,0.765366864645072,2.2448916498200195,AB_N30,0,2.0
18,2,66,0.3821947274569605,0.4274000931902525,0.045205365733292036,0.0,1.3098582948604813,AB_N30,0,2.0
36,2,46,0.5099262158908016,0.5207816556488758,0.010855439758074237,0.76536686473746,1.127864326378922,AB_N30,0,2.0
50,3,509,0.43689715199514023,0.4645306231068458,0.027633471111705554,1.9999999999673386,1.7078462691413014,AB_N30,0,2.0
45,3,344,0.5133435986958765,0.5208956257373134,0.007552027041436871,1.4142135623,1.0025221363753363,AB_N30,0,2.0
19,3,215,0.38650139185247057,0.38663765837754527,0.00013626652507470194,1.4142135623,1.907227900755955,AB_N30,0,2.0
47,2,212,0.4561839175453586,0.4670101743641142,0.010826256818755597,0.0,1.8793516351357005,AB_N30,0,2.0
103,3,372,0.7896319437635304,0.8332940430168799,0.04366209925334952,0.76536686473746,1.1789092182258463,AB_N30,0,2.0
105,4,952,0.6906274951648135,0.7174523224970188,0.02682482733220537,0.76536686473746,1.1964353325968806,AB_N30,0,2.0
30,4,501,0.3755134409202442,0.4059591457195729,0.030445704799328732,1.84775906504015,2.0073458226072334,AB_N30,0,2.0
18,2,996,0.3419190476090431,0.3787038916392489,0.036784844030205766,1.847759064947762,2.3178833020478957,AB_N30,0,2.0
8,1,53,0.20801023205702962,0.2621642923593992,0.05415406030236958,0.76536686473746,1.9352431381495292,AB_N30,0,2.0
52,5,387,0.518662399568137,0.5640597915136671,0.04539739194553016,1.4142135623999998,2.0073458226286176,AB_N30,0,2.0
50,3,22,0.36515729532708074,0.4124133660498768,0.04725607072279603,1.84775906504015,1.3256542961262752,AB_N30,0,2.0
59,2,113,0.4443603150439466,0.4880224142972961,0.04366209925334952,0.76536686473746,1.7657148711428663,AB_N30,0,2.0
91,4,23,0.6308163526199156,0.6476010212078338,0.01678466858791816,1.8477590650401499,1.9199717448874039,AB_N30,0,2.0
43,7,58,0.2539907411392035,0.29073320349891685,0.036742462359713346,0.7653668647757284,0.76536686473746,AB_N30,0,2.0
56,7,879,0.6214257111342358,0.6322519679529914,0.010826256818755597,1.4142135623730951,2.007345822583419,AB_N30,0,2.0
79,4,321,0.7204021623434148,0.7530856813748563,0.03268351903144151,0.7653668647757284,1.7036588653712372,AB_N30,0,2.0
15,2,962,0.3290916393220441,0.35672511043374966,0.027633471111705554,2.0,2.3907590326723422,AB_N30,0,2.0
87,6,415,0.6789550902021282,0.7466925427122123,0.06773745251008412,0.7653668647757284,1.4736257582412833,AB_N30,0,2.0
66,3,533,0.6594468553600455,0.6836354963207629,0.024188640960717378,0.76536686473746,1.3431457505,AB_N30,0,2.0
116,6,881,0.7072669835544655,0.7614210438568351,0.05415406030236958,0.76536686473746,1.6042422288299496,AB_N30,0,2.0
20,1,188,0.35676676307721167,0.3798796559824833,0.02311289290527163,0.7653668646450721,2.3394632002635847,AB_N30,0,2.0
10,2,289,0.25930028673827865,0.2929912295957403,0.03369094285746166,0.76536686473746,0.8314698641354209,AB_N30,0,2.0
