index,n0,n1,n2,n3,x,y,perp_x,perp_y,perp_r,k_sum_mod5
0,-37,-37,-16,13,-72.3553390593,-32.9705627485,-1.5065609407,-0.8778627485,1.7436653558,3
1,-37,-37,-15,13,-72.3553390593,-31.9705627485,-1.5065609407,-1.8778627485,2.4075079169,4
2,-37,-37,-15,14,-73.0624458405,-31.2634559673,-0.7994541595,-1.1707559673,1.4176729129,0
3,-37,-37,-14,14,-73.0624458405,-30.2634559673,-0.7994541595,-2.1707559673,2.3132895242,1
4,-37,-37,-14,15,-73.7695526217,-29.5563491861,-0.0923473783,-1.4636491861,1.4665595720,2
5,-37,-36,-15,14,-72.3553390593,-30.5563491861,-1.5065609407,-0.4636491861,1.5762919894,1
6,-37,-36,-14,14,-72.3553390593,-29.5563491861,-1.5065609407,-1.4636491861,2.1004749006,2
7,-37,-36,-14,15,-73.0624458405,-28.8492424049,-0.7994541595,-0.7565424049,1.1006740496,3
8,-37,-36,-13,14,-72.3553390593,-28.5563491861,-1.5065609407,-2.4636491861,2.8877834372,3
9,-37,-36,-13,15,-73.0624458405,-27.8492424049,-0.7994541595,-1.7565424049,1.9299140326,4
10,-37,-36,-13,16,-73.7695526217,-27.1421356237,-0.0923473783,-1.0494356237,1.0534909428,0
11,-37,-36,-12,16,-73.7695526217,-26.1421356237,-0.0923473783,-2.0494356237,2.0515151508,1
12,-37,-35,-13,15,-72.3553390593,-27.1421356237,-1.5065609407,-1.0494356237,1.8360394866,0
13,-37,-35,-13,16,-73.0624458405,-26.4350288425,-0.7994541595,-0.3423288425,0.8696642970,1
14,-37,-35,-12,15,-72.3553390593,-26.1421356237,-1.5065609407,-2.0494356237,2.5436022181,1
15,-37,-35,-12,16,-73.0624458405,-25.4350288425,-0.7994541595,-1.3423288425,1.5623615698,2
16,-37,-35,-12,17,-73.7695526217,-24.7279220614,-0.0923473783,-0.6352220614,0.6418996070,3
17,-37,-35,-11,16,-73.0624458405,-24.4350288425,-0.7994541595,-2.3423288425,2.4750012848,3
