arm,auc,features,graph,positives,rep,substrate,target
identity,0.9792,address,native,,-1,AB_real,
identity,0.991,weave,rewired_tiling,,0,AB_real,
identity,0.9902,hybrid,rewired_tiling,,0,AB_real,
fresh,0.8949,weave,rewired_tiling,188,0,AB_real,
fresh,0.5564,address,rewired_tiling,188,0,AB_real,
leakage,0.9987,nbr_degree_mean_only,rewired_tiling,,0,AB_real,packet_priv
leakage,0.6549,hop2_only,rewired_tiling,,0,AB_real,graph_priv
fresh,0.4957,weave_minus_degree_family,rewired_tiling,,0,AB_real,
identity,0.4982,weave_minus_degree_family,rewired_tiling,,0,AB_real,
identity,0.991,degree_family_only,rewired_tiling,,0,AB_real,
fresh,0.9018,weave,config_model_no_geometry,199,0,AB_real,
identity,0.9911,weave,rewired_tiling,,1,AB_real,
identity,0.9904,hybrid,rewired_tiling,,1,AB_real,
fresh,0.8853,weave,rewired_tiling,195,1,AB_real,
fresh,0.5438,address,rewired_tiling,195,1,AB_real,
leakage,0.9993,nbr_degree_mean_only,rewired_tiling,,1,AB_real,packet_priv
leakage,0.6587,hop2_only,rewired_tiling,,1,AB_real,graph_priv
fresh,0.4957,weave_minus_degree_family,rewired_tiling,,1,AB_real,
identity,0.4989,weave_minus_degree_family,rewired_tiling,,1,AB_real,
identity,0.9911,degree_family_only,rewired_tiling,,1,AB_real,
fresh,0.9011,weave,config_model_no_geometry,172,1,AB_real,
identity,0.9909,weave,rewired_tiling,,2,AB_real,
identity,0.9898,hybrid,rewired_tiling,,2,AB_real,
fresh,0.8855,weave,rewired_tiling,196,2,AB_real,
fresh,0.5571,address,rewired_tiling,196,2,AB_real,
leakage,0.9994,nbr_degree_mean_only,rewired_tiling,,2,AB_real,packet_priv
leakage,0.6585,hop2_only,rewired_tiling,,2,AB_real,graph_priv
fresh,0.4988,weave_minus_degree_family,rewired_tiling,,2,AB_real,
identity,0.5034,weave_minus_degree_family,rewired_tiling,,2,AB_real,
identity,0.9909,degree_family_only,rewired_tiling,,2,AB_real,
fresh,0.8901,weave,config_model_no_geometry,182,2,AB_real,
