arm,auc,features,graph,positives,rep,substrate,target
identity,0.6535,address,native,,-1,Penrose_real,
identity,0.8354,weave,rewired_tiling,,0,Penrose_real,
identity,0.8558,hybrid,rewired_tiling,,0,Penrose_real,
fresh,0.9216,weave,rewired_tiling,142,0,Penrose_real,
fresh,0.5129,address,rewired_tiling,142,0,Penrose_real,
leakage,0.9992,nbr_degree_mean_only,rewired_tiling,,0,Penrose_real,packet_priv
leakage,0.6568,hop2_only,rewired_tiling,,0,Penrose_real,graph_priv
fresh,0.5026,weave_minus_degree_family,rewired_tiling,,0,Penrose_real,
identity,0.4987,weave_minus_degree_family,rewired_tiling,,0,Penrose_real,
identity,0.8353,degree_family_only,rewired_tiling,,0,Penrose_real,
fresh,0.901,weave,config_model_no_geometry,103,0,Penrose_real,
identity,0.8307,weave,rewired_tiling,,1,Penrose_real,
identity,0.8542,hybrid,rewired_tiling,,1,Penrose_real,
fresh,0.9129,weave,rewired_tiling,179,1,Penrose_real,
fresh,0.55,address,rewired_tiling,179,1,Penrose_real,
leakage,0.9997,nbr_degree_mean_only,rewired_tiling,,1,Penrose_real,packet_priv
leakage,0.6506,hop2_only,rewired_tiling,,1,Penrose_real,graph_priv
fresh,0.4933,weave_minus_degree_family,rewired_tiling,,1,Penrose_real,
identity,0.4986,weave_minus_degree_family,rewired_tiling,,1,Penrose_real,
identity,0.8305,degree_family_only,rewired_tiling,,1,Penrose_real,
fresh,0.9116,weave,config_model_no_geometry,105,1,Penrose_real,
identity,0.8306,weave,rewired_tiling,,2,Penrose_real,
identity,0.8502,hybrid,rewired_tiling,,2,Penrose_real,
fresh,0.914,weave,rewired_tiling,119,2,Penrose_real,
fresh,0.4978,address,rewired_tiling,119,2,Penrose_real,
leakage,0.9992,nbr_degree_mean_only,rewired_tiling,,2,Penrose_real,packet_priv
leakage,0.6507,hop2_only,rewired_tiling,,2,Penrose_real,graph_priv
fresh,0.4958,weave_minus_degree_family,rewired_tiling,,2,Penrose_real,
identity,0.4919,weave_minus_degree_family,rewired_tiling,,2,Penrose_real,
identity,0.8388,degree_family_only,rewired_tiling,,2,Penrose_real,
fresh,0.9207,weave,config_model_no_geometry,136,2,Penrose_real,
