arm,auc,features,graph,positives,rep,target
identity,0.9141,address,native,,-1,
identity,1.0,weave,rewired_tiling,,0,
identity,1.0,hybrid,rewired_tiling,,0,
fresh,0.8954,weave,rewired_tiling,132,0,
fresh,0.5432,address,rewired_tiling,132,0,
leakage,0.9992,nbr_degree_mean_only,rewired_tiling,,0,packet_priv
leakage,0.665,hop2_only,rewired_tiling,,0,graph_priv
fresh,0.5004,weave_minus_degree_family,rewired_tiling,,0,
identity,0.5002,weave_minus_degree_family,rewired_tiling,,0,
identity,1.0,degree_family_only,rewired_tiling,,0,
fresh,0.898,weave,config_model_no_geometry,153,0,
identity,1.0,weave,rewired_tiling,,1,
identity,1.0,hybrid,rewired_tiling,,1,
fresh,0.9102,weave,rewired_tiling,179,1,
fresh,0.5079,address,rewired_tiling,179,1,
leakage,0.9993,nbr_degree_mean_only,rewired_tiling,,1,packet_priv
leakage,0.6576,hop2_only,rewired_tiling,,1,graph_priv
fresh,0.4983,weave_minus_degree_family,rewired_tiling,,1,
identity,0.5003,weave_minus_degree_family,rewired_tiling,,1,
identity,1.0,degree_family_only,rewired_tiling,,1,
fresh,0.901,weave,config_model_no_geometry,164,1,
identity,1.0,weave,rewired_tiling,,2,
identity,1.0,hybrid,rewired_tiling,,2,
fresh,0.9098,weave,rewired_tiling,144,2,
fresh,0.5377,address,rewired_tiling,144,2,
leakage,0.9996,nbr_degree_mean_only,rewired_tiling,,2,packet_priv
leakage,0.6412,hop2_only,rewired_tiling,,2,graph_priv
fresh,0.5002,weave_minus_degree_family,rewired_tiling,,2,
identity,0.4986,weave_minus_degree_family,rewired_tiling,,2,
identity,1.0,degree_family_only,rewired_tiling,,2,
fresh,0.9064,weave,config_model_no_geometry,157,2,
